,address,check_in_date,check_out_date,has_laundry_service,number_of_adults,phone_number,rating,total_price,where_to
2386,1209 West Albion Avenue,,,True,1,+1 312-265-5800,4.40,1260,Chicago
2387,122 West Monroe Street,,,True,1,+1 312-750-9012,4.40,192,Chicago
2388,123 East Cermak Road Suite 300 Suite 300,,,True,1,+1 312-791-1121,4.40,1260,Chicago
2389,15 East Ohio Street,,,True,1,+1 312-894-0800,4.40,798,Chicago
2390,151 West Adams Street,,,True,1,+1 800-228-9290,4.40,1728,Chicago
2391,1 West Wacker Drive,,,True,2,+1 800-468-3571,4.30,816,Chicago
2392,100 West Monroe Street,,,True,2,+1 312-236-1234,4.30,768,Chicago
2393,1118 North State Street,,,True,2,+1 888-712-2712,4.30,920,Chicago
2394,113-125 North Green Street,,,True,2,+1 312-521-8000,4.30,532,Chicago
2395,116 North Jefferson Street,,,True,2,+1 312-648-0000,4.30,930,Chicago
2396,12 South Michigan Avenue,,,True,2,+1 312-940-3552,4.30,1008,Chicago
2397,1209 West Albion Avenue,,,True,2,+1 312-265-5800,4.30,1260,Chicago
2398,122 West Monroe Street,,,True,2,+1 312-750-9012,4.30,192,Chicago
2399,"1, Jalan 2/142a, Taman Len Seng, 56000 Kuala Lumpur, Wilayah Persekutuan",,,True,1,+60 3-9100 1133,3.50,1092,Kuala Lumpur
2400,"1, Jalan Pantai Baharu, Jaya Tower 3, 59200 Kuala Lumpur, Wilayah Persekutuan",,,True,1,+60 3-2298 1888,3.50,1575,Kuala Lumpur
2401,"10, Jalan Binjai, Kuala Lumpur, 50450",,,True,1,+60 3-7490 3333,3.50,2560,Kuala Lumpur
2402,"10, Jalan Tun Sambanthan, Brickfields, 50470",,,True,1,+60 3-2273 1222,3.50,1035,Kuala Lumpur
2403,"10, Lorong P Ramlee, Kuala Lumpur, 50250",,,True,1,+60 3-2726 6788,3.50,1120,Kuala Lumpur
2404,"1020, Jalan Sultan Ismail, 50250",,,True,1,+60 3-2168 1688,3.50,1750,Kuala Lumpur
2405,"12, Jalan Raja Laut, Chow Kit, 50350",,,True,1,+60 3-2614 8000,3.50,1008,Kuala Lumpur
2406,"120, Jalan Pudu, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan",,,True,1,+60 3-2143 5000,3.50,798,Kuala Lumpur
2407,"120, Jalan Raja Abdullah, Kampung Baru, 50300 Kuala Lumpur, Wilayah Persekutuan",,,True,1,+60 3-2603 1999,3.50,832,Kuala Lumpur
2408,"121, Jalan Ampang, Kuala Lumpur, 50450",,,True,1,+60 3-2786 8888,3.50,1750,Kuala Lumpur
2409,1041 Southwest Marine Drive,,,True,2,+1 604-263-1555,3.50,1512,Vancouver
2410,1100 Granville Street,,,True,2,+1 604-669-7070,4.10,450,Vancouver
2411,111 Robson Street,,,True,2,+1 604-602-1008,4.40,1560,Vancouver
2412,1110 Howe Street,,,True,2,+1 604-684-2151,3.90,2175,Vancouver
2413,1128 West Georgia Street,,,True,2,+1 604-689-1120,4.60,4375,Vancouver
2414,1160 Davie Street,,,True,2,+1 604-681-7263,3.90,960,Vancouver
2415,1176 Granville Street,,,True,2,+1 800-553-5339,3.10,2400,Vancouver
2416,1177 Melville Street,,,True,2,+1 604-669-5060,4.70,2560,Vancouver
2417,1180 West Hastings Street,,,True,2,+1 604-697-0202,4.30,1056,Vancouver
2418,1225 Robson Street,,,True,2,+1 604-688-1411,4.30,2016,Vancouver
2419,"1 Place de la Sorbonne, 75005",,,True,1,+33 1 46 34 14 80,4.40,248,Paris
2420,"11 Rue des Gravilliers, 75003",,,True,1,+33 1 44 54 13 13,4.40,304,Paris
2421,"12 Rue de Marignan, 75008",,,True,1,+33 1 40 76 34 56,4.40,2400,Paris
2422,"14 Rue Beaujon, 75008",,,True,1,+33 1 53 89 50 50,4.40,775,Paris
2423,"15 Rue Boissy d'Anglas, 75008",,,True,1,+33 1 44 94 14 14,4.40,320,Paris
2424,"15 Rue Edouard Manet, 75013",,,True,1,+33 1 45 86 35 99,4.40,1248,Paris
2425,"18 Rue du Cirque, 75008",,,True,1,+33 1 43 87 10 10,4.40,900,Paris
2426,"18-22 Rue de Berri, 75008",,,True,1,+33 1 76 53 77 70,4.40,620,Paris
2427,"2 Rue de Parme, 75009",,,True,1,+33 1 53 16 33 33,4.40,1848,Paris
2428,"28 Rue Saint-Roch, 75001",,,True,1,+33 1 70 83 00 00,4.40,260,Paris
2429,108 Chestnut Street,,,True,1,+1 416-977-5000,4.10,672,Toronto
2430,118 Yorkville Avenue,,,True,1,+1 416-963-6300,4.10,690,Toronto
2431,15 Charles Street East,,,True,1,+1 416-924-1222,4.10,81,Toronto
2432,"1790 Albion Road, Etobicoke, Ontario M9V 4J8, Canada",,,True,3,+1 416-747-7676,4.10,576,Toronto
2433,181 Wellington Street West,,,True,3,+1 416-585-2500,4.10,630,Toronto
2434,195 Spadina Avenue,,,False,3,+1 416-593-0885,4.10,1044,Toronto
2435,220 Bloor Street West,,,False,4,+1 416-960-5200,4.10,2160,Toronto
2436,"231 Carlingview Drive, Etobicoke, Ontario M9W 5E8, Canada",,,True,3,+1 416-675-0411,4.10,468,Toronto
2437,249 Queens Quay West,,,True,1,+1 416-203-3333,4.10,116,Toronto
2438,255 Wellington Street West,,,True,3,+1 416-581-1800,4.10,792,Toronto
2439,1 Hosking Place,,,True,2,+61 1300 633 462,3.60,416,Sydney
2440,"1 Kensington Street, Chippendale New South Wales 2008, Australia",,,True,2,+61 2 8277 8277,4.20,3500,Sydney
2441,"1 Kingsway, Cronulla New South Wales 2230, Australia",,,True,2,+61 2 8536 3600,3.90,1512,Sydney
2442,"1 Salisbury Road, Castle Hill New South Wales 2154, Australia",,,True,2,+61 2 9680 3800,4.40,2790,Sydney
2443,"10 Atchison Street, St Leonards New South Wales 2065, Australia",,,True,2,+61 2 8425 0400,4.40,276,Sydney
2444,"10 Brown Street, Chatswood New South Wales 2067, Australia",,,False,2,+61 131517,3.80,2448,Sydney
2445,10 Byfield St Macquarie Park,,,True,2,+61 2 9428 9500,4.30,2100,Sydney
2446,"100 Marsden Street, Parramatta New South Wales 2150, Australia",,,False,2,+61 2 9633 9898,4.40,512,Sydney
2447,1001 Intrepid Avenue,,,True,3,+1 215-644-9200,4.50,435,Philadelphia
2448,101 North Broad Street,,,True,3,+1 215-607-2020,4.40,2772,Philadelphia
2449,1100 Arch Street,,,True,3,+1 215-923-0100,4.00,540,Philadelphia
2450,1200 Arch Street,,,True,3,+1 215-627-1850,4.30,600,Philadelphia
2451,1201 Race Street,,,False,3,+1 215-496-2700,3.70,1872,Philadelphia
2452,1225 Vine Street,,,False,3,+1 215-398-3080,3.90,960,Philadelphia
2453,1 Ham Yard,,,True,1,+44 20 3642 2000,4.40,480,London
2454,1 Seething Lane,,,True,1,+44 20 7702 2020,4.40,672,London
2455,1 Suffolk Place,,,True,1,+44 20 7470 4000,4.40,1080,London
2456,1 Waterview Drive,,,True,1,+44 20 8463 6868,4.40,3400,London
2457,"1-2, Serjeant's Inn",,,True,1,+44 20 3004 4141,4.40,1904,London
2458,10 Berners Street,,,True,1,+44 20 7781 0000,4.40,1440,London
2459,10 Carlisle Street,,,False,1,+44 20 3697 3697,4.40,320,London
2460,10 Harrington Road,,,True,1,+44 20 7589 5895,4.40,2100,London
2461,10 Palace Place,,,True,1,+44 20 3540 8800,4.40,1320,London
2462,10 Trinity Square,,,True,1,+44 20 3297 9200,4.40,240,London
2463,"10601 North 56th Street, Scottsdale, AZ 85254, USA",,,True,2,+1 480-948-6100,4.30,1440,Phoenix
2464,10838 North 25th Avenue,,,True,2,+1 602-997-8800,4.30,1386,Phoenix
2465,12027 North 28th Drive,,,True,2,+1 602-548-6000,3.80,252,Phoenix
2466,132 South Central Avenue,,,True,2,+1 602-603-2000,4.60,960,Phoenix
2467,"15620 North Clubgate Drive, Scottsdale, Arizona 85254, United States",,,True,2,+1 480-624-1700,4.70,1320,Phoenix
2468,2 East Jefferson Street,,,True,2,+1 877-488-1908,4.50,1344,Phoenix
2469,1 Addington Street,,,True,2,+44 333 400 6116,2.60,2400,London
2470,1 Baffin Way,,,True,2,+44 20 7517 1100,2.60,594,London
2471,1 Connaught Road,,,False,2,+44 871 984 6290,2.60,1827,London
2472,1 Duke's Road,,,False,2,+44 871 527 8656,2.60,1368,London
2473,1 Ham Yard,,,True,2,+44 20 3642 2000,2.60,480,London
2474,1 Harrow Place,,,False,2,+44 871 984 6190,2.60,264,London
2475,1 King's Cross Road,,,True,2,+44 20 7833 3900,2.60,348,London
2476,1 Lancaster Gate,,,True,2,+44 20 7262 5022,2.60,1840,London
2477,1 Leicester Square,,,False,2,+44 20 3953 4200,2.60,3200,London
2478,1 Seething Lane,,,True,2,+44 20 7702 2020,2.60,672,London
2479,"1, Jalan 2/142a, Taman Len Seng, 56000 Kuala Lumpur, Wilayah Persekutuan",,,True,2,+60 3-9100 1133,3.80,1092,Kuala Lumpur
2480,"1, Jalan Pantai Baharu, Jaya Tower 3, 59200 Kuala Lumpur, Wilayah Persekutuan",,,True,2,+60 3-2298 1888,4.20,1575,Kuala Lumpur
2481,"10, Jalan Binjai, Kuala Lumpur, 50450",,,True,2,+60 3-7490 3333,4.30,2560,Kuala Lumpur
2482,"10, Jalan Tun Sambanthan, Brickfields, 50470",,,True,2,+60 3-2273 1222,3.80,1035,Kuala Lumpur
2483,"12, Jalan Raja Laut, Chow Kit, 50350",,,True,2,+60 3-2614 8000,3.60,1008,Kuala Lumpur
2484,"120, Jalan Pudu, Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan",,,True,2,+60 3-2143 5000,3.70,798,Kuala Lumpur
2485,"120, Jalan Raja Abdullah, Kampung Baru, 50300 Kuala Lumpur, Wilayah Persekutuan",,,True,2,+60 3-2603 1999,4.30,832,Kuala Lumpur
2486,"1, Jalan 2/142a, Taman Len Seng, 56000 Kuala Lumpur, Wilayah Persekutuan",,,True,2,+60 3-9100 1133,3.70,1092,Kuala Lumpur
2487,"1, Jalan Pantai Baharu, Jaya Tower 3, 59200 Kuala Lumpur, Wilayah Persekutuan",,,True,2,+60 3-2298 1888,3.70,1575,Kuala Lumpur
2488,"10, Jalan Binjai, Kuala Lumpur, 50450",,,True,2,+60 3-7490 3333,3.70,2560,Kuala Lumpur
2489,"10, Jalan Tun Sambanthan, Brickfields, 50470",,,True,2,+60 3-2273 1222,3.70,1035,Kuala Lumpur
2490,"10, Lorong P Ramlee, Kuala Lumpur, 50250",,,True,2,+60 3-2726 6788,3.70,1120,Kuala Lumpur
2491,"1020, Jalan Sultan Ismail, 50250",,,True,2,+60 3-2168 1688,3.70,1750,Kuala Lumpur
2492,"120, Jalan Raja Abdullah, Kampung Baru, 50300 Kuala Lumpur, Wilayah Persekutuan",,,True,2,+60 3-2603 1999,3.70,832,Kuala Lumpur
2493,"121, Jalan Ampang, Kuala Lumpur, 50450",,,True,2,+60 3-2786 8888,3.70,1750,Kuala Lumpur
2494,"13, 15, Leboh Ampang, City Centre, 50050",,,True,2,+60 3-2030 1888,3.70,756,Kuala Lumpur
2495,"136, Jalan Changkat Thambi Dollah, Pudu, 55100 Kuala Lumpur, Wilayah Persekutuan",,,True,2,+60 3-2788 8888,3.70,832,Kuala Lumpur
2496,"12 Rue de Marignan, 75008",,,True,3,+33 1 40 76 34 56,4.40,2400,Paris
2497,"14 Rue Beaujon, 75008",,,True,5,+33 1 53 89 50 50,4.40,775,Paris
2498,"15 Rue Edouard Manet, 75013",,,True,2,+33 1 45 86 35 99,4.40,1248,Paris
2499,"18-22 Rue de Berri, 75008",,,True,4,+33 1 76 53 77 70,4.40,620,Paris
2500,"2 Rue de Parme, 75009",,,True,3,+33 1 53 16 33 33,4.40,1848,Paris
2501,"28 Rue Saint-Roch, 75001",,,True,2,+33 1 70 83 00 00,4.40,260,Paris
2502,"1 Place de la Sorbonne, 75005",,,True,2,+33 1 46 34 14 80,4.40,1400,Paris
2503,"11 Rue des Gravilliers, 75003",,,True,2,+33 1 44 54 13 13,4.40,512,Paris
2504,"12 Rue de Marignan, 75008",,,True,2,+33 1 40 76 34 56,4.40,2400,Paris
2505,"14 Rue Beaujon, 75008",,,True,2,+33 1 53 89 50 50,4.40,775,Paris
2506,"15 Rue Boissy d'Anglas, 75008",,,True,2,+33 1 44 94 14 14,4.40,900,Paris
2507,"18 Rue du Cirque, 75008",,,True,2,+33 1 43 87 10 10,4.40,4200,Paris
2508,"18-22 Rue de Berri, 75008",,,True,2,+33 1 76 53 77 70,4.40,620,Paris
2509,"2 Rue de Parme, 75009",,,True,2,+33 1 53 16 33 33,4.40,1848,Paris
2510,"1 Place de la Sorbonne, 75005",,,True,2,+33 1 46 34 14 80,4.50,1400,Paris
2511,"11 Rue des Gravilliers, 75003",,,True,2,+33 1 44 54 13 13,4.50,512,Paris
2512,"12 Rue de Marignan, 75008",,,True,2,+33 1 40 76 34 56,4.50,2400,Paris
2513,"14 Rue Beaujon, 75008",,,True,2,+33 1 53 89 50 50,4.50,775,Paris
2514,"15 Rue Boissy d'Anglas, 75008",,,True,2,+33 1 44 94 14 14,4.50,900,Paris
2515,"15 Rue Edouard Manet, 75013",,,True,2,+33 1 45 86 35 99,4.50,1248,Paris
2516,"18 Rue du Cirque, 75008",,,True,2,+33 1 43 87 10 10,4.50,4200,Paris
2517,"18-22 Rue de Berri, 75008",,,True,2,+33 1 76 53 77 70,4.50,620,Paris
2518,"2 Rue de Parme, 75009",,,True,2,+33 1 53 16 33 33,4.50,1848,Paris
2519,"28 Rue Saint-Roch, 75001",,,True,2,+33 1 70 83 00 00,4.50,260,Paris
2520,1118 North State Street,,,True,4,+1 888-712-2712,4.40,920,Chicago
2521,113-125 North Green Street,,,True,4,+1 312-521-8000,4.40,532,Chicago
2522,116 North Jefferson Street,,,True,3,+1 312-648-0000,4.40,930,Chicago
2523,12 South Michigan Avenue,,,True,4,+1 312-940-3552,4.40,1008,Chicago
2524,1209 West Albion Avenue,,,True,5,+1 312-265-5800,4.40,1260,Chicago
2525,122 West Monroe Street,,,True,2,+1 312-750-9012,4.40,192,Chicago
2526,123 East Cermak Road Suite 300 Suite 300,,,True,4,+1 312-791-1121,4.40,1260,Chicago
2527,15 East Ohio Street,,,True,2,+1 312-894-0800,4.40,798,Chicago
2528,151 West Adams Street,,,True,3,+1 800-228-9290,4.40,1728,Chicago
2529,"1 Rue Daunou, 75002",,,True,2,+33 1 42 61 70 41,4.20,1890,Paris
2530,"1 Rue de Lourmel, 75015",,,False,2,+33 1 45 78 17 12,3.70,1116,Paris
2531,"1-5 Passage Ruelle, 75018",,,True,2,+33 1 42 05 20 00,4.10,1395,Paris
2532,"1-7 Rue Jean Richepin, 75016",,,False,2,+33 1 44 30 10 00,4.10,2160,Paris
2533,"1, Jalan Pantai Baharu, Jaya Tower 3, 59200 Kuala Lumpur, Wilayah Persekutuan",,,True,1,+60 3-2298 1888,4.20,1575,Kuala Lumpur
2534,"10, Jalan Binjai, Kuala Lumpur, 50450",,,True,1,+60 3-7490 3333,4.20,2560,Kuala Lumpur
2535,"10, Lorong P Ramlee, Kuala Lumpur, 50250",,,True,1,+60 3-2726 6788,4.20,1120,Kuala Lumpur
2536,"1020, Jalan Sultan Ismail, 50250",,,True,1,+60 3-2168 1688,4.20,1750,Kuala Lumpur
2537,"120, Jalan Raja Abdullah, Kampung Baru, 50300 Kuala Lumpur, Wilayah Persekutuan",,,True,1,+60 3-2603 1999,4.20,832,Kuala Lumpur
2538,"121, Jalan Ampang, Kuala Lumpur, 50450",,,True,1,+60 3-2786 8888,4.20,1750,Kuala Lumpur
2539,"145, Jalan Ampang, 50450",,,True,1,+60 3-2382 8888,4.20,875,Kuala Lumpur
2540,"152, Jalan Changkat Thambi Dollah, Pudu, 55100",,,True,1,+60 3-9224 3030,4.20,208,Kuala Lumpur
2541,"16, Jalan Imbi, 55100 Kuala Lumpur, Wilayah Persekutuan",,,True,1,+60 3-2785 2828,4.20,2400,Kuala Lumpur
2542,"160, Jalan Bukit Bintang, 55100 Kuala Lumpur, Wilayah Persekutuan",,,True,1,+60 3-2117 4888,4.20,720,Kuala Lumpur
2543,"1 Place de la Sorbonne, 75005",,,True,1,+33 1 46 34 14 80,3.90,248,Paris
2544,"1 Rue Daunou, 75002",,,True,1,+33 1 42 61 70 41,3.90,1890,Paris
2545,"1 Rue de Libourne, 75012",,,True,1,+33 1 44 67 34 00,3.90,1080,Paris
2546,"1-5 Passage Ruelle, 75018",,,True,1,+33 1 42 05 20 00,3.90,1395,Paris
2547,"10 Place Charles Dullin, 75018",,,True,1,+33 1 42 57 14 55,3.90,792,Paris
2548,"10 Place de Mexico, 75116",,,True,1,+33 1 56 90 40 04,3.90,432,Paris
2549,"10 Rue de Passy, 75016",,,True,1,+33 1 45 25 55 66,3.90,1134,Paris
2550,"10 Rue du Champ de Mars, 75007",,,True,1,+33 1 40 62 67 00,3.90,120,Paris
2551,"10 Rue du Conservatoire, 75009",,,True,1,+33 1 47 70 50 83,3.90,744,Paris
2552,"102 Boulevard de Grenelle, 75015",,,True,1,+33 1 40 59 90 90,3.90,480,Paris
2553,"1003 Coast Boulevard, La Jolla, California 92037, United States",,,True,2,+1 855-287-2682,4.20,1240,San Diego
2554,10044 Pacific Mesa Boulevard,,,True,2,+1 858-597-0500,4.20,900,San Diego
2555,1047 Fifth Avenue,,,True,2,+1 619-515-3000,4.20,2856,San Diego
2556,"10950 North Torrey Pines Road, La Jolla, California 92037, United States",,,True,2,+1 858-558-1500,4.20,1260,San Diego
2557,11025 Vista Sorrento Parkway,,,True,2,+1 858-523-0500,4.20,870,San Diego
2558,1333 Hotel Circle South,,,True,2,+1 619-297-2231,4.20,800,San Diego
2559,1404 Vacation Road,,,True,2,+1 858-240-4913,4.20,1800,San Diego
2560,1445 Sixth Avenue,,,True,2,+1 619-782-6400,4.20,1920,San Diego
2561,108 Chestnut Street,,,True,2,+1 416-977-5000,4.20,2560,Toronto
2562,111 Carlton Street,,,True,2,+1 800-780-7234,3.00,1080,Toronto
2563,118 Yorkville Avenue,,,True,2,+1 416-963-6300,4.70,1550,Toronto
2564,15 Charles Street East,,,True,2,+1 416-924-1222,4.60,828,Toronto
2565,15 Richmond Street East,,,True,2,+1 800-463-1990,4.10,240,Toronto
2566,"1790 Albion Road, Etobicoke, Ontario M9V 4J8, Canada",,,True,2,+1 416-747-7676,4.20,576,Toronto
2567,181 Wellington Street West,,,True,2,+1 416-585-2500,4.60,630,Toronto
2568,"2035 Kennedy Road, Scarborough, Ontario M1T 3G2, Canada",,,True,2,+1 416-299-1500,4.00,2520,Toronto
2569,108 Chestnut Street,,,True,2,+1 416-977-5000,3.40,2560,Toronto
2570,111 Lombard Street,,,True,2,+1 416-367-5555,3.40,864,Toronto
2571,118 Yorkville Avenue,,,True,2,+1 416-963-6300,3.40,1550,Toronto
2572,"135 Carlingview Drive, Etobicoke, Ontario M9W 5E7, Canada",,,True,2,+1 416-637-7000,3.40,408,Toronto
2573,15 Charles Street East,,,True,2,+1 416-924-1222,3.40,828,Toronto
2574,15 Richmond Street East,,,True,2,+1 800-463-1990,3.40,240,Toronto
2575,"1790 Albion Road, Etobicoke, Ontario M9V 4J8, Canada",,,True,2,+1 416-747-7676,3.40,576,Toronto
2576,181 Wellington Street West,,,True,2,+1 416-585-2500,3.40,630,Toronto
2577,"2035 Kennedy Road, Scarborough, Ontario M1T 3G2, Canada",,,True,2,+1 416-299-1500,3.40,2520,Toronto
2578,222 Spadina Avenue,,,True,2,+1 800-536-0519,3.40,928,Toronto
2579,1020 South Figueroa Street,,,True,1,+1 213-748-1291,3.70,1575,Los Angeles
2580,10320 West Olympic Boulevard,,,True,1,+1 310-556-2777,3.70,684,Los Angeles
2581,10740 Wilshire Boulevard,,,True,1,+1 310-475-8711,3.70,868,Los Angeles
2582,"111 South Gaffey Street, San Pedro, California 90731, United States",,,True,1,+1 310-514-1414,3.70,126,Los Angeles
2583,1133 Vine Street,,,True,1,+1 323-952-6900,3.70,1152,Los Angeles
2584,"11350 Burbank Boulevard, North Hollywood, CA 91601, USA",,,True,1,+1 818-821-8031,3.70,624,Los Angeles
2585,115 South Fairfax Avenue,,,True,1,+1 323-937-3930,3.70,1050,Los Angeles
2586,1150 South Beverly Drive,,,True,1,+1 310-553-6561,3.70,264,Los Angeles
2587,1177 South Beverly Drive,,,True,1,+1 310-228-4100,3.70,252,Los Angeles
2588,1020 South Figueroa Street,,,True,2,+1 213-748-1291,3.70,1575,Los Angeles
2589,10320 West Olympic Boulevard,,,True,2,+1 310-556-2777,3.70,684,Los Angeles
2590,10740 Wilshire Boulevard,,,True,2,+1 310-475-8711,3.70,768,Los Angeles
2591,"111 South Gaffey Street, San Pedro, California 90731, United States",,,True,2,+1 310-514-1414,3.70,435,Los Angeles
2592,1133 Vine Street,,,True,2,+1 323-952-6900,3.70,1152,Los Angeles
2593,"11350 Burbank Boulevard, North Hollywood, CA 91601, USA",,,True,2,+1 818-821-8031,3.70,624,Los Angeles
2594,115 South Fairfax Avenue,,,True,2,+1 323-937-3930,3.70,1050,Los Angeles
2595,1150 South Beverly Drive,,,True,2,+1 310-553-6561,3.70,480,Los Angeles
2596,23 Linden Avenue Northwest,,,True,5,+1 404-877-9495,4.10,3255,Atlanta
2597,230 Peachtree Street,,,True,5,+1 404-523-7600,4.40,2100,Atlanta
2598,102 West 57th Street,,,True,1,+1 212-379-0103,4.40,81,New York
2599,"111 North 12th Street, Brooklyn",,,True,1,+1 718-631-8400,4.40,1820,New York
2600,120 East 39th Street,,,True,1,+1 212-686-1600,4.40,4900,New York
2601,120 West 41st Street,,,True,1,+1 888-559-5862,4.40,1536,New York
2602,"125 Flatbush Avenue Extension, Brooklyn",,,True,1,+1 718-875-8800,4.40,2160,New York
2603,130 West 44th Street,,,True,1,+1 212-764-6200,4.40,780,New York
2604,130 West 46th Street,,,True,1,+1 212-485-2400,4.40,2304,New York
2605,1414 6th Avenue,,,True,1,+1 212-703-2001,4.40,760,New York
2606,145 East 50th Street,,,True,1,+1 800-683-0400,4.40,1848,New York
2607,15 West 56th Street,,,True,1,+1 212-974-5656,4.40,520,New York
2608,"1790 Albion Road, Etobicoke, Ontario M9V 4J8, Canada",,,True,1,+1 416-747-7676,4.10,576,Toronto
2609,181 Wellington Street West,,,True,1,+1 416-585-2500,4.10,630,Toronto
2610,195 Spadina Avenue,,,False,1,+1 416-593-0885,4.10,1044,Toronto
2611,220 Bloor Street West,,,False,1,+1 416-960-5200,4.10,2160,Toronto
2612,"231 Carlingview Drive, Etobicoke, Ontario M9W 5E8, Canada",,,True,1,+1 416-675-0411,4.10,468,Toronto
2613,"1100 Market Street Hotel Entrance is at, 45 McAllister Street",,,True,2,+1 415-735-7777,4.40,2700,San Francisco
2614,12 4th Street,,,True,2,+1 415-348-1111,4.30,312,San Francisco
2615,"1206, 155 Steuart Street",,,True,2,+1 415-495-2100,4.20,342,San Francisco
2616,138 King Street,,,True,2,+1 415-200-4977,4.50,552,San Francisco
2617,1800 Sutter Street,,,True,2,+1 888-822-8666,4.30,2880,San Francisco
2618,2222 Market Street,,,True,2,+1 415-621-8212,4.40,750,San Francisco
2619,2237 Mason Street,,,True,2,+1 800-352-7366,4.40,260,San Francisco
2620,2620 Jones Street,,,True,2,+1 800-228-8408,4.30,2880,San Francisco
2621,"1100 Market Street Hotel Entrance is at, 45 McAllister Street",,,True,2,+1 415-735-7777,3.80,2700,San Francisco
2622,12 4th Street,,,True,2,+1 415-348-1111,3.80,312,San Francisco
2623,"1206, 155 Steuart Street",,,True,2,+1 415-495-2100,3.80,342,San Francisco
2624,138 King Street,,,True,2,+1 415-200-4977,3.80,552,San Francisco
2625,1800 Sutter Street,,,True,2,+1 888-822-8666,3.80,2880,San Francisco
2626,2222 Market Street,,,True,2,+1 415-621-8212,3.80,750,San Francisco
2627,2237 Mason Street,,,True,2,+1 800-352-7366,3.80,260,San Francisco
2628,2620 Jones Street,,,True,2,+1 800-228-8408,3.80,2880,San Francisco
2629,299 2nd Street,,,True,2,+1 415-947-0700,3.80,768,San Francisco
2630,312 Mason Street,,,True,2,+1 415-788-5604,3.80,840,San Francisco
2631,1510 Southwest Harbor Way,,,True,3,+1 888-869-3108,4.40,2016,Portland
2632,2025 Northwest Northrup Street,,,True,3,+1 503-224-0543,4.40,648,Portland
2633,354 Northwest 9th Avenue,,,True,5,+1 503-222-5200,4.40,720,Portland
2634,425 Northwest 9th Avenue,,,True,3,+1 971-351-0230,4.40,384,Portland
2635,506 Southwest Washington Street,,,True,3,+1 503-222-0001,4.40,2592,Portland
2636,750 Southwest Alder Street,,,True,2,+1 877-628-4408,4.40,576,Portland
2637,1215 South Las Vegas Boulevard,,,True,1,+1 702-489-7500,3.70,378,Las Vegas
2638,2219 North Rancho Drive,,,True,1,+1 702-638-1800,3.40,460,Las Vegas
2639,7100 Cascade Valley Court,,,True,1,+1 702-360-5700,4.10,1440,Las Vegas
2640,8669 West Sahara Avenue,,,True,1,+1 702-256-3766,4.30,1386,Las Vegas
2641,100 Greenwich Street,,,True,1,+1 917-409-0800,3.60,336,New York
2642,"100-15 Ditmars Boulevard, East Elmhurst, NY 11369, USA",,,True,1,+1 718-512-0248,3.60,405,New York
2643,102 West 57th Street,,,True,1,+1 212-379-0103,3.60,81,New York
2644,"102-05 Ditmars Boulevard, East Elmhurst",,,True,1,+1 718-565-8900,3.60,276,New York
2645,"102-40 Ditmars Boulevard, East Elmhurst",,,True,1,+1 718-672-6600,3.60,315,New York
2646,103 Waverly Place,,,False,1,+1 800-222-0418,3.60,435,New York
2647,1033 6th Avenue,,,True,1,+1 212-768-0007,3.60,594,New York
2648,"104-04 Ditmars Boulevard, East Elmhurst",,,True,1,+1 877-270-1412,3.60,756,New York
2649,108 West 24th Street,,,True,1,+1 212-414-1000,3.60,1440,New York
2650,"1080 Broadway, Brooklyn",,,False,1,+1 718-715-4850,3.60,990,New York
2651,10 East Thomas Road,,,True,2,+1 602-222-1111,4.50,1218,Phoenix
2652,132 South Central Avenue,,,True,4,+1 602-603-2000,4.50,960,Phoenix
2653,"15620 North Clubgate Drive, Scottsdale, Arizona 85254, United States",,,True,5,+1 480-624-1700,4.50,1320,Phoenix
2654,2335 West Pinnacle Peak Road,,,True,1,+1 623-879-8800,4.50,84,Phoenix
2655,333 North Central Avenue,,,True,4,+1 602-429-3500,4.50,2912,Phoenix
2656,3333 East University Drive,,,True,4,+1 602-437-8400,4.50,528,Phoenix
2657,4415 East Paradise Village Parkway South,,,True,3,+1 602-765-5800,4.50,2079,Phoenix
2658,5220 East Marriott Drive,,,False,4,+1 480-629-3200,4.50,1248,Phoenix
2659,153 West 57th Street,,,False,1,+1 646-774-1234,4.70,650,New York
2660,196 Grand Street,,,True,5,+1 212-390-8988,4.70,420,New York
2661,27 Barclay Street,,,True,3,+1 646-880-1999,4.70,2175,New York
2662,Limuru Road,,,True,2,+254 730 886000,4.60,1088,Nairobi
2663,Market Road,,,True,2,+254 20 7200000,4.60,2480,Nairobi
2664,Mbagathi Ridge,,,True,2,+254 711 032000,4.60,3220,Nairobi
2665,138 King Street,,,True,2,+1 415-200-4977,4.40,552,San Francisco
2666,440 Post Street,,,True,2,+1 415-397-3510,4.40,936,San Francisco
2667,494 Broadway,,,True,2,+1 415-834-1000,4.40,396,San Francisco
2668,"1 Salisbury Road, Castle Hill New South Wales 2154, Australia",,,True,4,+61 2 9680 3800,4.20,2790,Sydney
2669,"10 Atchison Street, St Leonards New South Wales 2065, Australia",,,True,4,+61 2 8425 0400,4.20,2660,Sydney
2670,10 Byfield St Macquarie Park,,,True,4,+61 2 9428 9500,4.20,2100,Sydney
2671,"100 Marsden Street, Parramatta New South Wales 2150, Australia",,,False,4,+61 2 9633 9898,4.20,512,Sydney
