,address_of_location,category,city_of_event,date,event_location,event_name,subcategory,time,number_of_seats
1093,755 Hank Aaron Drive Southeast,Sports,Atlanta,2019-03-08,Georgia State Stadium,Panthers Vs Trojans,Basketball,18:30,
1094,1 AMB Drive Northwest,Sports,Atlanta,2019-03-08,Mercedes-Benz Stadium,United Vs Red Bulls,Football,19:00,
1095,1 AMB Drive Northwest,Sports,Atlanta,2019-03-08,Mercedes-Benz Stadium,United Vs United,Football,19:00,
1096,177 North Avenue Northwest,Sports,Atlanta,2019-03-08,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Hokies,American Football,18:00,
1097,177 North Avenue Northwest,Sports,Atlanta,2019-03-08,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Panthers,American Football,18:30,
1098,24 Willie Mays Plaza,Sports,San Francisco,2019-03-08,Oracle Park,Giants Vs Rockies,Baseball,19:00,
1099,24 Willie Mays Plaza,Sports,San Francisco,2019-03-14,Oracle Park,Giants Vs Diamondbacks,Baseball,20:00,
1100,24 Willie Mays Plaza,Sports,San Francisco,2019-03-14,Oracle Park,Giants Vs Dodgers,Baseball,18:00,
1101,24 Willie Mays Plaza,Sports,San Francisco,2019-03-14,Oracle Park,Giants Vs Marlins,Baseball,18:30,
1102,24 Willie Mays Plaza,,San Francisco,2019-03-14,Oracle Park,Giants Vs Diamondbacks,,20:00,2
1103,1234 West 7th Street,,Los Angeles,2019-03-07,The Teragram Ballroom,Girl In Red,,19:00,3
1104,2047 North Milwaukee Avenue,Music,Chicago,2019-03-10,Concord Music Hall,Basta,Pop,20:30,
1105,3635 North Clark Street,Music,Chicago,2019-03-10,Gallagher Way,Billy Currington,Country,20:30,
1106,2047 North Milwaukee Avenue,Music,Chicago,2019-03-12,Concord Music Hall,New Found Glory,Pop,19:00,
1107,2033 West North Avenue,Music,Chicago,2019-03-14,Chop Shop,The Buttertones,Rock,20:00,
1108,2047 North Milwaukee Avenue,Music,Chicago,2019-03-14,Concord Music Hall,Timmy Trumpet,Jazz,18:30,
1109,2047 North Milwaukee Avenue,,Chicago,2019-03-10,Concord Music Hall,Basta,,20:30,4
1110,3911 Figueroa Street,Sports,Los Angeles,2019-03-14,LA Memorial Coliseum,Trojans Vs Bulldogs,American Football,19:00,
1111,3911 Figueroa Street,Sports,Los Angeles,2019-03-14,LA Memorial Coliseum,Usc Vs Oregon,American Football,20:00,
1112,3911 Figueroa Street,Sports,Los Angeles,2019-03-14,LA Memorial Coliseum,Usc Vs Ucla,American Football,19:30,
1113,3911 Figueroa Street,,Los Angeles,2019-03-14,LA Memorial Coliseum,Usc Vs Oregon,,20:00,4
1114,2047 North Milwaukee Avenue,,Chicago,2019-03-10,Concord Music Hall,Basta,,20:30,3
1115,123-01 Roosevelt Avenue,,New York,2019-03-05,Citi Field,Mets Vs Dodgers,,18:30,2
1116,1060 West Addison Street,,Chicago,2019-03-04,Wrigley Field,Cubs Vs Giants,,18:30,4
1117,1 Lincoln Financial Field Way,,Philadelphia,2019-03-14,Lincoln Financial Field,Eagles Vs Cowboys,,20:00,3
1118,1111 Southwest Broadway,Music,Portland,2019-03-03,Newmark Theatre,Erica Fernandez,Pop,18:30,
1119,1111 Southwest Broadway,,Portland,2019-03-03,Newmark Theatre,Erica Fernandez,,18:30,2
1120,201 Van Ness Avenue,,San Francisco,2019-03-10,San Francisco Symphony,Carmina Burana,,18:00,1
1121,"261 Driggs Avenue, Brooklyn",Music,New York,2019-03-05,Warsaw,Russian Circles,Rock,18:30,
1122,89 South Street,Music,New York,2019-03-05,Pier 17,Squeeze,Rock,19:00,
1123,"261 Driggs Avenue, Brooklyn",,New York,2019-03-05,Warsaw,Russian Circles,,18:30,3
1124,"56-15 Northern Boulevard, Woodside",,New York,2019-03-06,La Boom,Americo,,18:30,1
1125,123-01 Roosevelt Avenue,,New York,2019-03-13,Citi Field,Mets Vs Braves,,18:00,1
1126,Kennington Oval,,London,2019-03-05,The Oval,India Vs Australia,,18:00,4
1127,5500 Campanile Drive,,San Diego,2019-03-06,Cal Coast Credit Union Amphitheater,Alejandro Sanz,,18:30,2
1128,1 Lincoln Financial Field Way,Sports,Philadelphia,2019-03-09,Lincoln Financial Field,Owls Vs Bison,American Football,20:30,
1129,1 Lincoln Financial Field Way,Sports,Philadelphia,2019-03-09,Lincoln Financial Field,Owls Vs Huskies,American Football,18:30,
1130,1 Lincoln Financial Field Way,Sports,Philadelphia,2019-03-09,Lincoln Financial Field,Owls Vs Terrapins,American Football,19:30,
1131,1 Lincoln Financial Field Way,,Philadelphia,2019-03-09,Lincoln Financial Field,Owls Vs Huskies,,18:30,3
1132,2891 University Avenue,Music,San Diego,2019-03-05,The Observatory North Park,Fidlar,Rock,18:00,
1133,2891 University Avenue,Music,San Diego,2019-03-05,The Observatory North Park,Psychedelic Furs,Rock,18:00,
1134,2891 University Avenue,Music,San Diego,2019-03-05,The Observatory North Park,The Hives,Rock,18:30,
1135,2891 University Avenue,Music,San Diego,2019-03-05,The Observatory North Park,The Struts,Rock,19:30,
1136,2891 University Avenue,,San Diego,2019-03-05,The Observatory North Park,Fidlar,,18:00,1
1137,1030 Main Street,Music,Napa,2019-03-09,Blue Note Napa,Jon B,Blues,18:00,
1138,89 South Street,,New York,2019-03-09,Pier 17,Ben Harper,,18:00,4
1139,"261 Driggs Avenue, Brooklyn",,New York,2019-03-14,Warsaw,Amber Run Brooklyn,,18:00,2
1140,1000 Vin Scully Ave,,Los Angeles,2019-03-12,Dodger Stadium,Dodgers Vs Cubs,,20:30,4
1141,777 Valencia Street,,San Francisco,2019-03-06,The Chapel,Okkervil River,,18:00,1
1142,5500 Campanile Drive,Music,San Diego,2019-03-13,Cal Coast Credit Union Amphitheater,Bastille,Pop,18:00,
1143,5500 Campanile Drive,Music,San Diego,2019-03-13,Cal Coast Credit Union Amphitheater,Sara Bareilles,Pop,18:00,
1144,2891 University Avenue,Music,San Diego,2019-03-13,The Observatory North Park,Tuxedo,Pop,18:00,
1145,2047 North Milwaukee Avenue,Music,Chicago,2019-03-02,Concord Music Hall,New Found Glory,Pop,20:30,
1146,333 West 35th Street,Sports,Chicago,2019-03-02,Guaranteed Rate Field,White Sox Vs Yankees,Baseball,18:30,
1147,333 West 35th Street,,Chicago,2019-03-02,Guaranteed Rate Field,White Sox Vs Yankees,,18:30,4
1148,1 Lincoln Financial Field Way,,Philadelphia,2019-03-14,Lincoln Financial Field,Eagles Vs Cowboys,,20:00,1
1149,2901 East Hastings Street,Music,Vancouver,2019-03-11,PNE Amphitheatre,Smokey Robinson,Blues,18:30,
1150,2901 East Hastings Street,,Vancouver,2019-03-11,PNE Amphitheatre,Smokey Robinson,,18:30,2
1151,"1 Tennis Place, Forest Hills",Music,New York,2019-03-03,Forest Hills Stadium,Jojo Siwa,Pop,20:00,
1152,"Peter Jay Sharp Building, 30 Lafayette Avenue, Brooklyn",Music,New York,2019-03-03,BAM Howard Gilman Opera House,Madonna,Pop,20:00,
1153,"Peter Jay Sharp Building, 30 Lafayette Avenue, Brooklyn",Music,New York,2019-03-03,BAM Howard Gilman Opera House,Madonna Brooklyn,Pop,20:00,
1154,2891 University Avenue,Music,San Diego,2019-03-03,The Observatory North Park,Tuxedo,Pop,19:00,
1155,5500 Campanile Drive,Music,San Diego,2019-03-03,Cal Coast Credit Union Amphitheater,Vampire Weekend,Pop,19:30,
1156,"56-15 Northern Boulevard, Woodside",Music,New York,2019-03-08,La Boom,Americo,International,20:00,
1157,89 South Street,Music,New York,2019-03-08,Pier 17,Ben Harper,Blues,20:00,
1158,"1 Tennis Place, Forest Hills",Music,New York,2019-03-08,Forest Hills Stadium,Chemical Brothers,Rock,18:30,
1159,235 West 46th Street,Music,New York,2019-03-08,Sony Hall,Chris Botti,Jazz,18:30,
1160,"64 North 9th Street, Brooklyn",Music,New York,2019-03-08,Rough Trade NYC,Crooked Colours,Electronica,19:30,
1161,3608 33rd Street,Music,New York,2019-03-08,Melrose Ballroom,Esscalation Music Festival,Electronica,20:30,
1162,61 West 62nd Street,Music,New York,2019-03-08,David Rubenstein Atrium at Lincoln Center,France Rocks Festival,International,18:00,
1163,89 South Street,Music,New York,2019-03-08,Pier 17,Greensky Bluegrass,Blues,18:30,
1164,"141 Prospect Park West, Brooklyn",Music,New York,2019-03-08,Prospect Park Bandshell,Jason Isbell,Country,19:30,
1165,1030 Main Street,Music,Napa,2019-03-11,Blue Note Napa,Acoustic Alchemy,Jazz,18:00,
1166,1030 Main Street,Music,Napa,2019-03-03,Blue Note Napa,Jon B,Blues,18:00,
1167,1030 Main Street,Music,Napa,2019-03-14,Blue Note Napa,Mandy Harvey,Jazz,18:30,
1168,1060 West Addison Street,Sports,Chicago,2019-03-01,Wrigley Field,Cubs Vs Giants,Baseball,18:00,
1169,1060 West Addison Street,Sports,Chicago,2019-03-01,Wrigley Field,Cubs Vs Mariners,Baseball,19:30,
1170,333 West 35th Street,Sports,Chicago,2019-03-01,Guaranteed Rate Field,White Sox Vs Indians,Baseball,19:00,
1171,333 West 35th Street,Sports,Chicago,2019-03-01,Guaranteed Rate Field,White Sox Vs Rangers,Baseball,19:00,
1172,1 Lincoln Financial Field Way,Sports,Philadelphia,2019-03-07,Lincoln Financial Field,Eagles Vs Cowboys,American Football,20:00,
1173,1 Lincoln Financial Field Way,Sports,Philadelphia,2019-03-07,Lincoln Financial Field,Owls Vs Yellow Jackets,American Football,19:30,
1174,1 Citizens Bank Way,Sports,Philadelphia,2019-03-07,Citizens Bank Park,Phillies Vs Diamondbacks,Baseball,19:30,
1175,1100 Valley House Drive,Music,Rohnert Park,2019-03-13,SOMO Village Event Center,Billy Currington,Country,18:30,
1176,1100 Valley House Drive,Music,Rohnert Park,2019-03-01,SOMO Village Event Center,Billy Currington,Country,20:00,
1177,1250 1st Avenue South,Sports,Seattle,2019-03-08,T-Mobile Park,Mariners Vs Blue Jays,Baseball,20:00,
1178,1250 1st Avenue South,Sports,Seattle,2019-03-08,T-Mobile Park,Mariners Vs Rays,Baseball,20:30,
1179,1250 1st Avenue South,Sports,Seattle,2019-03-08,T-Mobile Park,Seattle Vs La Angels,Baseball,18:30,
1180,3800 Montlake Boulevard Northeast,Sports,Seattle,2019-03-10,Husky Stadium,Huskies Vs Warriors,Basketball,20:30,
1181,1250 1st Avenue South,Sports,Seattle,2019-03-10,T-Mobile Park,Mariners Vs Rangers,Baseball,18:00,
1182,1250 1st Avenue South,Sports,Seattle,2019-03-10,T-Mobile Park,Mariners Vs Rays,Baseball,18:30,
1183,3870 Montlake Boulevard Northeast,Sports,Seattle,2019-03-10,Alaska Airlines Arena,Seattle Vs Minnesota,Basketball,19:30,
1184,800 Occidental Avenue South,Sports,Seattle,2019-03-10,CenturyLink Field,Sounders Vs Revolution,Football,20:00,
1185,5500 Phinney Avenue North,Music,Seattle,2019-03-10,Flamingo Lot,Cody Johnson,Country,20:30,
1186,601 F Street Northwest,Sports,Washington D.C.,2019-03-10,Capital One Arena,Mystics Vs Sky,Basketball,20:00,
1187,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-10,Nationals Park,Nationals Vs Brewers,Baseball,19:30,
1188,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-10,Nationals Park,Nationals Vs Dodgers,Baseball,19:00,
1189,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-10,Nationals Park,Nationals Vs Indians,Baseball,18:00,
1190,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-10,Nationals Park,Nationals Vs Orioles,Baseball,18:30,
1191,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-10,Nationals Park,Nationals Vs Reds,Baseball,18:00,
1192,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-10,Nationals Park,Nationals Vs Rockies,Baseball,20:30,
1193,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-10,Nationals Park,Nationals Vs Royals,Baseball,20:00,
1194,1100 Oak Drive SE,Sports,Washington D.C.,2019-03-10,Entertainment & Sports Arena,Washington Vs Ny Liberty,Basketball,20:30,
1195,1 Citizens Bank Way,Sports,Philadelphia,2019-03-09,Citizens Bank Park,Phillies Vs Braves,Baseball,20:30,
1196,1 Citizens Bank Way,Sports,Philadelphia,2019-03-09,Citizens Bank Park,Phillies Vs Cubs,Baseball,19:00,
1197,1 Citizens Bank Way,Sports,Philadelphia,2019-03-09,Citizens Bank Park,Phillies Vs Mets,Baseball,18:00,
1198,1 Citizens Bank Way,Sports,Philadelphia,2019-03-09,Citizens Bank Park,Phillies Vs Padres,Baseball,20:00,
1199,1 Citizens Bank Way,Sports,Philadelphia,2019-03-09,Citizens Bank Park,Phillies Vs White Sox,Baseball,20:00,
1200,29 East Allen Street 2nd Floor,Music,Philadelphia,2019-03-05,The Foundry,Girl In Red,Pop,18:00,
1201,1200 Callowhill Street,Music,Philadelphia,2019-03-05,Underground Arts,Hot Water Music,Rock,18:30,
1202,29 East Allen Street 2nd Floor,Music,Philadelphia,2019-03-05,The Foundry,Lights,Electronica,19:00,
1203,29 East Allen Street 2nd Floor,Music,Philadelphia,2019-03-05,The Foundry,The Lemonheads,Rock,18:30,
1204,777 Valencia Street,Music,San Francisco,2019-03-12,The Chapel,Thee Oh Sees,Rock,18:00,
1205,2901 East Hastings Street,Music,Vancouver,2019-03-14,PNE Amphitheatre,Smokey Robinson,Blues,19:00,
1206,625 Nelson Road,Sports,Stanford,2019-03-05,Stanford Stadium,Cardinal Vs Wildcats,American Football,19:00,
1207,177 North Avenue Northwest,Sports,Atlanta,2019-03-04,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Bulldogs,American Football,20:30,
1208,177 North Avenue Northwest,Sports,Atlanta,2019-03-09,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Bulls,American Football,18:00,
1209,177 North Avenue Northwest,Sports,Atlanta,2019-03-09,Bobby Dodd Stadium at Historic Grant Field,Yellow Jackets Vs Hokies,American Football,18:00,
1210,"740 Water Street Southwest, Washington, District of Columbia 20024, United States",Music,Washington D.C.,2019-03-01,Union Stage,Carbon Leaf,Blues,20:30,
1211,"2700 F Street Northwest, Washington, District of Columbia 20566, United States",Music,Washington D.C.,2019-03-01,Family Theater,Freestyle Love Supreme,Hip Hop,18:00,
1212,"33 Pearl Street Southwest, Washington, District of Columbia 20024, United States",Music,Washington D.C.,2019-03-01,Pearl Street Warehouse,Nicole Belanus Washington,Blues,19:30,
1213,3800 Montlake Boulevard Northeast,Sports,Seattle,2019-03-07,Husky Stadium,Huskies Vs Warriors,Basketball,20:00,
1214,800 Occidental Avenue South,Sports,Seattle,2019-03-07,CenturyLink Field,Seahawks Vs Cardinals,American Football,19:00,
1215,3870 Montlake Boulevard Northeast,Sports,Seattle,2019-03-07,Alaska Airlines Arena,Seattle Vs Atlanta,Basketball,20:30,
1216,3870 Montlake Boulevard Northeast,Sports,Seattle,2019-03-07,Alaska Airlines Arena,Seattle Vs Minnesota,Basketball,19:30,
1217,123-01 Roosevelt Avenue,Sports,New York,2019-03-11,Citi Field,Mets Vs Dodgers,Baseball,18:00,
1218,123-01 Roosevelt Avenue,Sports,New York,2019-03-11,Citi Field,Mets Vs Indians,Baseball,18:00,
1219,123-01 Roosevelt Avenue,Sports,New York,2019-03-11,Citi Field,Mets Vs Rockies,Baseball,20:00,
1220,1 East 161 Street,Sports,New York,2019-03-11,Yankee Stadium,Nycfc Vs Earthquakes,Baseball,18:30,
1221,1 East 161 Street,Sports,New York,2019-03-11,Yankee Stadium,Nycfc Vs Red Bulls,Baseball,18:30,
1222,1 East 161 Street,Sports,New York,2019-03-11,Yankee Stadium,Nycfc Vs United,Baseball,20:00,
1223,1 East 161 Street,Sports,New York,2019-03-11,Yankee Stadium,Yankees Vs Blue Jays,Baseball,20:00,
1224,1 East 161 Street,Sports,New York,2019-03-11,Yankee Stadium,Yankees Vs Diamondbacks,Baseball,19:00,
1225,1 East 161 Street,Sports,New York,2019-03-11,Yankee Stadium,Yankees Vs Orioles,Baseball,20:00,
1226,1000 Vin Scully Ave,Sports,Los Angeles,2019-03-02,Dodger Stadium,Dodgers Vs Cubs,Baseball,20:00,
1227,1000 Vin Scully Ave,Sports,Los Angeles,2019-03-02,Dodger Stadium,Dodgers Vs Diamondbacks,Baseball,20:00,
1228,1000 Vin Scully Ave,Sports,Los Angeles,2019-03-02,Dodger Stadium,Dodgers Vs Marlins,Baseball,18:00,
1229,1000 Vin Scully Ave,Sports,Los Angeles,2019-03-02,Dodger Stadium,Dodgers Vs Rockies,Baseball,18:00,
1230,800 Occidental Avenue South,Sports,Seattle,2019-03-14,CenturyLink Field,Sounders Vs Red Bulls,Football,18:00,
1231,800 Occidental Avenue South,Sports,Seattle,2019-03-14,CenturyLink Field,Sounders Vs Timbers,Football,19:00,
1232,29 East Allen Street,Music,Philadelphia,2019-03-09,The Fillmore Philadelphia,Blueface,Hip Hop,19:30,
1233,29 East Allen Street,Music,Philadelphia,2019-03-09,The Fillmore Philadelphia,Conan Gray,Pop,18:30,
1234,29 East Allen Street 2nd Floor,Music,Philadelphia,2019-03-09,The Foundry,Girl In Red,Pop,18:00,
1235,29 East Allen Street,Music,Philadelphia,2019-03-09,The Fillmore Philadelphia,Nav With Killy,Hip Hop,18:00,
1236,1200 Callowhill Street,Music,Philadelphia,2019-03-09,Underground Arts,The Melvins,Rock,19:30,
1237,29 East Allen Street 2nd Floor,Music,Philadelphia,2019-03-09,The Foundry,Tuxedo,Pop,18:00,
1238,29 East Allen Street 2nd Floor,Music,Philadelphia,2019-03-14,The Foundry,Don Broco,Rock,19:00,
1239,1200 Callowhill Street,Music,Philadelphia,2019-03-14,Underground Arts,The Melvins,Rock,19:30,
1240,"1 Tennis Place, Forest Hills",Music,New York,2019-03-03,Forest Hills Stadium,Outlaw Music Festival,Country,20:30,
1241,1100 Valley House Drive,Music,Rohnert Park,2019-03-03,SOMO Village Event Center,Billy Currington,Country,18:00,
1242,5500 Phinney Avenue North,Music,Seattle,2019-03-01,Flamingo Lot,Cody Johnson,Country,18:30,
1243,123-01 Roosevelt Avenue,Sports,New York,2019-03-10,Citi Field,Mets Vs Braves,Baseball,19:30,
1244,123-01 Roosevelt Avenue,Sports,New York,2019-03-10,Citi Field,Mets Vs Diamondbacks,Baseball,19:00,
1245,123-01 Roosevelt Avenue,Sports,New York,2019-03-10,Citi Field,Mets Vs Dodgers,Baseball,20:30,
1246,123-01 Roosevelt Avenue,Sports,New York,2019-03-10,Citi Field,Mets Vs Phillies,Baseball,18:00,
1247,1 East 161 Street,Sports,New York,2019-03-10,Yankee Stadium,Nycfc Vs Earthquakes,Baseball,20:30,
1248,1 East 161 Street,Sports,New York,2019-03-10,Yankee Stadium,Nycfc Vs Sporting Kc,Baseball,19:30,
1249,1 East 161 Street,Sports,New York,2019-03-10,Yankee Stadium,Nycfc Vs Union,Baseball,20:00,
1250,1 East 161 Street,Sports,New York,2019-03-10,Yankee Stadium,Yankees Vs Orioles,Baseball,19:00,
1251,1 East 161 Street,Sports,New York,2019-03-10,Yankee Stadium,Yankees Vs Rangers,Baseball,18:00,
1252,1000 Vin Scully Ave,Sports,Los Angeles,2019-03-04,Dodger Stadium,Dodgers Vs Cubs,Baseball,20:00,
1253,1000 Vin Scully Ave,Sports,Los Angeles,2019-03-04,Dodger Stadium,Dodgers Vs Diamondbacks,Baseball,18:30,
1254,1000 Vin Scully Ave,Sports,Los Angeles,2019-03-04,Dodger Stadium,Dodgers Vs Giants,Baseball,20:00,
1255,1111 South Figueroa Street,Sports,Los Angeles,2019-03-04,STAPLES Center,Sparks Vs Mystics,Basketball,18:30,
1256,3911 Figueroa Street,Sports,Los Angeles,2019-03-04,LA Memorial Coliseum,Usc Vs Utah,American Football,20:30,
1257,"104 N. Ave 56, 2nd Floor",Music,Los Angeles,2019-03-04,Lodge Room,Bill Callahan,Country,18:30,
1258,1234 West 7th Street,Music,Los Angeles,2019-03-04,The Teragram Ballroom,Lights,Electronica,19:00,
1259,1111 South Figueroa Street,Sports,Los Angeles,2019-03-07,STAPLES Center,Sparks Vs Mystics,Basketball,18:00,
1260,1111 South Figueroa Street,Sports,Los Angeles,2019-03-07,STAPLES Center,Sparks Vs Storm,Basketball,18:00,
1261,3911 Figueroa Street,Sports,Los Angeles,2019-03-07,LA Memorial Coliseum,Trojans Vs Bulldogs,American Football,20:30,
1262,3911 Figueroa Street,Sports,Los Angeles,2019-03-07,LA Memorial Coliseum,Usc Vs Ucla,American Football,18:00,
1263,89 South Street,Music,New York,2019-03-10,Pier 17,Blackbear,Hip Hop,18:00,
1264,"1 Tennis Place, Forest Hills",Music,New York,2019-03-10,Forest Hills Stadium,Chemical Brothers,Rock,19:30,
1265,235 West 46th Street,Music,New York,2019-03-10,Sony Hall,Chris Botti,Jazz,20:00,
1266,3608 33rd Street,Music,New York,2019-03-10,Melrose Ballroom,Esscalation Music Festival,Electronica,20:00,
1267,235 West 46th Street,Music,New York,2019-03-10,Sony Hall,Harlem Gospel Choir,Christian,19:30,
1268,881 7th Avenue,Music,New York,2019-03-10,Stern Auditorium / Perelman Stage,Joe Hisaishi,Classical,19:30,
1269,235 West 46th Street,Music,New York,2019-03-10,Sony Hall,Laura Osnes,Classical,18:00,
1270,"141 Prospect Park West, Brooklyn",Music,New York,2019-03-10,Prospect Park Bandshell,Mac Demarco,Blues,18:00,
1271,2000 East Gene Autry Way,Sports,Anaheim,2019-03-14,Angel Stadium of Anaheim,Angels Vs Red Sox,Baseball,18:00,
1272,2000 East Gene Autry Way,Sports,Anaheim,2019-03-14,Angel Stadium of Anaheim,La Angels Vs Houston,Baseball,18:30,
1273,333 West 35th Street,Sports,Chicago,2019-03-13,Guaranteed Rate Field,White Sox Vs Indians,Baseball,19:00,
1274,1 Oxford Street,Sports,Sydney,2019-03-01,Football Federation Australia,Melbourne Knights Vs Avondale,Football,20:00,
1275,178 Junction Road,Music,London,2019-03-06,Boston Music Room,Beyond The Black,Rock,19:30,
1276,2500 Durant Avenue,Music,Berkeley,2019-03-05,2500 Durant Ave,Berkeley World Music Festival,International,19:30,
1277,2367 Shattuck Avenue,Music,Berkeley,2019-03-05,Cornerstone Craft Beer & Live Music,Jonathan Mcreynolds,Christian,18:30,
1278,2367 Shattuck Avenue,Music,Berkeley,2019-03-05,Cornerstone Craft Beer & Live Music,Phutureprimitive,Electronica,20:00,
1279,2367 Shattuck Avenue,Music,Berkeley,2019-03-05,Cornerstone Craft Beer & Live Music,The Original Wailers,International,19:00,
1280,"1 Tennis Place, Forest Hills",Music,New York,2019-03-01,Forest Hills Stadium,Outlaw Music Festival,Country,20:00,
1281,100 Park Boulevard,Sports,San Diego,2019-03-14,Petco Park,Padres Vs Orioles,Baseball,19:00,
1282,100 Park Boulevard,Sports,San Diego,2019-03-14,Petco Park,Padres Vs Rays,Baseball,20:00,
1283,"740 Water Street Southwest, Washington, District of Columbia 20024, United States",Music,Washington D.C.,2019-03-11,Union Stage,Carbon Leaf,Blues,19:00,
1284,"2700 F Street Northwest, Washington, District of Columbia 20566, United States",Music,Washington D.C.,2019-03-13,Family Theater,Freestyle Love Supreme,Hip Hop,18:30,
1285,"740 Water Street Southwest, Washington, District of Columbia 20024, United States",Music,Washington D.C.,2019-03-08,Union Stage,Juliana Hatfield,Pop,19:30,
1286,"740 Water Street Southwest, Washington, District of Columbia 20024, United States",Music,Washington D.C.,2019-03-11,Union Stage,Thenewdeal,Electronica,18:30,
1287,1250 1st Avenue South,Sports,Seattle,2019-03-11,T-Mobile Park,Mariners Vs Rangers,Baseball,20:30,
1288,1250 1st Avenue South,Sports,Seattle,2019-03-11,T-Mobile Park,Mariners Vs Rays,Baseball,20:00,
1289,1250 1st Avenue South,Sports,Seattle,2019-03-11,T-Mobile Park,Mariners Vs White Sox,Baseball,18:00,
1290,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-13,Nationals Park,Nationals Vs Diamondbacks,Baseball,19:00,
1291,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-13,Nationals Park,Nationals Vs Orioles,Baseball,20:30,
1292,1500 South Capitol Street Southeast,Sports,Washington D.C.,2019-03-13,Nationals Park,Nationals Vs Reds,Baseball,20:30,
1293,1374 West Peachtree Street Northwest,,Atlanta,2019-03-12,The Loft,The Cinematic Orchestra,,18:00,2
1294,24 Willie Mays Plaza,,San Francisco,2019-03-05,Oracle Park,Giants Vs Brewers,,19:00,2
1295,2891 University Avenue,Music,San Diego,2019-03-14,The Observatory North Park,Psychedelic Furs,Rock,18:00,
1296,5500 Campanile Drive,Music,San Diego,2019-03-14,Cal Coast Credit Union Amphitheater,Sara Bareilles,Pop,19:30,
1297,2891 University Avenue,Music,San Diego,2019-03-14,The Observatory North Park,The Hives,Rock,20:00,
1298,5500 Campanile Drive,Music,San Diego,2019-03-14,Cal Coast Credit Union Amphitheater,Vampire Weekend,Pop,19:30,
1299,2891 University Avenue,Music,San Diego,2019-03-13,The Observatory North Park,Fidlar,Rock,20:00,
1300,2891 University Avenue,Music,San Diego,2019-03-13,The Observatory North Park,Local Natives,Rock,20:00,
1301,2891 University Avenue,Music,San Diego,2019-03-13,The Observatory North Park,The Hives,Rock,19:30,
1302,2891 University Avenue,,San Diego,2019-03-13,The Observatory North Park,Local Natives,,20:00,3
1303,777 Pacific Boulevard,,Vancouver,2019-03-08,BC Place,Whitecaps Vs Colorado Rapids,,19:30,4
1304,1720 East 16th Street,,Los Angeles,2019-03-14,1720(tm),Gloryhammer,,20:30,2
1305,1 Citizens Bank Way,,Philadelphia,2019-03-02,Citizens Bank Park,Phillies Vs Padres,,20:00,3
1306,"740 Water Street Southwest, Washington, District of Columbia 20024, United States",Music,Washington D.C.,2019-03-10,Union Stage,Carbon Leaf,Blues,20:30,
1307,"740 Water Street Southwest, Washington, District of Columbia 20024, United States",,Washington D.C.,2019-03-10,Union Stage,Carbon Leaf,,20:30,3
1308,89 South Street,,New York,2019-03-09,Pier 17,Ben Harper,,18:00,3
1309,2891 University Avenue,,San Diego,2019-03-14,The Observatory North Park,Local Natives,,20:30,2
1310,"Brisbane, California 94005, United States",,Brisbane,2019-03-01,Brisbane Community Park,Star City Music Festival,,18:00,1
1311,1100 Valley House Drive,Music,Rohnert Park,2019-03-02,SOMO Village Event Center,Aaron Lewis,Country,20:00,
1312,1100 Valley House Drive,Music,Rohnert Park,2019-03-02,SOMO Village Event Center,Billy Currington,Country,18:30,
1313,1100 Valley House Drive,,Rohnert Park,2019-03-02,SOMO Village Event Center,Billy Currington,,18:30,2
1314,29 East Allen Street 2nd Floor,,Philadelphia,2019-03-03,The Foundry,Girl In Red,,19:00,4
1315,401 West Van Buren Street,,Phoenix,2019-03-14,The Van Buren,Greensky Bluegrass,,19:00,3
1316,"261 Driggs Avenue, Brooklyn",Music,New York,2019-03-08,Warsaw,Russian Circles,Rock,20:00,
1317,"141 Prospect Park West, Brooklyn",Music,New York,2019-03-08,Prospect Park Bandshell,The National,Rock,20:30,
1318,89 South Street,Music,New York,2019-03-08,Pier 17,The Struts,Rock,20:00,
1319,235 West 46th Street,Music,New York,2019-03-08,Sony Hall,Vertical Horizon,Rock,18:30,
1320,"1 Tennis Place, Forest Hills",,New York,2019-03-08,Forest Hills Stadium,Chemical Brothers,,18:30,2
1321,1280 Peachtree Street Northeast,Music,Atlanta,2019-03-12,Atlanta Symphony Orchestra,Kirk Franklin,Christian,19:00,
1322,1280 Peachtree Street Northeast,,Atlanta,2019-03-12,Atlanta Symphony Orchestra,Kirk Franklin,,19:00,2
1323,123-01 Roosevelt Avenue,,New York,2019-03-11,Citi Field,Mets Vs Dodgers,,18:00,1
1324,1200 Callowhill Street,,Philadelphia,2019-03-09,Underground Arts,The Melvins,,19:30,2
