,average_rating,city,doctor_name,phone_number,street_address,type,appointment_date,appointment_time
485,4.30,,"Dr. Richard G. Glogau, MD",415-564-1261,199 Ocean Avenue,Dermatologist,2019-03-02,16:00
486,5.00,,"Dr. Claudia S. Pinilla, MD",925-837-1403,7601 Stoneridge Drive,Ophthalmologist,2019-03-09,11:00
487,5.00,,"Dr. David R. Pepper, MD",415-552-1013,240 Shotwell Street,General Practitioner,2019-03-12,13:30
488,5.00,,"Dr. Anthony K. Boyce, DO",707-571-4320,401 Bicentennial Way,General Practitioner,2019-03-08,12:30
489,5.00,,"Jonathan S. Berek, MD, MMS",650-498-6004,900 Blake Wilbur Drive 1st Floor,Gynecologist,2019-03-10,15:30
490,5.00,,"Donna J. Lee, MD",650-498-7949,301 Industrial Road,Ophthalmologist,2019-03-09,13:00
491,4.60,,"Cynthia S. Chiu, MD, FACS, Inc.",510-836-2122,491 30th Street #201,Ophthalmologist,2019-03-05,11:00
492,5.00,,"Susan C. Logan, MD",707-575-1626,1111 Sonoma Avenue Suite 202,Gynecologist,2019-03-13,10:30
493,4.70,,"Jay Bansal, MD",650-966-0900,4906 El Camino Real B,Ophthalmologist,2019-03-09,17:00
494,4.00,,"Jennifer S. Falk, M.D.",650-853-2984,"795 El Camino Real Jamplis Building, Level 1",General Practitioner,2019-03-03,17:00
495,3.70,,Point Reyes Medical Clinic: Hamblin Basil C MD,415-663-8666,3 Harbor Drive Ste 111,General Practitioner,2019-03-05,17:30
496,3.70,,"Dr. Vilasini M. Ganesh, MD",408-378-1610,1600 West Campbell Avenue #202,General Practitioner,2019-03-06,16:00
497,3.90,,"John Chiu, M.D.",408-863-0709,700 West Parr Avenue,General Practitioner,2019-03-14,13:30
498,4.70,,Delta Aesthetics,925-757-5311,320 Lennon Lane,Dermatologist,2019-03-12,10:00
499,4.70,,Lawrence Bruce P MD,510-465-2502,3200 Kearney Street Bldg 2,General Practitioner,2019-03-01,13:30
500,5.00,,"Dr. Janet Bodle, MD",415-860-5875,3838 California Street #601,General Practitioner,2019-03-05,14:00
501,5.00,,"Isaac Neuhaus, M.D.",415-353-7878,1701 Divisadero Street,Dermatologist,2019-03-06,15:00
502,5.00,,"Stewart A. Daniels, M.D",925-522-8850,3330 Clayton Road,Ophthalmologist,2019-03-11,11:00
503,4.20,,Ocean Medical Clinic,415-585-7300,301 Industrial Road Level 3,Dermatologist,2019-03-12,14:00
504,4.70,,"Gayle L. Sutcliffe, M.D.",707-678-0258,125 North Lincoln Street # G,General Practitioner,2019-03-12,12:30
505,3.70,,"Dr. Mauro B. Ruffy, MD",408-357-1250,2505 Samaritan Drive Suite 510,ENT Specialist,2019-03-02,17:00
506,5.00,,"Amy Teng, DO",650-396-8110,2500 Hospital Drive ste 8a,Gynecologist,2019-03-07,17:30
507,5.00,,"Shaheen Khosla, DO",650-591-8501,1010 Laurel Street,Dermatologist,2019-03-03,14:00
508,4.30,,Ferry James A MD,925-813-6500,5601 Deer Valley Road,Gynecologist,2019-03-12,12:30
509,4.00,,"Dr. Gary A. Rust, MD",415-626-4900,2460 Mission Street #217,ENT Specialist,2019-03-02,16:00
510,5.00,,"Women's Pelvic Health Institute - Peter Castillo MD, FACOG",925-905-9922,1210 Alhambra Avenue,Gynecologist,2019-03-09,13:00
511,5.00,,"Dr. Edward E. Manche, MD",650-498-7020,1300 Crane Street,Ophthalmologist,2019-03-14,17:30
512,4.00,,"Dr. Philip R. Lindstrom, DO",408-972-7000,455 Oconnor Drive #210,General Practitioner,2019-03-03,14:00
513,5.00,,"Aaron Tward, M.D.",415-353-2757,2380 Sutter Street,ENT Specialist,2019-03-01,15:30
514,4.90,Walnut Creek,Bay Area Retina Associates,925-943-6800,122 La Casa Via,Ophthalmologist,,
515,5.00,Walnut Creek,"Dr. Vahid Feiz, M.D.",925-705-7299,100 North Wiget Lane Suite 270,Ophthalmologist,,
516,5.00,Walnut Creek,Liu Michelle W MD,925-930-8100,365 Lennon Lane Suite 250,Ophthalmologist,,
517,3.70,Walnut Creek,Northern California Cornea Assc,925-947-0888,370 Distel Circle,Ophthalmologist,,
518,5.00,,"Dr. Vahid Feiz, M.D.",925-705-7299,100 North Wiget Lane Suite 270,Ophthalmologist,2019-03-01,13:00
519,4.00,,Access Health,408-729-7690,301 Old San Francisco Road Level 2,General Practitioner,2019-03-08,12:30
520,5.00,,Antioch Family Practice: Copeland John W MD,925-778-7233,3440 Hillcrest Avenue Suite 150,General Practitioner,2019-03-06,11:30
521,4.80,,"Carla Stelling, MD",510-275-7492,3300 Webster Street #1200,Gynecologist,2019-03-01,15:00
522,5.00,,Kini Divya MD,650-755-2192,"795 El Camino Real Jamplis Building, Level 1",General Practitioner,2019-03-14,11:00
523,5.00,,"Anjali Tate, M.D.",510-845-8035,2400 Samaritan Drive #105,Gynecologist,2019-03-09,17:30
524,5.00,,"Anjali Tate, M.D.",510-845-8035,2400 Samaritan Drive #105,Gynecologist,2019-03-04,14:30
525,4.30,,Alta Eye Care,408-502-6188,1085 West El Camino Real Level 2,Ophthalmologist,2019-03-03,16:00
526,5.00,Pleasanton,"Dr. Elaine R. Sumaquial, MD",925-847-5050,2301 Camino Ramon,General Practitioner,,
527,3.70,Pleasanton,John Muir Medical Group: Dr. Manisha Shingate,925-224-0722,5860 Owens Drive Suite 210,General Practitioner,,
528,4.50,Pleasanton,"Maliha Qadir, MD",925-463-0590,5575 West Las Positas Boulevard #130,General Practitioner,,
529,3.70,Pleasanton,"Patricia Carter, MD",925-224-0740,5601 Norris Canyon Terrace # 330,General Practitioner,,
530,5.00,Pleasanton,"Shazia K. Mughal, MD",925-416-6767,1133 East Stanley Boulevard #101,General Practitioner,,
531,4.00,Pleasanton,Wherry Jeffrey MD,925-460-9903,5575 West Las Positas Boulevard #130,General Practitioner,,
532,5.00,,"Dr. Elaine R. Sumaquial, MD",925-847-5050,2301 Camino Ramon,General Practitioner,2019-03-05,12:00
533,3.70,,Abazari Mina MD,949-916-9100,5050 West El Camino Real # 110,General Practitioner,2019-03-13,17:00
534,5.00,,"Alex De Moraes, MD",707-257-1550,935 Trancas Street,General Practitioner,2019-03-03,11:30
535,5.00,,"Toyin Falola, M.D.",650-652-8310,1501 Trousdale Drive #2,Dermatologist,2019-03-09,17:30
536,5.00,,"Rajnish Gupta, M.D., Ph.D.",925-875-6100,"1, 4050 Dublin Boulevard",Dermatologist,2019-03-10,11:30
537,4.70,,"Jonathan Kurss, MD",707-303-1719,500 Doyle Park Drive #200,Gynecologist,2019-03-07,10:00
538,5.00,,"Dr. Dan R. Lightfoot, MD",707-575-3800,3536 Mendocino Avenue #380,Ophthalmologist,2019-03-08,15:30
539,5.00,Dublin,"Dr. William A. Davis, MD",925-828-0847,7788 Dublin Boulevard,General Practitioner,,
540,5.00,Dublin,Dr. Yusuf Ruhullah,925-829-9888,2305 Camino Ramon Suite 100,General Practitioner,,
541,5.00,Dublin,"John J. Smucny, M.D.",415-600-1085,2300 California Street #202,General Practitioner,,
542,5.00,Santa Rosa,"Cosmetic & Restorative Dermatology: Marek Lorenc, M.D.",707-578-1800,"2929, 2290 Sacramento Street",Dermatologist,,
543,3.80,Santa Rosa,"Helena A. Longin, M.D.",707-521-7760,196 Wikiup Drive,Dermatologist,,
544,4.50,Santa Rosa,NCMA Redwood Family Dermatology,707-545-4537,2725 Mendocino Avenue,Dermatologist,,
545,3.20,Santa Rosa,NorCal Dermatology and Cosmetic,707-527-9517,864 2nd Street,Dermatologist,,
546,4.60,Santa Rosa,Santa Rosa Dermatology: Anders R Makala MD,707-542-5664,2725 Mendocino Avenue,Dermatologist,,
547,5.00,,"Cosmetic & Restorative Dermatology: Marek Lorenc, M.D.",707-578-1800,"2929, 2290 Sacramento Street",Dermatologist,2019-03-12,16:30
548,5.00,,"Benjamin Sadoff, MD",925-677-0500,2700 Grant Street Suite 200,General Practitioner,2019-03-11,12:00
549,5.00,,"John Nguyen, M.D.",650-934-7900,4906 West El Camino Real # A,ENT Specialist,2019-03-08,14:30
550,5.00,,"Anne Han, M.D.",415-600-3800,655 Redwood Highway Suite 100,Dermatologist,2019-03-12,11:30
551,5.00,,"Dr. Ali A. Zaki, MD",408-272-2252,200 Jose Figueres Avenue #490,Gynecologist,2019-03-06,15:00
552,5.00,,Alchemy John MD,707-576-7000,"Sonoma Ave, # 44, 1820 Doctors Park Drive",General Practitioner,2019-03-03,15:30
553,3.70,,Bastoni Kelly A MD,707-393-4044,1550 Gateway Boulevard,General Practitioner,2019-03-08,16:00
554,4.00,,Access Health,408-729-7690,301 Old San Francisco Road Level 2,General Practitioner,2019-03-03,17:00
555,5.00,Napa,"Daneil Hersh, MD",707-251-1850,1100 Trancas Street #209,Gynecologist,,
556,4.30,Napa,Premier ObGyn Napa,707-666-0547,3030 Beard Road,Gynecologist,,
557,5.00,,"Daneil Hersh, MD",707-251-1850,1100 Trancas Street #209,Gynecologist,2019-03-07,17:00
558,5.00,,"Nikolajs Lapins, M.D.",650-692-0182,730 Welch Road 1st Floor,Dermatologist,2019-03-13,16:30
559,5.00,,Baart Antioch: Quismorio William L MD,925-522-0124,5161 Clayton Road Suite F,General Practitioner,2019-03-11,14:30
560,5.00,,"Alex De Moraes, MD",707-257-1550,935 Trancas Street,General Practitioner,2019-03-02,15:30
561,4.20,Oakland,Anthony E Jones MD,510-268-1800,17251 Hesperian Boulevard,General Practitioner,,
562,5.00,Oakland,"Caroline Schreiber, MD",510-645-9900,3100 Telegraph Avenue # 2109,General Practitioner,,
563,5.00,Oakland,Do Anh T MD,714-489-1070,604 East Evelyn Avenue,General Practitioner,,
564,5.00,Oakland,"Emily Caro-Bruce, MD",510-225-1013,100 San Pablo Towne Center,General Practitioner,,
565,4.50,Oakland,"George Lee, MD",510-986-6800,450 Park Street #100B,General Practitioner,,
566,5.00,Oakland,George M Martinez Inc,510-763-3005,19682 Hesperian Boulevard #101,General Practitioner,,
567,3.70,Oakland,Jaime R Cortes Inc,510-532-1070,3351 International Boulevard,General Practitioner,,
568,5.00,Oakland,"John Good, MD",510-286-8160,3100 Telegraph Avenue #2102,General Practitioner,,
569,3.30,Oakland,John Muir Medical Group,510-985-3620,3100 San Pablo Avenue Suite 310,General Practitioner,,
570,5.00,Oakland,Lake Gordon a MD,510-419-0230,"3, 2500 Merced Street",General Practitioner,,
571,4.20,,Anthony E Jones MD,510-268-1800,17251 Hesperian Boulevard,General Practitioner,2019-03-13,10:00
572,5.00,Orinda,"Catherine Jiam-Seagren, M.D.",510-204-8166,3850 Grand Avenue,General Practitioner,,
573,5.00,,"Catherine Jiam-Seagren, M.D.",510-204-8166,3850 Grand Avenue,General Practitioner,2019-03-06,17:30
574,5.00,Mountain View,"Albert Pisani, M.D.",650-934-7520,2490 Hospital Drive #111,Gynecologist,,
575,3.50,Mountain View,Altos Oaks OB-GYN group - Stanford,650-988-7470,2485 Hospital Drive #330,Gynecologist,,
576,5.00,Mountain View,"Amy Teng, DO",650-396-8110,2500 Hospital Drive ste 8a,Gynecologist,,
577,4.40,Mountain View,"Carol Somersille, MD",650-988-3232,2490 Hospital Drive #300,Gynecologist,,
578,5.00,Mountain View,"Dr. Connie T. Tan, MD",650-988-7638,2485 Hospital Drive,Gynecologist,,
579,4.60,Mountain View,Liu Ken H MD,650-988-7588,2485 Hospital Drive,Gynecologist,,
580,4.80,,"Carla Stelling, MD",510-275-7492,3300 Webster Street #1200,Gynecologist,2019-03-11,12:00
581,4.30,,"Amita Kachru, MD",415-641-6996,1580 Valencia Street #508,Gynecologist,2019-03-02,12:30
582,5.00,,"Alan B. Scott, M.D.",415-923-3120,2100 Webster Street suite 214,Ophthalmologist,2019-03-05,11:00
583,5.00,,"Anne Han, M.D.",415-600-3800,655 Redwood Highway Suite 100,Dermatologist,2019-03-04,14:30
584,4.00,San Mateo,Allura Skin & Laser Center,650-344-1121,280 Baldwin Avenue,Dermatologist,,
585,4.20,San Mateo,California Skin Institute,650-348-1242,3060 Broadway,Dermatologist,,
586,5.00,San Mateo,Schmidt Lucy M MD,650-344-4142,136 North San Mateo Drive 2nd floor,Dermatologist,,
587,4.00,,Allura Skin & Laser Center,650-344-1121,280 Baldwin Avenue,Dermatologist,2019-03-06,12:00
588,5.00,,Alchemy John MD,707-576-7000,"Sonoma Ave, # 44, 1820 Doctors Park Drive",General Practitioner,2019-03-09,12:00
589,3.70,,Abazari Mina MD,949-916-9100,5050 West El Camino Real # 110,General Practitioner,2019-03-09,14:30
590,4.00,,"Dr. Hoang M. Duong, MD",408-263-6073,991 County Highway G4 STE 104,Dermatologist,2019-03-14,15:00
591,5.00,,"Cosmetic & Restorative Dermatology: Marek Lorenc, M.D.",707-578-1800,"2929, 2290 Sacramento Street",Dermatologist,2019-03-14,15:30
592,3.70,,Abazari Mina MD,949-916-9100,5050 West El Camino Real # 110,General Practitioner,2019-03-12,16:00
593,5.00,San Carlos,"Marc H. Levin, MD, PhD.",650-596-4220,1008 Laurel Street,Ophthalmologist,,
594,3.70,San Carlos,Weil Eye Care Medical Center,650-654-2133,2452 Watson Court,Ophthalmologist,,
595,5.00,,"Marc H. Levin, MD, PhD.",650-596-4220,1008 Laurel Street,Ophthalmologist,2019-03-09,11:30
596,4.00,,"Dr. Dina T. Nguyen, MD",707-551-3600,329 Tennessee Street,General Practitioner,2019-03-12,11:00
597,3.60,Gilroy,California Skin Institute,408-847-1257,9460 No Name Uno # 210,Dermatologist,,
598,5.00,Gilroy,"Dr. Clayton L. Schiltz, DO",408-713-2600,7888 Wren Avenue A110,Dermatologist,,
599,3.60,,California Skin Institute,408-847-1257,9460 No Name Uno # 210,Dermatologist,2019-03-11,14:30
600,5.00,,Bay Area House Call Physicians,650-384-0986,701 E El Camino Real 2nd Floor,General Practitioner,2019-03-05,14:30
601,5.00,Berkeley,Dotz Warren Dr,510-540-5010,460 34th Street,Dermatologist,,
602,5.00,Berkeley,"Helen O. Chodsky, PA-C",510-486-1700,2320 Woolsey Street,Dermatologist,,
603,4.90,Berkeley,Icecreamwala Dermatology,510-330-2264,744 52nd Street,Dermatologist,,
604,5.00,,Dotz Warren Dr,510-540-5010,460 34th Street,Dermatologist,2019-03-03,11:30
605,4.20,San Leandro,"Dr. Michael J. Mcglynn Jr, MD",510-357-5436,433 Estudillo Avenue #303,Gynecologist,,
606,4.20,,"Dr. Michael J. Mcglynn Jr, MD",510-357-5436,433 Estudillo Avenue #303,Gynecologist,2019-03-10,16:00
607,4.00,,Access Health,408-729-7690,301 Old San Francisco Road Level 2,General Practitioner,2019-03-02,15:30
608,3.40,Emeryville,"Dr. Ben L. Littlejohn III, MD",510-529-3800,2700 International Boulevard # 35,General Practitioner,,
609,4.00,Emeryville,"Dr. Louise E. Nurre, D.O.",510-525-2400,5855 Doyle Street #110,General Practitioner,,
610,3.40,,"Dr. Ben L. Littlejohn III, MD",510-529-3800,2700 International Boulevard # 35,General Practitioner,2019-03-14,16:00
611,5.00,,"Dr. Elaine R. Sumaquial, MD",925-847-5050,2301 Camino Ramon,General Practitioner,2019-03-08,16:00
612,5.00,Petaluma,"Dr. Fasih A. Hameed, MD",707-559-7510,1301 Southpoint Boulevard,General Practitioner,,
613,5.00,Petaluma,"Dr. John D. Pendleton, MD",707-559-7620,401 Bicentennial Way,General Practitioner,,
614,5.00,Petaluma,"Dr. Nicole Mohlman, MD",707-763-7005,24 West El Rose Drive,General Practitioner,,
615,5.00,Petaluma,"Dr. Stephen P. Krickl, MD",866-325-0281,347 Andrieux Street,General Practitioner,,
616,4.50,Petaluma,El Rose Medical Group: Umino Paul K MD,707-763-9891,905 East Washington Street,General Practitioner,,
617,4.20,Petaluma,Lozanov Nikola Y MD,707-782-1244,555 Petaluma Avenue # A,General Practitioner,,
618,5.00,Petaluma,"Nurit Licht, MD",707-559-7500,1179 North McDowell Boulevard,General Practitioner,,
619,4.00,Petaluma,Petaluma Aesthetics: Nguyen Lana MD,707-765-2425,108 Lynch Creek Way # 4,General Practitioner,,
620,4.20,Danville,Dermatology and Laser Centre,925-820-3376,4680 Tassajara Road,Dermatologist,,
621,4.80,Danville,"Dr. Adam G. Wallach, MD",925-837-8848,917 San Ramon Valley Boulevard #199,Dermatologist,,
622,5.00,Danville,Elite MD - Medical Dermatology,925-838-4363,350 Rose Street,Dermatologist,,
623,4.80,Danville,"Marilyn Kwolek, MD",925-838-2677,1320 El Capitan Drive,Dermatologist,,
624,4.20,,Dermatology and Laser Centre,925-820-3376,4680 Tassajara Road,Dermatologist,2019-03-07,16:00
625,4.00,Richmond,"Dr. Christopher R. Zamani, MD",510-374-7330,80 Nicholl Avenue,General Practitioner,,
626,5.00,Richmond,"Dr. Roger N. Morrison, MD",510-412-9044,350 30th Street #407,General Practitioner,,
627,5.00,Richmond,"Immanuel A. Asuncion, M.D.",510-204-8090,2850 Telegraph Avenue #130,General Practitioner,,
628,4.00,,"Dr. Christopher R. Zamani, MD",510-374-7330,80 Nicholl Avenue,General Practitioner,2019-03-03,12:00
629,5.00,,Antioch Family Practice: Copeland John W MD,925-778-7233,3440 Hillcrest Avenue Suite 150,General Practitioner,2019-03-05,16:00
630,5.00,,"Dr. Robert R. Anderson, MD",415-461-8200,2211 Bush Street,Ophthalmologist,2019-03-01,15:30
631,4.30,,"Dr. Kelly T. Hood, MD",925-283-5500,3807 Lone Tree Way,Dermatologist,2019-03-13,16:00
632,4.70,Menlo Park,Dale Pearlman MD,650-325-0505,888 Oak Grove Avenue #8,Dermatologist,,
633,5.00,Menlo Park,"Elizabeth Gould, MD",650-212-5883,1220 University Drive #203,Dermatologist,,
634,4.00,Menlo Park,Gould-Jacobson Dermatology,650-327-5783,695 Oak Grove Avenue #220,Dermatologist,,
635,3.70,Menlo Park,"JoEllen VanZander, MD",650-736-5772,1618 Sullivan Avenue suite 105 105,Dermatologist,,
636,5.00,Menlo Park,"Jodie L. Bogomilsky, M.D.",650-325-1511,4300 El Camino Real Suite 100,Dermatologist,,
637,5.00,Menlo Park,Peninsula Dermatologic Surgery: Miller Tara MD,650-326-7222,695 Oak Grove Avenue STE 220,Dermatologist,,
638,4.70,,Dale Pearlman MD,650-325-0505,888 Oak Grove Avenue #8,Dermatologist,2019-03-04,15:00
639,5.00,,Claudio A Bet Inc,650-692-1296,211 Quarry Road,General Practitioner,2019-03-07,11:30
640,5.00,South San Francisco,"Dr. Donald R. Dossett, MD",650-636-1286,1501 Trousdale Drive #4,General Practitioner,,
641,3.70,South San Francisco,"Dr. Leland M. Luna, MD",650-871-4834,747 Altos Oaks Drive,General Practitioner,,
642,5.00,,"Anne Han, M.D.",415-600-3800,655 Redwood Highway Suite 100,Dermatologist,2019-03-05,10:30
643,3.70,,Abazari Mina MD,949-916-9100,5050 West El Camino Real # 110,General Practitioner,2019-03-02,14:00
644,4.90,Daly City,Bay Area Obstetrics & Gynecology,650-238-6244,1850 Sullivan Avenue Suite 550,Gynecologist,,
645,5.00,Daly City,"Milagros C. Cabrera, MD, FACOG",650-756-2404,1850 Sullivan Avenue #550,Gynecologist,,
646,4.90,,Bay Area Obstetrics & Gynecology,650-238-6244,1850 Sullivan Avenue Suite 550,Gynecologist,2019-03-03,11:00
647,5.00,,Chen M Dwight MD,408-523-3900,360 Dardanelli Lane #2d,Gynecologist,2019-03-05,16:00
648,5.00,,Alchemy John MD,707-576-7000,"Sonoma Ave, # 44, 1820 Doctors Park Drive",General Practitioner,2019-03-09,15:30
649,5.00,,Elloway John MD,415-892-3300,1956 Union Street,General Practitioner,2019-03-01,10:30
650,5.00,,Elloway John MD,415-892-3300,1956 Union Street,General Practitioner,2019-03-05,16:00
651,4.90,,Bay Area Obstetrics & Gynecology,650-238-6244,1850 Sullivan Avenue Suite 550,Gynecologist,2019-03-06,11:00
652,5.00,,Blossom Ridge Medical Group: Zimmer J Kirk MD,408-377-9180,555 Knowles Drive #203,General Practitioner,2019-03-12,16:30
653,4.70,,"Dr. Clark Rosen, MD",415-885-7700,500 Sutter Street #430,ENT Specialist,2019-03-13,15:30
654,5.00,,"Dr. Elaine R. Sumaquial, MD",925-847-5050,2301 Camino Ramon,General Practitioner,2019-03-07,16:30
655,4.00,Sebastopol,"Advanced Skin Care & Dermatology, Inc.",707-829-5795,3443 Villa Lane,Dermatologist,,
656,5.00,Sebastopol,Dr. Cynthia Bailey Aestheticians,707-829-5779,6880 Palm Avenue,Dermatologist,,
657,4.00,,"Advanced Skin Care & Dermatology, Inc.",707-829-5795,3443 Villa Lane,Dermatologist,2019-03-02,17:30
658,5.00,,"Alan B. Scott, M.D.",415-923-3120,2100 Webster Street suite 214,Ophthalmologist,2019-03-02,15:00
659,5.00,,"Anne Han, M.D.",415-600-3800,655 Redwood Highway Suite 100,Dermatologist,2019-03-06,11:00
660,5.00,Dixon,"Dr. Andy Y. Zhu, MD",707-635-1639,100 Hospital Drive # 304,General Practitioner,,
661,4.70,Dixon,"Gayle L. Sutcliffe, M.D.",707-678-0258,125 North Lincoln Street # G,General Practitioner,,
662,5.00,Dixon,Lee Sandra MD,707-678-1623,125 North Lincoln Street STE G,General Practitioner,,
663,5.00,,"Dr. Andy Y. Zhu, MD",707-635-1639,100 Hospital Drive # 304,General Practitioner,2019-03-08,16:00
664,4.70,,Berman Skin Institute,925-416-2291,2700 Grant Street #309,Dermatologist,2019-03-02,13:00
665,5.00,Hayward,"Bay Valley Medical Group: Sheri Task, MD",510-785-5000,27212 Calaroga Avenue,Gynecologist,,
666,5.00,,"Bay Valley Medical Group: Sheri Task, MD",510-785-5000,27212 Calaroga Avenue,Gynecologist,2019-03-10,17:00
667,4.00,,"Dr. Dina T. Nguyen, MD",707-551-3600,329 Tennessee Street,General Practitioner,2019-03-14,15:00
668,4.30,Hercules,Dermatology Associates of the Bay Area,510-741-7299,500 Alfred Nobel Drive #245,Dermatologist,,
669,5.00,Hercules,Dermatology Associates of the Bay Area: Dr. Eitan Homa,510-741-7418,3300 Webster Street #1106,Dermatologist,,
670,4.10,Hercules,"Dr. William W. Ting, MD",510-669-5700,3555 Whipple Rd,Dermatologist,,
671,4.60,,Dermatology Associates of the Bay Area,707-762-5531,500 Alfred Nobel Drive #245,Dermatologist,2019-03-11,17:30
672,4.20,,Benson Frederick P MD,408-224-6236,6950 Santa Teresa Boulevard,General Practitioner,2019-03-01,15:00
673,4.20,,Benson Frederick P MD,408-224-6236,6950 Santa Teresa Boulevard,General Practitioner,2019-03-02,12:00
674,5.00,Mill Valley,"Aesthetic Dermatology and Skin Cancer: Jeffrey H. Binstock, M.D.",415-383-5475,45 Castro Street,Dermatologist,,
675,5.00,Mill Valley,"Dr. David A. Laub, MD",415-381-6661,535 Miller Avenue,Dermatologist,,
676,5.00,Mill Valley,Mill Valley Dermatology,415-634-8411,909 Hyde Street #419,Dermatologist,,
677,5.00,Mill Valley,"Zand Dermatology: Sarvenaz Zand, M.D.",415-301-5000,655 Redwood Highway Frontage Road Suite 246,Dermatologist,,
678,5.00,,"Dr. Farhad Zamani, MD",707-624-4000,131 West A Street,General Practitioner,2019-03-11,15:00
679,4.50,Antioch,"Dr. Daniel L. Zimmerman, MD",925-754-8070,3737 Lone Tree Way # A,Gynecologist,,
680,4.30,Antioch,Ferry James A MD,925-813-6500,5601 Deer Valley Road,Gynecologist,,
681,4.80,Antioch,"Youngs ObGyn: Young Kim, MD",925-778-0700,3724 Lone Tree Way Suite A,Gynecologist,,
682,4.50,,"Dr. Daniel L. Zimmerman, MD",925-754-8070,3737 Lone Tree Way # A,Gynecologist,2019-03-11,11:30
683,5.00,Concord,Ford Lloyd C MD,925-685-7400,2700 Grant Street #104,ENT Specialist,,
684,5.00,,Ford Lloyd C MD,925-685-7400,2700 Grant Street #104,ENT Specialist,2019-03-05,16:30
685,4.80,Fremont,"Dr. James N. Cohn, MD",510-791-2233,491 30th St,Ophthalmologist,,
686,4.80,,"Dr. James N. Cohn, MD",510-791-2233,491 30th St,Ophthalmologist,2019-03-07,17:00
687,4.80,,"Dr. James N. Cohn, MD",510-791-2233,491 30th St,Ophthalmologist,2019-03-12,14:30
688,3.60,Fremont,Cheney Tamara MD,510-248-1700,2287 Mowry Avenue suite c,General Practitioner,,
689,3.90,Fremont,"Dr. Ebrahim Ahmadi, MD",510-791-2002,632 Mowry Avenue,General Practitioner,,
690,3.50,Fremont,"Edmundo Ruiz Davila, MD",510-797-5372,350 30th Street #540,General Practitioner,,
691,5.00,Fremont,"John J. Wankner, Pac",510-796-1000,4087 Peralta Boulevard,General Practitioner,,
692,5.00,Fremont,Khalid A Baig MD,510-793-4717,39225 State Street,General Practitioner,,
693,4.00,Fremont,"Steven Curran, MD",510-248-1065,46690 Mohave Drive,General Practitioner,,
694,5.00,Fremont,Tilley Spencer B MD,510-794-3641,3161 Walnut Avenue,General Practitioner,,
695,3.60,,Cheney Tamara MD,510-248-1700,2287 Mowry Avenue suite c,General Practitioner,2019-03-07,14:30
696,5.00,Mountain View,"Christopher A. Chin, M.D.",916-408-5401,701 E El Camino Real 2nd Floor,General Practitioner,,
697,5.00,Mountain View,Midori Nishimura Md,650-988-1800,1800 Sullivan Avenue # 101,General Practitioner,,
698,5.00,Mountain View,Tatelman Joyce MD,650-528-5110,"2036, 211 Eastmoor Avenue",General Practitioner,,
699,4.00,Mountain View,"Thanhan Viviane Nguyen, D.O.",650-404-8370,301 Old San Francisco Road Level 2,General Practitioner,,
700,5.00,,"Christopher A. Chin, M.D.",916-408-5401,701 E El Camino Real 2nd Floor,General Practitioner,2019-03-12,17:00
701,5.00,,"Anne Han, M.D.",415-600-3800,655 Redwood Highway Suite 100,Dermatologist,2019-03-09,15:00
702,5.00,St. Helena,Family Birth Place,707-963-6505,10 Woodland Road,Gynecologist,,
703,5.00,St. Helena,John H Kirk MD,707-967-7550,821 S Saint Helena Highway,Gynecologist,,
704,5.00,,"Anjali Tate, M.D.",510-845-8035,2400 Samaritan Drive #105,Gynecologist,2019-03-07,11:00
705,3.20,Walnut Creek,Diablo Valley ENT in Walnut Creek,925-933-8462,2440 Samaritan Drive,ENT Specialist,,
706,5.00,Walnut Creek,"Dr. Lloyd C Ford, MD - Contra Costa ENT a Division of BASS Medical Group",925-932-3112,365 Lennon Lane Suite 280,ENT Specialist,,
707,3.20,,Diablo Valley ENT in Walnut Creek,925-933-8462,2440 Samaritan Drive,ENT Specialist,2019-03-05,14:00
708,5.00,,Dr. Ruth Olweny,415-866-7932,280 West MacArthur Boulevard,Gynecologist,2019-03-09,13:30
709,5.00,,Dr. Ruth Olweny,415-866-7932,280 West MacArthur Boulevard,Gynecologist,2019-03-02,15:30
710,5.00,Dublin,"Nicole A. Jeffrey-Starr, M.D.",925-875-6546,4000 Dublin Boulevard #2,Gynecologist,,
711,5.00,,"Nicole A. Jeffrey-Starr, M.D.",925-875-6546,4000 Dublin Boulevard #2,Gynecologist,2019-03-06,12:30
712,4.30,,"Amita Kachru, MD",415-641-6996,1580 Valencia Street #508,Gynecologist,2019-03-04,11:00
713,3.50,,Altos Oaks OB-GYN group - Stanford,650-988-7470,2485 Hospital Drive #330,Gynecologist,2019-03-06,16:30
714,3.10,Castro Valley,Mark Zeme MD,510-889-6673,1900 University Ave #105,ENT Specialist,,
715,5.00,,"Dr. James E. Hunt, MD",707-838-3232,4501 Rosewood Drive,Ophthalmologist,2019-03-09,14:00
716,4.30,Concord,"Curtis A. Raskin, MD, FAAD",925-687-8882,101 Park Place Suite 101,Dermatologist,,
717,4.30,,"Curtis A. Raskin, MD, FAAD",925-687-8882,101 Park Place Suite 101,Dermatologist,2019-03-05,16:00
718,5.00,,Dr. Anne Cole,650-969-2959,23275 Eastbrook Court,General Practitioner,2019-03-11,12:30
719,5.00,,"Dr. Fasih A. Hameed, MD",707-559-7510,1301 Southpoint Boulevard,General Practitioner,2019-03-13,13:00
