,airlines,arrives_next_day,departure_date,destination_airport_name,destination_city,flight_class,number_checked_bags,number_stops,origin_airport_name,origin_city,outbound_arrival_time,outbound_departure_time,passengers,price,inbound_arrival_time,inbound_departure_time,return_date
640,Delta Airlines,True,2019-03-04,Jomo Kenyatta International Airport,Nairobi,Economy,0,0,JFK International Airport,New York,20:42,20:35,1,292,,,
641,Southwest Airlines,True,2019-03-04,Jomo Kenyatta International Airport,Nairobi,Economy,0,0,JFK International Airport,New York,10:22,10:15,1,289,,,
642,American Airlines,False,2019-03-11,SFO International Airport,San Francisco,Economy,0,0,Sky Harbor International Airport,Phoenix,11:37,09:30,1,119,,,
643,Delta Airlines,False,2019-03-11,SFO International Airport,San Francisco,Economy,0,0,Sky Harbor International Airport,Phoenix,09:52,07:45,1,134,,,
644,Southwest Airlines,False,2019-03-11,SFO International Airport,San Francisco,Economy,0,0,Sky Harbor International Airport,Phoenix,13:17,11:10,1,114,,,
645,United Airlines,False,2019-03-11,SFO International Airport,San Francisco,Economy,0,0,Sky Harbor International Airport,Phoenix,11:47,09:40,1,121,,,
646,American Airlines,True,2019-03-06,Kingsford Smith International Airport,Sydney,Economy,0,1,McCarran International Airport,Las Vegas,08:17,04:50,1,296,,,
647,Delta Airlines,True,2019-03-06,Kingsford Smith International Airport,Sydney,Economy,0,1,McCarran International Airport,Las Vegas,23:31,20:30,1,316,,,
648,United Airlines,True,2019-03-06,Kingsford Smith International Airport,Sydney,Economy,0,1,McCarran International Airport,Las Vegas,23:31,16:20,1,334,,,
649,United Airlines,True,2019-03-12,Kingsford Smith International Airport,Sydney,Economy,0,1,McCarran International Airport,Las Vegas,23:31,16:20,1,311,,,
650,American Airlines,False,2019-03-07,Sky Harbor International Airport,Phoenix,Economy,0,0,McCarran International Airport,Las Vegas,13:14,12:00,1,78,,,
651,Delta Airlines,False,2019-03-07,Sky Harbor International Airport,Phoenix,Economy,0,0,McCarran International Airport,Las Vegas,07:34,06:20,1,82,,,
652,United Airlines,False,2019-03-07,Sky Harbor International Airport,Phoenix,Economy,0,0,McCarran International Airport,Las Vegas,21:29,20:15,1,85,,,
653,Air Canada,False,2019-03-08,Seattle-Tacoma International Airport,Seattle,Economy,0,1,YVR International Airport,Vancouver,11:02,04:20,2,310,,,
654,American Airlines,False,2019-03-08,Seattle-Tacoma International Airport,Seattle,Economy,0,1,YVR International Airport,Vancouver,16:52,05:15,2,399,,,
655,Delta Airlines,False,2019-03-08,Seattle-Tacoma International Airport,Seattle,Economy,0,1,YVR International Airport,Vancouver,16:16,06:40,2,243,,,
656,United Airlines,True,2019-03-08,Seattle-Tacoma International Airport,Seattle,Economy,0,1,YVR International Airport,Vancouver,01:17,18:55,2,266,,,
657,Air Canada,False,2019-03-04,Seattle-Tacoma International Airport,Seattle,Premium Economy,0,1,YVR International Airport,Vancouver,07:31,01:40,1,393,,,
658,American Airlines,False,2019-03-04,Seattle-Tacoma International Airport,Seattle,Premium Economy,0,1,YVR International Airport,Vancouver,12:02,01:30,1,465,,,
659,Delta Airlines,False,2019-03-04,Seattle-Tacoma International Airport,Seattle,Premium Economy,0,1,YVR International Airport,Vancouver,18:16,10:15,1,458,,,
660,United Airlines,True,2019-03-04,Seattle-Tacoma International Airport,Seattle,Premium Economy,0,1,YVR International Airport,Vancouver,01:17,18:55,1,484,,,
661,Alaska Airlines,False,2019-03-10,LAX International Airport,Los Angeles,Economy,0,0,SAN International Airport,San Diego,10:49,09:55,3,64,,,
662,American Airlines,False,2019-03-10,LAX International Airport,Los Angeles,Economy,0,0,SAN International Airport,San Diego,20:04,19:10,3,70,,,
663,Southwest Airlines,False,2019-03-10,LAX International Airport,Los Angeles,Economy,0,0,SAN International Airport,San Diego,20:04,19:10,3,66,,,
664,United Airlines,False,2019-03-10,LAX International Airport,Los Angeles,Economy,0,0,SAN International Airport,San Diego,15:49,14:55,3,63,,,
665,American Airlines,False,2019-03-07,SAN International Airport,San Diego,Economy,0,0,Sky Harbor International Airport,Phoenix,11:30,10:10,1,92,,,
666,Delta Airlines,False,2019-03-07,SAN International Airport,San Diego,Economy,0,0,Sky Harbor International Airport,Phoenix,22:55,21:35,1,92,,,
667,United Airlines,False,2019-03-07,SAN International Airport,San Diego,Economy,0,0,Sky Harbor International Airport,Phoenix,16:10,14:50,1,96,,,
668,American Airlines,True,2019-03-07,Heathrow International Airport,London,Economy,0,1,Sky Harbor International Airport,Phoenix,06:09,05:00,3,374,,,
669,American Airlines,False,2019-03-02,SFO International Airport,San Francisco,Economy,0,0,O'Hare International Airport,Chicago,22:07,19:20,1,169,,,
670,Delta Airlines,False,2019-03-02,SFO International Airport,San Francisco,Economy,0,0,O'Hare International Airport,Chicago,08:32,05:45,1,181,,,
671,Southwest Airlines,False,2019-03-02,SFO International Airport,San Francisco,Economy,0,0,O'Hare International Airport,Chicago,22:52,20:05,1,159,,,
672,United Airlines,False,2019-03-02,SFO International Airport,San Francisco,Economy,0,0,O'Hare International Airport,Chicago,20:27,17:40,1,206,,,
673,American Airlines,False,2019-03-14,O'Hare International Airport,Chicago,Economy,0,0,JFK International Airport,New York,10:09,08:50,1,113,,,
674,Delta Airlines,True,2019-03-14,O'Hare International Airport,Chicago,Economy,0,0,JFK International Airport,New York,00:24,23:05,1,151,,,
675,Southwest Airlines,False,2019-03-14,O'Hare International Airport,Chicago,Economy,0,0,JFK International Airport,New York,20:29,19:10,1,122,,,
676,United Airlines,False,2019-03-14,O'Hare International Airport,Chicago,Economy,0,0,JFK International Airport,New York,19:34,18:15,1,128,,,
677,Southwest Airlines,False,2019-03-04,SAN International Airport,San Diego,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,21:49,18:35,1,262,,,
678,American Airlines,False,2019-03-06,O'Hare International Airport,Chicago,Economy,0,0,PHL International Airport,Philadelphia,22:01,20:50,1,124,,,
679,Delta Airlines,False,2019-03-06,O'Hare International Airport,Chicago,Economy,0,0,PHL International Airport,Philadelphia,17:16,16:05,1,117,,,
680,Southwest Airlines,False,2019-03-06,O'Hare International Airport,Chicago,Economy,0,0,PHL International Airport,Philadelphia,12:31,11:20,1,120,,,
681,United Airlines,False,2019-03-06,O'Hare International Airport,Chicago,Economy,0,0,PHL International Airport,Philadelphia,17:56,16:45,1,136,,,
682,Delta Airlines,False,2019-03-14,PDX International Airport,Portland,Economy,0,0,LAX International Airport,Los Angeles,08:30,06:00,1,135,,,
683,American Airlines,True,2019-03-02,LAX International Airport,Los Angeles,Economy,0,0,O'Hare International Airport,Chicago,01:02,22:30,1,175,,,
684,Delta Airlines,False,2019-03-02,LAX International Airport,Los Angeles,Premium Economy,0,0,O'Hare International Airport,Chicago,09:37,07:05,1,326,,,
685,Southwest Airlines,False,2019-03-02,LAX International Airport,Los Angeles,Economy,0,0,O'Hare International Airport,Chicago,23:57,21:25,1,176,,,
686,United Airlines,False,2019-03-02,LAX International Airport,Los Angeles,Business,0,0,O'Hare International Airport,Chicago,10:17,07:45,1,350,,,
687,Alaska Airlines,False,2019-03-11,O'Hare International Airport,Chicago,Economy,0,0,SFO International Airport,San Francisco,16:07,09:20,1,170,,,
688,American Airlines,False,2019-03-11,O'Hare International Airport,Chicago,Economy,0,1,SFO International Airport,San Francisco,19:30,09:30,1,325,,,
689,Delta Airlines,True,2019-03-11,O'Hare International Airport,Chicago,Economy,0,0,SFO International Airport,San Francisco,02:22,19:35,1,191,,,
690,Southwest Airlines,False,2019-03-11,O'Hare International Airport,Chicago,Economy,0,0,SFO International Airport,San Francisco,13:47,07:00,1,189,,,
691,United Airlines,True,2019-03-11,O'Hare International Airport,Chicago,Economy,0,0,SFO International Airport,San Francisco,03:52,21:05,1,163,,,
692,American Airlines,False,2019-03-14,O'Hare International Airport,Chicago,Economy,0,0,Dulles International Airport,Washington,19:38,18:40,1,126,,,
693,Delta Airlines,False,2019-03-14,O'Hare International Airport,Chicago,Economy,0,1,Dulles International Airport,Washington,20:44,17:55,1,215,,,
694,Southwest Airlines,False,2019-03-14,O'Hare International Airport,Chicago,Economy,0,0,Dulles International Airport,Washington,19:08,18:10,1,109,,,
695,United Airlines,False,2019-03-14,O'Hare International Airport,Chicago,Economy,0,0,Dulles International Airport,Washington,21:08,20:10,1,134,,,
696,American Airlines,False,2019-03-14,O'Hare International Airport,Chicago,Economy,0,0,Dulles International Airport,Washington,19:38,18:40,2,126,,,
697,Delta Airlines,False,2019-03-14,O'Hare International Airport,Chicago,Economy,0,1,Dulles International Airport,Washington,20:44,17:55,2,215,,,
698,Southwest Airlines,False,2019-03-14,O'Hare International Airport,Chicago,Economy,0,0,Dulles International Airport,Washington,19:08,18:10,2,109,,,
699,United Airlines,False,2019-03-14,O'Hare International Airport,Chicago,Economy,0,0,Dulles International Airport,Washington,21:08,20:10,2,134,,,
700,Alaska Airlines,False,2019-03-10,McCarran International Airport,Las Vegas,Economy,0,1,PDX International Airport,Portland,23:20,19:15,1,232,,,
701,Delta Airlines,False,2019-03-10,McCarran International Airport,Las Vegas,Economy,0,1,PDX International Airport,Portland,23:20,19:30,1,224,,,
702,United Airlines,False,2019-03-10,McCarran International Airport,Las Vegas,Economy,0,1,PDX International Airport,Portland,17:35,13:45,1,196,,,
703,Southwest Airlines,False,2019-03-10,PDX International Airport,Portland,Economy,0,1,McCarran International Airport,Las Vegas,23:40,18:50,1,220,,,
704,American Airlines,False,2019-03-09,PDX International Airport,Portland,Economy,0,1,McCarran International Airport,Las Vegas,09:00,04:50,1,220,,,
705,Delta Airlines,False,2019-03-09,PDX International Airport,Portland,Economy,0,1,McCarran International Airport,Las Vegas,17:58,14:25,1,227,,,
706,Southwest Airlines,False,2019-03-09,PDX International Airport,Portland,Economy,0,1,McCarran International Airport,Las Vegas,17:58,13:20,1,222,,,
707,United Airlines,False,2019-03-09,PDX International Airport,Portland,Economy,0,1,McCarran International Airport,Las Vegas,17:50,13:40,1,198,,,
708,Southwest Airlines,True,2019-03-04,Heathrow International Airport,London,Premium Economy,0,0,O'Hare International Airport,Chicago,09:39,19:10,1,390,,,
709,United Airlines,False,2019-03-04,Heathrow International Airport,London,Premium Economy,0,0,O'Hare International Airport,Chicago,20:29,06:00,1,403,,,
710,United Airlines,True,2019-03-08,Kingsford Smith International Airport,Sydney,Premium Economy,0,1,Seattle-Tacoma International Airport,Seattle,11:16,06:55,1,537,,,
711,Alaska Airlines,True,2019-03-01,Charles de Gaulle International Airport,Paris,Economy,0,1,SAN International Airport,San Diego,11:23,09:55,1,351,,,
712,Southwest Airlines,True,2019-03-01,Charles de Gaulle International Airport,Paris,Economy,0,1,SAN International Airport,San Diego,11:23,11:45,1,361,,,
713,United Airlines,True,2019-03-01,Charles de Gaulle International Airport,Paris,Economy,0,1,SAN International Airport,San Diego,11:38,06:35,1,383,,,
714,Alaska Airlines,False,2019-03-08,LAX International Airport,Los Angeles,Economy,0,0,SFO International Airport,San Francisco,10:30,09:05,1,90,,,
715,American Airlines,False,2019-03-08,LAX International Airport,Los Angeles,Economy,0,0,SFO International Airport,San Francisco,19:25,18:00,1,96,,,
716,Delta Airlines,False,2019-03-08,LAX International Airport,Los Angeles,Economy,0,0,SFO International Airport,San Francisco,17:30,16:05,1,93,,,
717,Southwest Airlines,False,2019-03-08,LAX International Airport,Los Angeles,Economy,0,0,SFO International Airport,San Francisco,09:50,08:25,1,98,,,
718,United Airlines,False,2019-03-08,LAX International Airport,Los Angeles,Economy,0,0,SFO International Airport,San Francisco,16:30,15:05,1,96,,,
719,Southwest Airlines,False,2019-03-02,SFO International Airport,San Francisco,Economy,0,0,O'Hare International Airport,Chicago,22:52,20:05,4,159,,,
720,American Airlines,True,2019-03-09,KLIA International Airport,Kuala Lumpur,Economy,0,1,PDX International Airport,Portland,16:38,07:25,1,383,,,
721,Southwest Airlines,True,2019-03-09,KLIA International Airport,Kuala Lumpur,Economy,0,1,PDX International Airport,Portland,16:38,07:40,1,391,,,
722,Alaska Airlines,False,2019-03-04,PDX International Airport,Portland,Economy,0,0,LAX International Airport,Los Angeles,14:15,11:45,1,146,,,
723,American Airlines,False,2019-03-04,PDX International Airport,Portland,Economy,0,1,LAX International Airport,Los Angeles,23:38,17:55,1,234,,,
724,Delta Airlines,False,2019-03-04,PDX International Airport,Portland,Economy,0,0,LAX International Airport,Los Angeles,08:30,06:00,1,121,,,
725,Southwest Airlines,False,2019-03-04,PDX International Airport,Portland,Economy,0,1,LAX International Airport,Los Angeles,16:48,12:45,1,191,,,
726,United Airlines,False,2019-03-04,PDX International Airport,Portland,Economy,0,1,LAX International Airport,Los Angeles,15:28,11:40,1,242,,,
727,Delta Airlines,True,2019-03-01,Jomo Kenyatta International Airport,Nairobi,Economy,0,1,PHL International Airport,Philadelphia,10:22,04:20,1,364,,,
728,Southwest Airlines,True,2019-03-01,Jomo Kenyatta International Airport,Nairobi,Economy,0,1,PHL International Airport,Philadelphia,20:42,14:55,1,324,,,
729,American Airlines,False,2019-03-01,YVR International Airport,Vancouver,Economy,0,1,JFK International Airport,New York,15:47,09:15,2,350,,,
730,Delta Airlines,False,2019-03-01,YVR International Airport,Vancouver,Economy,0,1,JFK International Airport,New York,15:47,09:50,2,353,,,
731,Southwest Airlines,False,2019-03-01,YVR International Airport,Vancouver,Economy,0,1,JFK International Airport,New York,23:06,14:20,2,324,,,
732,United Airlines,False,2019-03-01,YVR International Airport,Vancouver,Economy,0,1,JFK International Airport,New York,23:06,18:45,2,322,,,
733,American Airlines,False,2019-03-01,Toronto Pearson International Airport,Toronto,Economy,0,1,McCarran International Airport,Las Vegas,15:49,04:50,1,272,,,
734,United Airlines,True,2019-03-01,Toronto Pearson International Airport,Toronto,Economy,0,1,McCarran International Airport,Las Vegas,03:29,13:40,1,284,,,
735,Air France,False,2019-03-01,PHL International Airport,Philadelphia,Economy,0,1,Charles de Gaulle International Airport,Paris,21:26,17:15,1,326,,,
736,American Airlines,False,2019-03-01,PHL International Airport,Philadelphia,Economy,0,1,Charles de Gaulle International Airport,Paris,08:46,03:00,1,286,,,
737,Delta Airlines,False,2019-03-01,PHL International Airport,Philadelphia,Economy,0,1,Charles de Gaulle International Airport,Paris,17:06,09:15,1,299,,,
738,Alaska Airlines,True,2019-03-07,JFK International Airport,New York,Economy,0,0,SFO International Airport,San Francisco,05:46,20:20,1,208,,,
739,American Airlines,False,2019-03-07,JFK International Airport,New York,Economy,0,0,SFO International Airport,San Francisco,14:26,05:00,1,217,,,
740,Delta Airlines,True,2019-03-07,JFK International Airport,New York,Economy,0,0,SFO International Airport,San Francisco,04:01,18:35,1,217,,,
741,Southwest Airlines,False,2019-03-07,JFK International Airport,New York,Economy,0,0,SFO International Airport,San Francisco,15:56,06:30,1,206,,,
742,United Airlines,False,2019-03-07,JFK International Airport,New York,Economy,0,0,SFO International Airport,San Francisco,15:56,06:30,1,182,,,
743,Southwest Airlines,False,2019-03-06,SFO International Airport,San Francisco,Premium Economy,0,0,LAX International Airport,Los Angeles,15:20,13:55,1,135,,,
744,Alaska Airlines,False,2019-03-05,SAN International Airport,San Diego,Economy,0,0,SFO International Airport,San Francisco,21:20,19:40,1,118,,,
745,American Airlines,False,2019-03-05,SAN International Airport,San Diego,Economy,0,1,SFO International Airport,San Francisco,20:59,18:00,1,172,,,
746,Delta Airlines,False,2019-03-05,SAN International Airport,San Diego,Economy,0,0,SFO International Airport,San Francisco,19:20,17:40,1,105,,,
747,Southwest Airlines,False,2019-03-05,SAN International Airport,San Diego,Economy,0,0,SFO International Airport,San Francisco,07:30,05:50,1,111,,,
748,United Airlines,False,2019-03-05,SAN International Airport,San Diego,Economy,0,0,SFO International Airport,San Francisco,23:30,21:50,1,112,,,
749,Southwest Airlines,True,2019-03-02,Sky Harbor International Airport,Phoenix,Economy,0,1,Dulles International Airport,Washington,00:27,20:50,1,282,,,
750,United Airlines,False,2019-03-02,Sky Harbor International Airport,Phoenix,Economy,0,1,Dulles International Airport,Washington,12:32,09:25,1,304,,,
751,American Airlines,True,2019-03-02,Indira Gandhi International Airport,Delhi,Economy,0,1,PHL International Airport,Philadelphia,08:10,08:45,1,300,,,
752,Southwest Airlines,True,2019-03-02,Indira Gandhi International Airport,Delhi,Economy,0,1,PHL International Airport,Philadelphia,04:40,05:35,1,313,,,
753,United Airlines,True,2019-03-02,Indira Gandhi International Airport,Delhi,Economy,0,1,PHL International Airport,Philadelphia,07:14,06:40,1,412,,,
754,American Airlines,True,2019-03-01,Charles de Gaulle International Airport,Paris,Economy,0,1,McCarran International Airport,Las Vegas,14:53,13:55,1,422,,,
755,Delta Airlines,True,2019-03-01,Charles de Gaulle International Airport,Paris,Economy,0,1,McCarran International Airport,Las Vegas,14:53,14:25,1,421,,,
756,Southwest Airlines,True,2019-03-01,Charles de Gaulle International Airport,Paris,Economy,0,1,McCarran International Airport,Las Vegas,14:53,13:20,1,412,,,
757,American Airlines,False,2019-03-01,YVR International Airport,Vancouver,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,22:46,20:05,1,186,,,
758,Southwest Airlines,False,2019-03-01,YVR International Airport,Vancouver,Economy,0,0,Hartsfield-Jackson International Airport,Atlanta,18:51,16:10,1,197,,,
759,Delta Airlines,True,2019-03-02,Seattle-Tacoma International Airport,Seattle,Premium Economy,0,1,Sky Harbor International Airport,Phoenix,00:21,19:55,4,379,,,
760,Southwest Airlines,False,2019-03-02,Seattle-Tacoma International Airport,Seattle,Premium Economy,0,1,Sky Harbor International Airport,Phoenix,21:18,15:30,4,355,,,
761,United Airlines,False,2019-03-02,Seattle-Tacoma International Airport,Seattle,Premium Economy,0,1,Sky Harbor International Airport,Phoenix,22:11,17:05,4,422,,,
762,Southwest Airlines,True,2019-03-05,Charles de Gaulle International Airport,Paris,Premium Economy,0,1,Dulles International Airport,Washington,07:31,08:15,2,581,,,
763,Alaska Airlines,False,2019-03-01,PDX International Airport,Portland,Economy,0,0,SFO International Airport,San Francisco,17:58,16:05,1,105,,,
764,Delta Airlines,False,2019-03-01,PDX International Airport,Portland,Economy,0,0,SFO International Airport,San Francisco,15:28,13:35,1,106,,,
765,Southwest Airlines,True,2019-03-01,PDX International Airport,Portland,Economy,0,0,SFO International Airport,San Francisco,00:58,23:05,1,93,,,
766,United Airlines,False,2019-03-01,PDX International Airport,Portland,Economy,0,1,SFO International Airport,San Francisco,19:13,15:40,1,199,,,
767,Alaska Airlines,False,2019-03-06,O'Hare International Airport,Chicago,Economy,0,1,Seattle-Tacoma International Airport,Seattle,20:57,11:10,1,317,,,
768,American Airlines,True,2019-03-04,Indira Gandhi International Airport,Delhi,Economy,0,0,JFK International Airport,New York,08:10,12:35,1,257,,,
769,United Airlines,True,2019-03-04,Indira Gandhi International Airport,Delhi,Economy,0,0,JFK International Airport,New York,04:40,09:05,1,211,,,
770,Alaska Airlines,True,2019-03-01,Benito Juarez International Airport,Mexico City,Economy,0,1,PDX International Airport,Portland,04:50,19:15,1,273,,,
771,Delta Airlines,True,2019-03-01,Benito Juarez International Airport,Mexico City,Economy,0,1,PDX International Airport,Portland,01:35,12:15,1,277,,,
772,Southwest Airlines,True,2019-03-01,Benito Juarez International Airport,Mexico City,Economy,0,1,PDX International Airport,Portland,01:35,15:35,1,263,,,
773,United Airlines,False,2019-03-01,Benito Juarez International Airport,Mexico City,Economy,0,1,PDX International Airport,Portland,22:38,13:45,1,273,,,
774,American Airlines,True,2019-03-08,Charles de Gaulle International Airport,Paris,Premium Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,02:51,06:05,1,586,,,
775,Southwest Airlines,True,2019-03-08,Charles de Gaulle International Airport,Paris,Premium Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,11:38,06:00,1,691,,,
776,Alaska Airlines,False,2019-03-06,YVR International Airport,Vancouver,Economy,0,1,SAN International Airport,San Diego,20:12,12:40,1,249,,,
777,Delta Airlines,False,2019-03-06,YVR International Airport,Vancouver,Economy,0,1,SAN International Airport,San Diego,20:12,12:25,1,225,,,
778,Southwest Airlines,False,2019-03-06,YVR International Airport,Vancouver,Economy,0,1,SAN International Airport,San Diego,20:12,11:35,1,222,,,
779,United Airlines,False,2019-03-06,YVR International Airport,Vancouver,Premium Economy,0,1,SAN International Airport,San Diego,15:47,06:35,1,411,,,
780,Southwest Airlines,True,2019-03-03,Charles de Gaulle International Airport,Paris,Economy,0,1,PDX International Airport,Portland,11:38,09:20,1,356,,,
781,American Airlines,True,2019-03-01,Charles de Gaulle International Airport,Paris,Economy,0,1,O'Hare International Airport,Chicago,11:23,09:50,1,465,,,
782,Air Canada,True,2019-03-02,O'Hare International Airport,Chicago,Economy,0,1,YVR International Airport,Vancouver,00:12,12:15,1,298,,,
783,American Airlines,False,2019-03-02,O'Hare International Airport,Chicago,Economy,0,1,YVR International Airport,Vancouver,12:47,01:30,1,321,,,
784,Delta Airlines,False,2019-03-02,O'Hare International Airport,Chicago,Economy,0,0,YVR International Airport,Vancouver,09:06,02:30,1,178,,,
785,United Airlines,False,2019-03-02,O'Hare International Airport,Chicago,Economy,0,0,YVR International Airport,Vancouver,14:36,08:00,1,156,,,
786,American Airlines,False,2019-03-01,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Charles de Gaulle International Airport,Paris,15:32,05:05,2,429,,,
787,Delta Airlines,False,2019-03-01,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Charles de Gaulle International Airport,Paris,22:16,11:20,2,369,,,
788,United Airlines,False,2019-03-01,Seattle-Tacoma International Airport,Seattle,Economy,0,1,Charles de Gaulle International Airport,Paris,13:30,04:50,2,408,,,
789,American Airlines,False,2019-03-02,SAN International Airport,San Diego,Economy,0,0,Sky Harbor International Airport,Phoenix,11:30,10:10,1,91,,,
790,Delta Airlines,False,2019-03-02,SAN International Airport,San Diego,Economy,0,0,Sky Harbor International Airport,Phoenix,22:55,21:35,1,83,,,
791,United Airlines,False,2019-03-02,SAN International Airport,San Diego,Economy,0,0,Sky Harbor International Airport,Phoenix,17:10,15:50,1,91,,,
792,American Airlines,False,2019-03-03,PDX International Airport,Portland,Economy,0,1,O'Hare International Airport,Chicago,19:13,14:00,1,257,,,
793,Delta Airlines,False,2019-03-03,PDX International Airport,Portland,Economy,0,1,O'Hare International Airport,Chicago,12:20,07:05,1,291,,,
794,Southwest Airlines,False,2019-03-03,PDX International Airport,Portland,Economy,0,1,O'Hare International Airport,Chicago,12:20,06:45,1,277,,,
795,United Airlines,False,2019-03-03,PDX International Airport,Portland,Economy,0,1,O'Hare International Airport,Chicago,19:13,14:20,1,244,,,
796,Alaska Airlines,False,2019-03-05,YVR International Airport,Vancouver,Economy,0,1,SAN International Airport,San Diego,20:12,12:40,1,264,,,
797,Southwest Airlines,False,2019-03-05,YVR International Airport,Vancouver,Economy,0,1,SAN International Airport,San Diego,15:47,11:35,1,227,,,
798,United Airlines,False,2019-03-05,YVR International Airport,Vancouver,Economy,0,1,SAN International Airport,San Diego,15:47,06:35,1,227,,,
799,American Airlines,False,2019-03-11,McCarran International Airport,Las Vegas,Economy,0,1,O'Hare International Airport,Chicago,13:55,08:25,1,288,,,
800,Delta Airlines,False,2019-03-11,McCarran International Airport,Las Vegas,Economy,0,1,O'Hare International Airport,Chicago,13:55,08:50,1,279,,,
801,Southwest Airlines,False,2019-03-11,McCarran International Airport,Las Vegas,Economy,0,1,O'Hare International Airport,Chicago,18:15,13:15,1,282,,,
802,Alaska Airlines,False,2019-03-01,Sky Harbor International Airport,Phoenix,Economy,0,0,LAX International Airport,Los Angeles,08:33,07:05,1,102,,,
803,Delta Airlines,False,2019-03-02,SAN International Airport,San Diego,Economy,0,1,O'Hare International Airport,Chicago,12:00,05:45,1,288,,,
804,Alaska Airlines,False,2019-03-01,Seattle-Tacoma International Airport,Seattle,Economy,0,0,LAX International Airport,Los Angeles,11:02,08:15,1,134,,,
805,American Airlines,False,2019-03-01,Seattle-Tacoma International Airport,Seattle,Economy,0,0,LAX International Airport,Los Angeles,20:42,17:55,1,142,,,
806,Delta Airlines,False,2019-03-01,Seattle-Tacoma International Airport,Seattle,Economy,0,0,LAX International Airport,Los Angeles,20:32,17:45,1,139,,,
807,Southwest Airlines,False,2019-03-01,Seattle-Tacoma International Airport,Seattle,Economy,0,0,LAX International Airport,Los Angeles,20:07,17:20,1,151,,,
808,United Airlines,True,2019-03-01,Seattle-Tacoma International Airport,Seattle,Economy,0,0,LAX International Airport,Los Angeles,01:17,22:30,1,129,,,
809,American Airlines,False,2019-03-01,Sky Harbor International Airport,Phoenix,Economy,0,1,LAX International Airport,Los Angeles,07:49,05:05,1,168,,,
810,Delta Airlines,False,2019-03-01,Sky Harbor International Airport,Phoenix,Economy,0,0,LAX International Airport,Los Angeles,08:58,07:30,1,107,,,
811,Southwest Airlines,False,2019-03-01,Sky Harbor International Airport,Phoenix,Economy,0,1,LAX International Airport,Los Angeles,22:59,20:05,1,178,,,
812,United Airlines,False,2019-03-01,Sky Harbor International Airport,Phoenix,Economy,0,0,LAX International Airport,Los Angeles,22:58,21:30,1,83,,,
813,American Airlines,False,2019-03-09,Toronto Pearson International Airport,Toronto,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,10:33,06:05,1,246,,,
814,Delta Airlines,True,2019-03-09,Toronto Pearson International Airport,Toronto,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,01:15,17:55,1,214,,,
815,Southwest Airlines,False,2019-03-09,Toronto Pearson International Airport,Toronto,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,13:43,06:40,1,227,,,
816,United Airlines,False,2019-03-09,Toronto Pearson International Airport,Toronto,Economy,0,1,Hartsfield-Jackson International Airport,Atlanta,13:43,04:20,1,224,,,
817,Alaska Airlines,False,2019-03-01,Benito Juarez International Airport,Mexico City,Economy,0,0,SFO International Airport,San Francisco,16:48,11:05,1,148,,,
818,American Airlines,True,2019-03-01,Benito Juarez International Airport,Mexico City,Economy,0,1,SFO International Airport,San Francisco,01:35,18:00,1,239,,,
819,Delta Airlines,False,2019-03-01,Benito Juarez International Airport,Mexico City,Economy,0,0,SFO International Airport,San Francisco,22:38,16:55,1,151,,,
820,Southwest Airlines,False,2019-03-01,Benito Juarez International Airport,Mexico City,Economy,0,1,SFO International Airport,San Francisco,11:15,04:00,1,273,,,
821,United Airlines,True,2019-03-01,Benito Juarez International Airport,Mexico City,Economy,0,1,SFO International Airport,San Francisco,01:35,15:05,1,226,,,
822,Delta Airlines,True,2019-03-01,Jomo Kenyatta International Airport,Nairobi,Economy,0,0,JFK International Airport,New York,20:42,20:35,2,256,,,
823,Southwest Airlines,True,2019-03-01,Jomo Kenyatta International Airport,Nairobi,Economy,0,0,JFK International Airport,New York,10:22,10:15,2,295,,,
824,American Airlines,False,2019-03-01,SAN International Airport,San Diego,Economy,0,0,McCarran International Airport,Las Vegas,14:09,12:55,1,86,,,
825,Delta Airlines,False,2019-03-01,SAN International Airport,San Diego,Economy,0,0,McCarran International Airport,Las Vegas,21:49,20:35,1,92,,,
826,Southwest Airlines,False,2019-03-01,SAN International Airport,San Diego,Economy,0,1,McCarran International Airport,Las Vegas,21:49,18:50,1,139,,,
827,United Airlines,False,2019-03-01,SAN International Airport,San Diego,Economy,0,1,McCarran International Airport,Las Vegas,16:29,13:40,1,150,,,
828,American Airlines,False,2019-03-01,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,Indira Gandhi International Airport,Delhi,15:42,12:20,1,375,,,
829,United Airlines,True,2019-03-01,Hartsfield-Jackson International Airport,Atlanta,Economy,0,1,Indira Gandhi International Airport,Delhi,00:52,21:15,1,355,,,
830,American Airlines,False,2019-03-04,PHL International Airport,Philadelphia,Economy,0,0,JFK International Airport,New York,08:46,07:55,1,56,,,
831,Delta Airlines,False,2019-03-04,PHL International Airport,Philadelphia,Economy,0,0,JFK International Airport,New York,07:11,06:20,1,56,,,
