,address,area,has_garage,in_unit_laundry,intent,number_of_baths,number_of_beds,phone_number,price,property_name,visit_date
533,39548 Fremont Boulevard,Fremont,True,True,rent,3,3,510-657-4244,4250,Pasatiempo Apartments,
534,2001 Range Avenue,Santa Rosa,False,False,buy,2,3,707-578-1150,3600000,Coddingtown Mall Apartments,
535,2807 Yulupa Avenue,Santa Rosa,False,True,buy,2,3,707-527-0128,3400000,Country Club Apartments,
536,3076 Marlow Road,Santa Rosa,True,True,buy,2,3,707-579-5081,3200000,Marlow Apartments,
537,310 Butterfly Lane,Santa Rosa,True,True,buy,2,3,707-542-4067,3500000,Meadowview Apartments,
538,1814 North Dutton Avenue # 25,Santa Rosa,False,True,buy,2,3,707-542-1310,3650000,North Dutton Apartments,
539,2002 Pinercrest Drive,Santa Rosa,False,False,buy,2,3,707-579-3424,3550000,Orchard West Senior Apartments,
540,2389 McBride Lane,Santa Rosa,False,False,buy,2,3,707-579-5605,3600000,Park Villa Apartments,
541,1024 Prospect Avenue # 122A,Santa Rosa,True,False,buy,2,3,707-537-7834,3250000,Prospect Place Apartments,
542,2111 Kawana Springs Road,Santa Rosa,True,False,buy,2,3,707-595-2374,3200000,Renaissance Apartment Homes,
543,1 Kashmir Drive,Santa Rosa,False,True,buy,2,3,707-539-1109,3550000,Santa Rosa Garden Apartments,
544,2001 Range Avenue,,False,False,,2,3,707-578-1150,4000,Coddingtown Mall Apartments,2019-03-05
545,4261 Stevenson Boulevard,Fremont,True,True,rent,2,3,510-656-8200,3750,Lincoln Glen,
546,37767 Fremont Boulevard,Fremont,True,True,rent,2,3,510-797-5099,3800,Pepper Tree Apartments,
547,38730 Lexington St # Off,Fremont,True,False,rent,2,3,510-488-6357,3500,Redwood Plaza Apartments,
548,"Fremont, California 94538, United States",Fremont,True,False,rent,2,3,510-657-1171,3650,Sundale South Apartments,
549,40914 Ingersoll Terrace,Fremont,True,False,rent,2,3,510-651-5454,3550,Woodcreek,
550,38771 Bell Street,Fremont,True,False,rent,2,3,510-794-5860,4000,Woodland Garden Apartments,
551,4261 Stevenson Boulevard,,True,True,,2,3,510-656-8200,3750,Lincoln Glen,2019-03-04
552,2005 San Jose Drive,Antioch,True,False,buy,3,3,925-757-1250,3600000,Baywoods Apartment Homes,
553,1017 H Street,Antioch,False,False,buy,3,3,925-978-1017,3950000,Casa Bonita,
554,5100 Vista Grande Dr,Antioch,False,False,buy,3,3,925-755-4141,3400000,Cross Pointe,
555,600 Wilbur Avenue,Antioch,True,True,buy,3,3,925-779-0601,3400000,Lakeshore Apartments,
556,1015 Fitzuren Road #7,Antioch,True,True,buy,3,3,925-978-9772,3400000,Magnolia Apartments,
557,2005 San Jose Drive,,True,False,,3,3,925-757-1250,4250,Baywoods Apartment Homes,2019-03-11
558,555 East El Camino Real,Sunnyvale,True,True,buy,2,2,408-738-0935,2650000,Arbor Terrace Apartments,
559,660 Gail Avenue,Sunnyvale,True,False,buy,2,2,888-854-9884,3000000,Bonnie Terrace Apartments,
560,732 East Evelyn Avenue,Sunnyvale,False,False,buy,2,2,669-267-1020,2600000,Bristol Commons,
561,874 East El Camino Real,Sunnyvale,False,False,buy,2,2,866-730-1639,2500000,Cascades Apartments,
562,1234 Sunnyvale Saratoga Road # 9,Sunnyvale,True,False,buy,2,2,408-737-2424,2850000,Chatelaine Apartments,
563,1055 East Evelyn Avenue,Sunnyvale,True,False,buy,2,2,408-296-8006,2650000,Evelyn Gardens,
564,555 East Washington Avenue,Sunnyvale,True,True,buy,2,2,833-630-9835,2950000,Heritage Park Apartments,
565,1220 North Fair Oaks Avenue,Sunnyvale,False,True,buy,2,2,866-302-5606,3000000,Kensington Place Apartments,
566,107 South Mary Avenue,Sunnyvale,False,False,buy,2,2,408-702-2447,2650000,Magnolia Square Apartments,
567,1209 Ayala Drive,Sunnyvale,True,True,buy,2,2,650-961-6696,2700000,Palm Villa Apartments,
568,555 East El Camino Real,,True,True,,2,2,408-738-0935,2650000,Arbor Terrace Apartments,2019-03-10
569,1059 Reed Avenue,Sunnyvale,False,True,buy,1,2,408-984-1060,2750000,Aster Park Apartments,
570,732 East Evelyn Avenue,Sunnyvale,False,False,buy,1,2,669-267-1020,2400000,Bristol Commons,
571,455 Brahms Way,Sunnyvale,False,True,buy,1,2,408-732-1200,2600000,Cezanne Apartments,
572,678 Bellflower Avenue,Sunnyvale,False,False,buy,1,2,408-735-9030,2400000,Charter Palm Town Homes,
573,250 W El Camino Real,Sunnyvale,False,False,buy,1,2,866-748-9591,2250000,Cherry Orchard Apartment Homes,
574,1220 North Fair Oaks Avenue,Sunnyvale,False,True,buy,1,2,866-302-5606,2400000,Kensington Place Apartments,
575,107 South Mary Avenue,Sunnyvale,False,False,buy,1,2,408-702-2447,2700000,Magnolia Square Apartments,
576,1063 Morse Avenue,Sunnyvale,True,False,buy,1,2,844-482-6009,2700000,Mission Pointe By Windsor,
577,1229 Vicente Drive,Sunnyvale,True,True,buy,1,2,650-961-0141,2350000,Olive West Apartments,
578,120 East Remington Drive,Sunnyvale,True,True,buy,1,2,408-738-1114,2300000,Remington Place Apartments,
579,1059 Reed Avenue,,False,True,,1,2,408-984-1060,2750000,Aster Park Apartments,2019-03-14
580,1290 San Tomas Aquino Road,San Jose,False,True,rent,3,4,408-984-8888,5100,Aegena,
581,73 North Keeble Avenue,San Jose,True,True,rent,3,4,408-998-7266,4900,Alameda Gardens Apartments,
582,947 Branham Lane # C,San Jose,True,False,rent,3,4,408-265-4808,5200,Almaden Garden Apartments,
583,1543 Ambergrove Drive,San Jose,True,False,rent,3,4,408-453-8011,4750,Amberwood Apartments,
584,2760 McKee Road,San Jose,True,False,rent,3,4,408-251-7570,4850,Arbor Terraces,
585,750 North King Road,San Jose,True,False,rent,3,4,408-844-4803,4800,Avenel Apartments,
586,4748 West Campbell Avenue,San Jose,True,True,rent,3,4,408-379-8440,4700,Baker Park Apartments,
587,5480 Lean Avenue,San Jose,True,False,rent,3,4,408-840-2195,4750,Blossom Hill Apartments,
588,1000 Blossom River Way,San Jose,True,True,rent,3,4,408-979-9442,5250,Blossom River Apartments,
589,1612 Branham Lane,San Jose,True,False,rent,3,4,408-267-0515,5100,Branham House Apartments,
590,1290 San Tomas Aquino Road,,False,True,,3,4,408-984-8888,5100,Aegena,2019-03-05
591,26100 Gading Road,Hayward,True,True,rent,2,3,510-785-3281,3900,Amberwood Garden Apartments,
592,25100 Cypress Avenue,Hayward,True,True,rent,2,3,510-887-4406,3900,Cypress Glen,
593,25221 Cypress Avenue,Hayward,True,True,rent,2,3,510-781-0217,4000,Cypress Point Villas,
594,29596 Dixon Street # 60,Hayward,False,True,rent,2,3,510-537-4705,3600,Dixon Apartments,
595,24545 Amador Street,Hayward,True,True,rent,2,3,510-400-7700,3950,Jackson Arms Apartments,
596,2747 Oliver Drive,Hayward,True,True,rent,2,3,510-782-2311,4050,Josephine Lum Lodge,
597,1638 E Street # 106,Hayward,False,False,rent,2,3,510-582-3155,3500,Leisure Terrace,
598,959 Torrano Avenue # 34,Hayward,False,False,rent,2,3,510-537-7612,3550,Majestic Apartments,
599,655 Tennyson Road,Hayward,True,False,rent,2,3,855-430-2503,3700,Metro Six55 Apartments,
600,671 West A Street,Hayward,False,True,rent,2,3,510-784-0866,4050,Olive Tree Plaza,
601,26100 Gading Road,Hayward,True,True,buy,2,3,510-785-3281,3650000,Amberwood Garden Apartments,
602,25100 Cypress Avenue,Hayward,True,True,buy,2,3,510-887-4406,3350000,Cypress Glen,
603,25221 Cypress Avenue,Hayward,True,True,buy,2,3,510-781-0217,3550000,Cypress Point Villas,
604,29596 Dixon Street # 60,Hayward,False,True,buy,2,3,510-537-4705,3650000,Dixon Apartments,
605,24545 Amador Street,Hayward,True,True,buy,2,3,510-400-7700,3200000,Jackson Arms Apartments,
606,2747 Oliver Drive,Hayward,True,True,buy,2,3,510-782-2311,3100000,Josephine Lum Lodge,
607,1638 E Street # 106,Hayward,False,False,buy,2,3,510-582-3155,3200000,Leisure Terrace,
608,959 Torrano Avenue # 34,Hayward,False,False,buy,2,3,510-537-7612,3250000,Majestic Apartments,
609,25221 Cypress Avenue,,True,True,,2,3,510-781-0217,3550000,Cypress Point Villas,2019-03-01
610,1290 San Tomas Aquino Road,,False,True,,3,4,408-984-8888,5100,Aegena,2019-03-04
611,400 East Remington Drive,Sunnyvale,False,True,rent,3,4,408-738-4862,4750,Apricot Pit Apartments,
612,151 South Bernardo Avenue,Sunnyvale,False,False,rent,3,4,650-961-3333,4800,Balboa Apartments,
613,815 East Fremont Avenue,Sunnyvale,True,False,rent,3,4,408-736-5183,5200,Cambria Apartments,
614,135 Acalanes Drive,Sunnyvale,True,False,rent,3,4,650-965-1671,4800,Casa Del Sol Apartments,
615,455 Crescent Avenue,Sunnyvale,False,False,rent,3,4,408-737-1130,5000,Crescent Manor,
616,130 Crescent Avenue,Sunnyvale,False,False,rent,3,4,408-749-1060,4950,Crescent Terrace Senior Apartments,
617,1055 East Evelyn Avenue,Sunnyvale,True,False,rent,3,4,408-296-8006,4950,Evelyn Gardens,
618,1063 Morse Avenue,Sunnyvale,True,False,rent,3,4,844-482-6009,5050,Mission Pointe By Windsor,
619,825 Morse Avenue,Sunnyvale,False,False,rent,3,4,408-734-9442,4950,Morse Court Apartments,
620,1229 Vicente Drive,Sunnyvale,True,True,rent,3,4,650-961-0141,5200,Olive West Apartments,
621,400 East Remington Drive,,False,True,,3,4,408-738-4862,4750,Apricot Pit Apartments,2019-03-09
622,900 Pepper Tree Lane,Santa Clara,True,False,buy,2,3,866-472-2645,3500000,Alderwood Apartments,
623,3440 Warburton Avenue,Santa Clara,False,False,buy,2,3,408-248-5766,3200000,Briarwood Garden Apartments,
624,3600-3616 Flora Vista Avenue,Santa Clara,False,True,buy,2,3,408-261-2252,3400000,Catalina Apartments,
625,1495 Don Avenue,Santa Clara,True,True,buy,2,3,408-713-6428,3100000,Civic Plaza Apartments,
626,3131 Homestead Road,Santa Clara,False,False,buy,2,3,408-244-6715,3550000,Laguna Clara Apartments,
627,3600 Benton Street # 5,Santa Clara,False,False,buy,2,3,408-241-4073,3600000,Laurelwood Apartments,
628,865 Pomeroy Avenue,Santa Clara,False,False,buy,2,3,408-244-0035,3400000,Park Terrace Apartments,
629,2150 Tasman Drive,Santa Clara,False,False,buy,2,3,408-492-9944,3600000,Riverwood Grove,
630,3449 Agate Drive,Santa Clara,True,True,buy,2,3,408-296-7679,3650000,Shayla Apartments,
631,2650 Keystone Avenue,Santa Clara,False,True,buy,2,3,408-244-2244,3250000,Vista Del Lago Iii Apartments,
632,2290 California Street,Mountain View,True,True,rent,2,3,650-965-8290,3600,Arbors At Mountain View,
633,1335 Montecito Avenue # 1,Mountain View,True,False,rent,2,3,650-940-1909,3600,Barkley Square Apartments,
634,200 East Dana Street,Mountain View,False,True,rent,2,3,650-967-3870,4000,Dana Garden Apartments,
635,210 Easy Street,Mountain View,True,False,rent,2,3,650-961-2975,3850,Fernmar Apartments,
636,375 Oaktree Drive,Mountain View,True,True,rent,2,3,650-390-9450,3600,Ginzton Terrace,
637,1571 West El Camino Real,Mountain View,True,False,rent,2,3,650-969-9800,3800,Hidden Garden Apartments,
638,2650 California Street,Mountain View,True,False,rent,2,3,650-948-7855,3900,Kentfield Apartments,
639,1970 Latham Street,Mountain View,True,True,rent,2,3,650-961-6135,3600,Latham Court Apartments,
640,1885 California Street,Mountain View,True,False,rent,2,3,650-964-3882,3550,Maplewood,
641,1555 West Middlefield Road,Mountain View,True,False,rent,2,3,650-964-8511,4000,Meadowood Apartments,
642,"132, 150 West Dana Street",Mountain View,True,True,rent,2,3,650-968-5695,3800,Sunshine Gardens Apartments,
643,200 East Dana Street,,False,True,,2,3,650-967-3870,4000,Dana Garden Apartments,2019-03-13
644,4101 Eggers Drive # 16,Fremont,False,True,rent,2,3,510-796-4064,3700,Case Verde Apartment,
645,39438 Stratton Common,Fremont,False,True,rent,2,3,510-490-0371,3550,Crossroads Village Apartments,
646,38850 Farwell Drive,Fremont,False,False,rent,2,3,510-793-5100,3550,Glenmoor Green Apartments,
647,4401 Central Avenue,Fremont,False,True,rent,2,3,510-792-5182,3750,Ladera Woods Apartments,
648,4917 Central Avenue,Fremont,False,False,rent,2,3,510-794-1900,3600,Regency Square Apartments,
649,"5363, 3400 Stevenson Boulevard",Fremont,False,False,rent,2,3,844-498-8557,3550,The Estates At Park Place,
650,4101 Eggers Drive # 16,,False,True,,2,3,510-796-4064,3700,Case Verde Apartment,2019-03-05
651,1405 Phelps Avenue,San Jose,True,True,buy,3,3,408-866-6111,3550000,Campbell House Apartments,
652,1800 Stokes Street,San Jose,False,True,buy,3,3,408-289-8080,3450000,Creekside Apartments,
653,1 Vista Montana,San Jose,False,True,buy,3,3,844-244-9251,3650000,Domain Apartments,
654,600 Epic Way,San Jose,False,True,buy,3,3,669-888-1610,3750000,Epic,
655,2130 Park Avenue,San Jose,False,True,buy,3,3,408-247-1980,3450000,Gum Tree Apartments,
656,3263 Mount Diablo Court,,False,False,,3,3,925-287-1188,4450,Lafayette Commons Apartments,2019-03-10
657,1501 Decoto Road,Union City,False,True,buy,2,3,510-487-2733,3500000,Parkside Apartments,
658,3900 Horner Street,Union City,True,True,buy,2,3,510-489-2220,3150000,Summerhill Place Apartments,
659,3900 Horner Street,,True,True,,2,3,510-489-2220,3150000,Summerhill Place Apartments,2019-03-09
660,275 Hawthorne Avenue,Palo Alto,True,False,buy,1,2,650-966-5319,2750000,275 Hawthorne Apartments,
661,574 Arastradero Road,Palo Alto,True,False,buy,1,2,650-493-4376,2350000,Arastradero Park Apartments,
662,325 Hawthorne Avenue,Palo Alto,True,True,buy,1,2,650-966-5319,2700000,Hawthorne,
663,1600 Sand Hill Road,Palo Alto,True,True,buy,1,2,650-321-1701,2300000,Oak Creek Apartments,
664,2850 Middlefield Road,Palo Alto,False,False,buy,1,2,650-322-1112,2200000,Southwood Apartments,
665,562 Kendall Avenue,Palo Alto,True,False,buy,1,2,650-321-1000,2750000,Vrent - Park West Apartments,
666,574 Arastradero Road,,True,False,,1,2,650-493-4376,2350000,Arastradero Park Apartments,2019-03-07
667,831 Gale Drive,Campbell,False,False,rent,3,4,408-374-3500,5100,Appletree Apartments,
668,150 West Rincon Avenue,Campbell,True,True,rent,3,4,408-871-1333,5150,Rincon Gables Apartments,
669,825 South San Tomas Aquino Road,Campbell,False,True,rent,3,4,408-374-8741,5200,San Tomas Gardens,
670,275 Union Avenue,Campbell,True,True,rent,3,4,408-898-4572,5150,The Commons,
671,831 Gale Drive,,False,False,,3,4,408-374-3500,5100,Appletree Apartments,2019-03-13
672,1001 Beethoven Common,,False,True,,3,3,510-797-1800,3850000,Alborada Apartments,2019-03-01
673,400 East Remington Drive,Sunnyvale,False,True,buy,2,3,408-738-4862,3650000,Apricot Pit Apartments,
674,151 South Bernardo Avenue,Sunnyvale,False,False,buy,2,3,650-961-3333,3350000,Balboa Apartments,
675,815 East Fremont Avenue,Sunnyvale,True,False,buy,2,3,408-736-5183,3550000,Cambria Apartments,
676,678 Bellflower Avenue,Sunnyvale,False,False,buy,2,3,408-735-9030,3650000,Charter Palm Town Homes,
677,955 Escalon Avenue,Sunnyvale,True,True,buy,2,3,408-737-2777,3350000,Macara Gardens Apartments,
678,777 South Mathilda Avenue,Sunnyvale,True,True,buy,2,3,408-774-1501,3200000,Mathilda Garden Apartments,
679,825 Morse Avenue,Sunnyvale,False,False,buy,2,3,408-734-9442,3200000,Morse Court Apartments,
680,330 North Mathilda Avenue,Sunnyvale,True,True,buy,2,3,844-503-6930,3500000,Peartree,
681,1166 Sunnyvale Saratoga Road,Sunnyvale,True,False,buy,2,3,408-736-7063,3400000,Sandlewood Apartments,
682,936 Azure Street # A1,Sunnyvale,False,True,buy,2,3,408-245-7710,3100000,Sara-Vale Apartments,
683,739 East El Camino Real,Sunnyvale,True,False,buy,2,3,408-738-0505,3200000,St Francis Arms,
684,395 Ano Nuevo Avenue,Sunnyvale,True,True,buy,2,3,408-732-2600,3100000,Windemere Apartments,
685,815 East Fremont Avenue,,True,False,,2,3,408-736-5183,3550000,Cambria Apartments,2019-03-09
686,55 Fairfax Street #27,San Rafael,False,False,buy,1,1,415-453-5531,1900000,Casa Vista Apartments,
687,30 Novato Street,San Rafael,False,False,buy,1,1,415-457-5359,1900000,Sommerhill Townhomes,
688,201 D Street,,True,True,,1,1,415-720-6977,1850,Franciscan Manor,2019-03-01
689,99 Professional Center Parkway,San Rafael,True,True,rent,2,2,415-472-6644,3150,Deer Park Apartments,
690,99 Professional Center Parkway,,True,True,,2,2,415-472-6644,2500000,Deer Park Apartments,2019-03-03
691,375 Oaktree Drive,Mountain View,True,True,buy,1,2,650-390-9450,2600000,Ginzton Terrace,
692,1901 Rock Street,Mountain View,True,True,buy,1,2,650-964-6100,2200000,Riverstone Town Homes,
693,460 North Shoreline Boulevard,Mountain View,False,True,buy,1,2,650-966-1328,2600000,Shorebreeze Apartments,
694,"132, 150 West Dana Street",Mountain View,True,True,buy,1,2,650-968-5695,2300000,Sunshine Gardens Apartments,
695,2700 Del Medio Court,Mountain View,False,True,buy,1,2,650-941-2244,2450000,Vrent - Del Medio Park Apartments,
696,375 Oaktree Drive,,True,True,,1,2,650-390-9450,2600000,Ginzton Terrace,2019-03-11
697,5255 Camden Avenue,San Jose,True,False,rent,2,3,408-265-5605,3600,Del Coronado Apartments,
698,1250 Foxdale Loop,San Jose,True,False,rent,2,3,408-251-1142,3800,Foxdale Village Apartments,
699,632 North Jackson Avenue # 4,San Jose,True,True,rent,2,3,408-251-6850,3600,Las Casitas Associates,
700,1324 Santee Drive,San Jose,True,False,rent,2,3,408-286-1903,3700,Monte Alban Apartments,
701,458 Boynton Avenue Apt A4,San Jose,True,True,rent,2,3,844-578-7568,4000,Pacific Terrace West,
702,947 Branham Lane # C,,True,False,,2,3,408-265-4808,3550,Almaden Garden Apartments,2019-03-07
703,1546 Maurice Lane,,False,False,,2,2,408-818-0710,2600000,888 Golden Saratoga-Cupertino Apartment Homes,2019-03-14
704,199 Aegean Way,Vacaville,True,True,buy,2,2,707-448-7056,2700000,Meadowood Apartments,
705,1300 Burton Drive,Vacaville,True,True,buy,2,2,707-447-2500,2900000,The Commons Apartments,
706,199 Aegean Way,,True,True,,2,2,707-448-7056,3000,Meadowood Apartments,2019-03-02
707,200 Greenbriar Circle,Petaluma,True,False,rent,3,4,855-243-4986,5150,Addison Ranch,
708,150 Graylawn Avenue,Petaluma,False,True,rent,3,4,707-762-5126,5250,Oak Creek Apartments,
709,"7011, 109 Magnolia Avenue",Petaluma,False,True,rent,3,4,707-762-6709,5100,Park Lane Apartments,
710,149 Wyndham Way,Petaluma,True,True,rent,3,4,707-763-8434,4750,Petaluma Senior Citizens Apt,
711,745 North McDowell Boulevard,Petaluma,True,False,rent,3,4,707-766-8922,5050,Round Walk Village,
712,909 Martin Circle,Petaluma,True,True,rent,3,4,707-763-9242,5250,Washington Creek Apartments,
713,200 Greenbriar Circle,,True,False,,3,4,855-243-4986,5150,Addison Ranch,2019-03-08
714,135 Acalanes Drive,,True,False,,1,1,650-965-1671,1700,Casa Del Sol Apartments,2019-03-12
715,3815 Susan Drive,,True,False,,2,2,650-359-0771,2600000,Evergreen Ridge Apartments,2019-03-04
716,2020 Southwest Expressway,,False,False,,3,4,408-287-6274,4950,Cherry Creek Apartments,2019-03-13
717,1038 Catalina Drive,,False,False,,3,3,925-447-1144,3500000,Catalina Crest Apartment Homes,2019-03-11
718,888 North San Mateo Drive,,True,False,,2,3,650-340-0098,3200000,888 San Mateo,2019-03-01
719,3707 Poinciana Drive,,False,False,,3,4,408-649-7906,5200,Riley Square,2019-03-05
720,1747 Lincoln Avenue,,False,True,,3,3,415-453-0563,3650000,Park Hill Apartments,2019-03-04
721,25221 Cypress Avenue,,True,True,,2,2,510-781-0217,3250,Cypress Point Villas,2019-03-06
722,1435 163rd Avenue #23,,False,False,,1,2,510-317-5914,2400000,Alderwood Apartments,2019-03-10
723,909 Martin Circle,,True,True,,3,4,707-763-9242,5250,Washington Creek Apartments,2019-03-01
724,10 Milland Drive,,False,True,,3,3,415-383-1189,4000,Chateau Chillon Apartments,2019-03-01
725,375 Industrial Parkway # 314,,False,True,,3,3,510-581-0911,3950,Golf Club Manor Apartments,2019-03-02
726,6410 Schmidt Lane,,False,False,,3,4,510-236-2860,5200,Village At Town Center Apartments,2019-03-06
727,29596 Dixon Street # 60,,False,True,,2,3,510-537-4705,3650000,Dixon Apartments,2019-03-02
728,460 North Shoreline Boulevard,,False,True,,3,3,650-966-1328,4200,Shorebreeze Apartments,2019-03-01
729,1160 Meadow Lane,,False,False,,3,4,855-289-4212,4800,Pine Meadows Apartments,2019-03-01
730,600 Epic Way,,False,True,,3,3,669-888-1610,3750000,Epic,2019-03-09
731,1405 Marshall Street,,True,True,,2,3,650-679-8066,3200000,Marymount Apartments,2019-03-01
732,181 Pierce Street,,False,False,,1,1,408-842-6341,2050,Park View Apartments,2019-03-09
733,3420 Willow Pass Road,,True,True,,2,2,925-825-5958,2950,Palm Court Apartment,2019-03-01
734,1724 Sunnyhills Court,,False,False,,3,3,408-263-2626,4300,Sunnyhills Apartments,2019-03-01
735,25173 Cypress Avenue,,True,False,,1,2,510-782-8753,2750,Amador Royal,2019-03-11
736,135 Acalanes Drive,,True,False,,3,4,650-965-1671,4550000,Casa Del Sol Apartments,2019-03-01
737,777 West Middlefield Road,,True,True,,2,3,650-961-0948,3900,Village Lake Apartments,2019-03-12
738,500 Loveridge Circle,,False,False,,3,4,925-427-2202,4300000,Portofino Apartments,2019-03-12
739,200 East Dana Street,,False,True,,3,3,650-967-3870,3700000,Dana Garden Apartments,2019-03-11
740,707 Continental Circle,,True,False,,3,3,833-278-0054,3500000,Americana,2019-03-01
741,1885 California Street,,True,False,,2,3,650-964-3882,3550,Maplewood,2019-03-10
742,101 Saratoga Avenue,,True,True,,1,1,866-913-4881,1700,Orchard Glen Apartments,2019-03-01
743,1445 Treat Boulevard,,False,True,,3,3,925-943-7977,3650000,Archstone Walnut Creek,2019-03-10
744,4984 Severance Drive,,True,True,,1,2,408-448-2946,2350000,Santa Familia Apartments,2019-03-01
745,19500 Pruneridge Avenue,,False,False,,1,1,866-628-5690,1700,The Hamptons Apartment Homes,2019-03-11
746,22160 Center Street,,True,True,,2,3,510-581-4280,3650,Creekside Terrace Apartments,2019-03-08
747,1110 Harness Drive,,True,False,,3,3,925-307-7105,3700000,Foothill - Twin Creeks,2019-03-11
748,1624 Pueblo Avenue,,True,True,,3,4,707-251-5687,4800,Rutherford Townhomes,2019-03-11
749,180 Sycamore Avenue,,False,False,,2,3,925-634-8374,3300000,Brentwood Parks Apartments,2019-03-04
750,160 Wilford Lane,,False,True,,3,3,707-793-8454,4050,Wilford Lane Apartments,2019-03-01
751,26525 Gading Road,,True,False,,1,2,510-783-9858,2450000,Westwood Townhouse Apartments,2019-03-09
752,293 Shasta Drive,,False,True,,2,2,707-447-3651,2650000,Shasta Terrace,2019-03-11
753,4200 Appian Way,,True,False,,1,1,510-669-1325,1850000,Courtyard Terrace,2019-03-02
754,1900 Sestri Lane,,True,True,,1,1,707-317-1020,2000000,Capri Creek Apartments,2019-03-07
755,17055 Creekside Cir,,False,False,,3,4,408-778-1482,4750,Creekside Village,2019-03-02
756,1651 Belleville Way,,True,True,,1,1,669-257-9990,1700,Brookside Oaks,2019-03-09
757,1890 Dover Avenue,,False,True,,3,3,707-422-9630,3550000,Birchwood Apartments,2019-03-03
758,638 Cordelia Drive # 1,,True,False,,2,2,707-528-7971,2950000,Park Manor Apartments,2019-03-11
759,2601 Hilltop Drive,,True,True,,2,3,510-455-8847,3700,San Marcos,2019-03-01
760,601 River Glen Drive,,True,False,,2,2,707-253-0288,2500000,Glen View Apartments,2019-03-14
761,99 Oak Avenue # 201,,True,True,,3,4,650-952-3727,4700,Grand Oak Apartments,2019-03-07
762,837 Hancock Street,,True,True,,3,3,510-581-4141,3800000,Pinecrest Apartments,2019-03-05
763,955 Escalon Avenue,,True,True,,2,3,408-737-2777,3500,Macara Gardens Apartments,2019-03-12
764,1234 Sunnyvale Saratoga Road # 9,,True,False,,1,1,408-737-2424,1500,Chatelaine Apartments,2019-03-09
765,3707 Poinciana Drive,,False,False,,3,3,408-649-7906,4000,Riley Square,2019-03-06
766,2225 Sharon Road,Menlo Park,True,True,rent,3,3,650-854-8661,4050,Country Sharon Apartments,
767,2225 Sharon Road,,True,True,,3,3,650-854-8661,4350,Country Sharon Apartments,2019-03-01
768,978 Almaden Lake Drive,,False,False,,1,2,408-323-8020,2750,Almaden Lake Apartments,2019-03-13
769,1475 167th Avenue,San Leandro,True,False,buy,2,3,510-962-8120,3200000,Bermuda Garden Apartments,
770,13949 Doolittle Drive,San Leandro,False,True,buy,2,3,510-352-8728,3350000,Bermuda-Trinidad Apartments,
771,2011 Doolittle Drive # A1,San Leandro,True,False,buy,2,3,510-357-6086,3650000,Doolittle Apartments,
772,888 Davis Street,San Leandro,True,True,buy,2,3,510-562-5121,3500000,Gateway Apartments,
773,1275 Pacific Avenue # 8,San Leandro,True,False,buy,2,3,510-636-9727,3250000,Pacific Apartments,
774,2600 San Leandro Boulevard,San Leandro,False,False,buy,2,3,510-357-7131,3100000,San Leandro Racquet Club,
775,1475 167th Avenue,,True,False,,2,3,510-962-8120,3200000,Bermuda Garden Apartments,2019-03-08
776,22281 Center Street #57,Castro Valley,False,True,rent,2,3,510-538-0995,3850,Continental Apartments,
777,22160 Center Street,Castro Valley,True,True,rent,2,3,510-581-4280,3650,Creekside Terrace Apartments,
778,22281 Center Street,Castro Valley,False,True,rent,2,3,510-889-8771,3850,Redwood Valley Apartment Homes,
779,1200 Ranchero Way,San Jose,False,True,rent,2,3,408-241-1146,3550,Charter Court Apartments,
780,3200 Zanker Road,San Jose,False,True,rent,2,3,408-953-7440,3950,Mirada,
781,810 Hillsdale Avenue,San Jose,True,True,rent,2,3,408-264-8291,3600,Parkside Glen Apartment Homes,
782,463 Wooster Avenue # K1,San Jose,True,True,rent,2,3,408-998-0500,3750,Parkside Terrace,
783,760 North 7th Street,San Jose,False,True,rent,2,3,844-343-9547,4050,Pavona Apartments,
784,416 Boynton Avenue,,False,True,,2,3,408-246-5509,3100000,Boynton Brooks Apartments,2019-03-14
785,10944 San Pablo Avenue # 800,El Cerrito,True,True,buy,2,2,510-232-5798,2650000,Civic Plaza Apartments,
786,10944 San Pablo Avenue # 800,,True,True,,2,2,510-232-5798,2650000,Civic Plaza Apartments,2019-03-14
787,1901 Shore Line Drive,Alameda,False,False,rent,3,4,510-863-1139,4850,1901 Shoreline Apartments,
788,459 Neptune Gardens Avenue,Alameda,False,False,rent,3,4,510-769-1496,4700,Breakers At Bayport,
789,559 Buena Vista Avenue,Alameda,False,True,rent,3,4,510-521-2697,4950,Garden Court Apartments,
790,564 Central Avenue,Alameda,False,False,rent,3,4,510-865-1139,5050,Marine View Apartments,
791,1901 Shore Line Drive,,False,False,,3,4,510-863-1139,4850,1901 Shoreline Apartments,2019-03-02
792,3051 Colonial Way,San Jose,True,False,rent,3,4,408-866-8444,4750,Colonial Way Apartments,
793,73 North Keeble Avenue,,True,True,,3,4,408-998-7266,4900,Alameda Gardens Apartments,2019-03-01
794,199 Aegean Way,Vacaville,True,True,rent,2,2,707-448-7056,3000,Meadowood Apartments,
795,209 Aegean Way,Vacaville,True,False,rent,2,2,707-447-3577,2900,Quail Run Apartment Community,
796,1300 Burton Drive,Vacaville,True,True,rent,2,2,707-447-2500,3000,The Commons Apartments,
797,199 Aegean Way,,True,True,,2,2,707-448-7056,2950,Meadowood Apartments,2019-03-10
