,album,artist,genre,song_name,playback_device
910,Lush Life,Zara Larsson,Pop,Lush Life,TV
911,Pitch Perfect,Anna Kendrick,Soundtracks,Cups,TV
912,Mahandini,Dewa Budjana,Pop,Hyang Giri,bedroom speaker
913,Muse Box,Madilyn Bailey,Pop,Titanium,kitchen speaker
914,Witness,Katy Perry,Electropop,Swish Swish,TV
915,Narrated For You,Alec Benjamin,Pop,Gotta Be A Reason,TV
916,Blonde,Frank Ocean,Pop,Nights,TV
917,Mercury Lane,Jimmie Allen,Country,Best Shot,TV
918,Hold You,Gyptian,Reggae,Hold You,TV
919,Spectrum,Westlife,Pop,Hello My Love,bedroom speaker
920,Winter Collection,Sivik,Pop,High,kitchen speaker
921,Late Nights And Longnecks,Justin Moore,Country,Jesus And Jack Daniels,TV
922,Fight Song,Rachel Platten,Pop,Fight Song,TV
923,Pure Heroine,Lorde,Electropop,Tennis Court,kitchen speaker
924,The Martin Garrix Experience,Martin Garrix,House,Latency,TV
925,Cheap Smell,Sharon Kovacs,Pop,Cheap Smell,kitchen speaker
926,Narrated For You,Alec Benjamin,Pop,The Water Fountain,TV
927,Slow Air,Still Corners,Pop,The Message,bedroom speaker
928,Flicker,Niall Horan,Pop,On The Loose,TV
929,The Hunting Party,Linkin Park,Metal,Final Masquerade,kitchen speaker
930,Happiness Begins,Jonas Brothers,Pop,Sucker,bedroom speaker
931,Expectations,Bebe Rexha,Pop,I Got You,TV
932,Joytime,Marshmello,House,Find Me,TV
933,Sick Boy,The Chainsmokers,Pop,Everybody Hates Me,TV
934,Desperate Man,Eric Church,Country,Desperate Man,
935,Amma Kanakku,Srinisha,South Asia,Maths Tough,bedroom speaker
936,Elements,Ludovico Einaudi,Classical,Night,bedroom speaker
937,Melting,Nico Cartosio,Classical,Cocaine March,kitchen speaker
938,Holo,Limbo,Pop,Airplane Mode,bedroom speaker
939,Summer Anthems,Common Kings,Reggae,No Other Love,
940,Summer Anthems,Common Kings,Reggae,No Other Love,bedroom speaker
941,Journals,Justin Bieber,Pop,All That Matters,bedroom speaker
942,Count Me In,Rebelution,Reggae,Roots Reggae Music,bedroom speaker
943,If I Know Me,Morgan Wallen,Country,Whiskey Glasses,kitchen speaker
944,Dangerous Woman,Ariana Grande,Pop,Let Me Love You,TV
945,Love Songs From A Lolita,Maty Noyes,Pop,New Friends,TV
946,The Present Tense,Courier,Pop,San Francisco,TV
947,Love Crimes,Super Sako,Pop,Mi Gna,TV
948,Pop Food,Jack Stauber,Pop,Buttercup,TV
949,Only Love,Jordan Smith,Pop,Only Love,
950,Awake,Illenium,Dubstep,Free Fall,bedroom speaker
951,Narrated For You,Alec Benjamin,Pop,Boy In The Bubble,kitchen speaker
952,Fagun Ke Rang,Awadesh Premi Yadav,Folk,Suna Bhaiya Ke Sali,TV
953,Happy Endings,Old Dominion,Country,Written In Sand,TV
954,Transmissions,Starset,Rock,It Has Begun,kitchen speaker
955,A Star Is Born Soundtrack,Bradley Cooper,Soundtracks,Alibi,TV
956,Good Company,The Dead South,Folk,Banjo Odyssey,bedroom speaker
957,Good Company,The Dead South,Folk,Banjo Odyssey,TV
958,Odisea,Ozuna,Latin,El Farsante,kitchen speaker
959,Borbena,Teodora,Folk,Tom Ford,TV
960,Blastoff Blues,Ricky T And The Rockets,Blues,Memory Pain,TV
961,The Beautiful Game,Vulfpeck,Pop,Dean Town,kitchen speaker
962,Badlands,Halsey,Electropop,Colors,TV
963,Safe Haven,Ruth B,Pop,Superficial Love,kitchen speaker
964,Bittersweet,Brunettes Shoot Blondes,Rock,Knock Knock,bedroom speaker
965,Happy Endings,Old Dominion,Country,Written In Sand,bedroom speaker
966,Black Widow,In This Moment,Metalcore,Big Bad Wolf,TV
967,Hero,Maren Morris,Country,Rich,TV
968,Wonders,The Piano Guys,Classical,Let It Go,TV
969,Contraband,Madcon,Pop,Glow,bedroom speaker
970,Party Rock Mansion,Redfoo,Pop,New Thang,bedroom speaker
971,Cloud Nine,Kygo,Downtempo,Carry Me,kitchen speaker
972,Blues Of Desperation,Joe Bonamassa,Blues,Drive,bedroom speaker
973,Free Spirit,Khalid,Pop,Better,TV
974,Black Smoke Rising,Greta Van Fleet,Rock,Highway Tune,bedroom speaker
975,Shatter Me,Lindsey Stirling,Pop,Roundtable Rival,TV
976,Nine Track Mind,Charlie Puth,Pop,Dangerously,TV
977,Slow Air,Still Corners,Pop,The Message,kitchen speaker
978,Charice,Jake Zyrus,Pop,Pyramid,
979,The New Classic,Iggy Azalea,Pop,Black Widow,bedroom speaker
980,Elevate,Big Time Rush,Pop,Windows Down,TV
981,Southeastern,Jason Isbell,Alternative Country,Cover Me Up,bedroom speaker
982,Brave Enough,Lindsey Stirling,House,Lost Girls,bedroom speaker
983,If I Know Me,Morgan Wallen,Country,Up Down,kitchen speaker
984,Arcadia,Eurielle,Pop,Hate Me,kitchen speaker
985,The Martin Garrix Experience,Martin Garrix,House,No Sleep,bedroom speaker
986,Ultraviolence,Lana Del Rey,Rock,Pretty When You Cry,TV
987,Handwritten,Shawn Mendes,Pop,Never Be Alone,TV
988,Borbena,Teodora,Folk,Tom Ford,bedroom speaker
989,Slow Air,Still Corners,Pop,Black Lagoon,kitchen speaker
990,Dangerous Woman,Ariana Grande,Pop,Be Alright,TV
