,destination,number_of_seats,ride_fare,ride_type,wait_time
1079,Bloedel Conservatory,1,24.15,Regular,2
1080,Earl Burns Miller Japanese Garden,1,30.43,Luxury,9
1081,30 St Mary Axe (The Gherkin),1,21.17,Regular,2
1082,Angel Stadium of Anaheim,2,13.32,Pool,8
1083,Fresno Chaffee Zoo,1,13.19,Pool,8
1084,Arte Carrillo Gil Museum,4,32.86,Pool,4
1085,Sydney Harbour Bridge,1,17.97,Pool,8
1086,Crystal Springs Rhododendron Garden,1,20.93,Luxury,10
1087,Khan Market,2,13.77,Pool,5
1088,Crystal Springs Rhododendron Garden,2,41.83,Luxury,14
1089,Alki Beach Park,1,21.14,Regular,4
1090,Christmas Tree Lane,3,23.54,Pool,5
1091,Australian National Maritime Museum,2,41.48,Luxury,8
1092,Bill Speidel's Underground Tour,1,34.79,Luxury,11
1093,Burke Museum of Natural History and Culture,1,16.80,Regular,5
1094,Adventure Island,2,27.80,Luxury,12
1095,Dr. Sun Yat-Sen Classical Chinese Garden,1,6.56,Pool,3
1096,Al-Farooq Masjid,1,24.80,Regular,2
1097,Arizona Capitol Museum,4,35.28,Pool,7
1098,9/11 Tribute Museum,2,13.38,Pool,8
1099,360 CHICAGO,1,14.22,Pool,6
1100,Bloedel Conservatory,1,21.68,Luxury,11
1101,Philadelphia Museum of Art,2,47.38,Luxury,10
1102,Bosque de Chapultepec,2,32.48,Luxury,8
1103,Al-Farooq Masjid,2,13.00,Pool,7
1104,Madame Tussauds Washington DC,1,25.30,Luxury,10
1105,Acuario Inbursa,1,23.25,Regular,4
1106,Al-Farooq Masjid,3,24.04,Pool,6
1107,California State Capitol Museum,1,12.52,Regular,3
1108,Arizona Capitol Museum,1,11.51,Pool,8
1109,2225 Sharon Road,1,17.93,Pool,7
1110,978 Almaden Lake Drive,3,25.15,Pool,4
1111,1475 167th Avenue,1,15.61,Luxury,13
1112,416 Boynton Avenue,1,20.70,Luxury,9
1113,10944 San Pablo Avenue # 800,1,20.04,Regular,3
1114,1901 Shore Line Drive,1,10.93,Pool,3
1115,73 North Keeble Avenue,4,45.12,Regular,4
1116,199 Aegean Way,1,17.74,Regular,6
1117,1600 Buchanan Road,4,30.82,Luxury,8
1118,611 Enterprise Drive,3,27.26,Pool,5
1119,1550 Valley Glen Drive,1,17.13,Luxury,7
1120,25100 Cypress Avenue,3,24.44,Regular,2
1121,978 Almaden Lake Drive,3,25.58,Regular,4
1122,2355 Fairfield Avenue,2,19.49,Pool,4
1123,1546 Maurice Lane,4,45.04,Regular,3
1124,1275 Central Boulevard,1,16.79,Luxury,12
1125,5643 Charlotte Way,3,29.06,Regular,2
1126,1059 Reed Avenue,2,21.26,Regular,5
1127,16530 Monterey Road,1,17.91,Regular,5
1128,660 Gail Avenue,1,20.17,Luxury,10
1129,613 Cabot Way,1,22.53,Regular,4
1130,301 Country View Lane # A,2,32.74,Regular,5
1131,"Leasing Office, 6600 Montecito Boulevard",2,18.98,Pool,6
1132,555 East El Camino Real,1,12.58,Pool,8
1133,859 University Avenue,1,9.15,Pool,9
1134,199 Aegean Way,1,34.04,Luxury,13
1135,1688 Clayton Road,2,19.74,Regular,4
1136,3500 Pennsylvania Avenue # 101,2,30.15,Luxury,14
1137,5005 Montoya Avenue,2,21.86,Pool,3
1138,3820 Park Boulevard,4,22.86,Pool,9
1139,100 Devon Avenue,1,22.46,Regular,7
1140,1282 Mattox Road,4,25.26,Pool,7
1141,1241 Arnold Drive,1,15.18,Pool,5
1142,240 Kottinger Drive,1,24.69,Luxury,13
1143,1633 Marina Court,3,15.00,Pool,5
1144,3500 Pennsylvania Avenue # 101,3,57.11,Luxury,13
1145,25173 Cypress Avenue,1,17.33,Luxury,13
1146,4656 Quigg Drive,1,12.43,Regular,6
1147,1546 Maurice Lane,1,8.07,Pool,3
1148,20667 Forge Way,3,29.20,Pool,8
1149,26100 Gading Road,1,31.00,Luxury,12
1150,40001 Fremont Boulevard,1,17.35,Regular,3
1151,6221 Montecito Boulevard,3,28.18,Regular,7
1152,111 Seminary Drive,2,48.25,Luxury,11
1153,4748 West Campbell Avenue,2,23.38,Pool,3
1154,900 Cambridge Drive,1,16.32,Pool,4
1155,2000 Shoreline Loop,3,46.82,Luxury,7
1156,275 Hawthorne Avenue,3,29.27,Regular,3
1157,400 East Remington Drive,1,12.33,Regular,6
1158,1010 Power Avenue,1,16.12,Regular,3
1159,1400 A Street,2,21.50,Luxury,12
1160,947 Branham Lane # C,3,30.03,Pool,7
1161,Chop Shop,2,24.00,Luxury,12
1162,Kaufmann Concert Hall,3,19.35,Pool,6
1163,The Observatory North Park,1,17.19,Luxury,13
1164,Tristan Bates Theatre,1,15.47,Luxury,12
1165,Studio C Artists,3,45.38,Luxury,9
1166,The Foundry,1,19.18,Regular,7
1167,The Artistic Home,4,35.82,Luxury,7
1168,520 8th Ave. - Personal Valet Parking,2,22.95,Regular,3
1169,Amba Hotel Charing Cross,2,34.49,Luxury,12
1170,Albert & Janet Schultz Cultural Arts Hall,1,15.40,Pool,3
1171,The Foundry,4,23.28,Regular,7
1172,Amba Hotel Charing Cross,1,6.74,Pool,3
1173,Studio C Artists,3,35.75,Regular,7
1174,The Foundry,3,29.81,Regular,6
1175,Amba Hotel Charing Cross,3,32.23,Luxury,12
1176,PRIDE ARTS CENTER,2,23.72,Luxury,7
1177,12th Avenue Arts,1,11.91,Regular,7
1178,The Observatory North Park,2,23.63,Luxury,9
1179,12th Avenue Arts,3,37.67,Regular,3
1180,Theatre Arts Admin Collective,1,30.76,Luxury,13
1181,520 8th Ave. - Personal Valet Parking,2,24.82,Pool,7
1182,Rainbow Lagoon Park,1,12.89,Pool,9
1183,Amba Hotel Charing Cross,2,20.83,Regular,6
1184,Talent to aMuse Theatre Co,3,27.99,Luxury,12
1185,Amba Hotel Charing Cross,1,34.05,Luxury,10
1186,Mojo Theatre,2,25.47,Regular,7
1187,Kaufmann Concert Hall,4,29.60,Pool,3
1188,The Artistic Home,1,12.57,Regular,6
1189,NEST,3,45.38,Luxury,7
1190,The Artistic Home,4,31.48,Regular,7
