,event_date,event_location,event_name,event_time,available_end_time,available_start_time
901,2019-03-07,19972 Stanton Avenue,New house,17:30,,
902,2019-03-04,1107 Porter Street,House,10:00,,
903,2019-03-07,947 Branham Lane # C,Property visit,09:30,,
904,2019-03-09,4261 Stevenson Boulevard,New house,12:00,,
905,2019-03-05,707 Continental Circle,Property,09:30,,
906,2019-03-13,4950 Empire Avenue # D2,Property appointment,12:00,,
907,2019-03-13,4757 Snyder Lane,Property appointment,12:00,,
908,2019-03-05,400 East Remington Drive,Visit appointment,13:00,,
909,2019-03-10,1711 Detroit Avenue,Property,16:00,,
910,2019-03-05,36163 Fremont Boulevard,property visit appointment,12:30,,
911,2019-03-13,1000 Kiely Boulevard,Apartment visit,12:30,,
912,2019-03-12,5643 Charlotte Way,property visit appointment,15:00,,
913,2019-03-11,350 Gunter Lane,House,15:00,,
914,2019-03-08,400 East Remington Drive,Visit appointment,15:00,,
915,2019-03-04,1890 Dover Avenue,Property appointment,17:00,,
916,2019-03-12,1546 Maurice Lane,Visit appointment,08:00,,
917,2019-03-11,5317 Creely Avenue,Property,13:00,,
918,2019-03-11,1055 East Evelyn Avenue,Visit appointment,08:30,,
919,2019-03-13,2211 Hastings Drive,House,12:00,,
920,2019-03-06,1290 San Tomas Aquino Road,Apartment visit,08:30,,
921,2019-03-13,4170 Springlake Drive,New house,10:30,,
922,2019-03-06,2000 Shoreline Loop,Property,13:30,,
923,2019-03-08,22185 Center Street # 59,Property visit,17:00,,
924,2019-03-04,1546 Maurice Lane,Apartment visit,10:00,,
925,2019-03-05,2400 Shady Willow Lane,Apartment visit,17:30,,
926,2019-03-03,1510 Marina Vista,Property visit,15:30,,
927,2019-03-09,22800 Meridian Drive,Property appointment,13:00,,
928,2019-03-11,1546 Maurice Lane,Apartment visit,10:30,,
929,2019-03-11,150 Sierra Drive,Apartment visit,12:00,,
930,2019-03-02,2190 Eastridge Loop,Movie at AMC Eastridge 15,12:00,,
931,2019-03-01,641 1st Street,Movie show,18:30,,
932,2019-03-01,2274 Shattuck Avenue,Movie at United Artists Berkeley 7,21:45,,
933,2019-03-08,2317 Central Avenue,Movie show,19:00,,
934,2019-03-02,2306 Almaden Road,Movie show,14:00,,
935,2019-03-01,2490 First Street,Movie at Livermore 13 Cinema,22:00,,
936,2019-03-03,125 Crescent Drive,Movie at Century 16 Downtown,22:30,,
937,2019-03-01,1875 South Bascom Avenue,Movie show,21:15,,
938,2019-03-03,400 Newpark Mall,Movie show,21:00,,
939,2019-03-08,2317 Central Avenue,Movie show,18:45,,
940,2019-03-02,1875 South Bascom Avenue,Movie show,15:30,,
941,2019-03-03,2306 Almaden Road,Movie at CineLux Almaden Cinema,21:30,,
942,2019-03-02,6000 Bollinger Canyon Road Suite 2300,Movie show,15:30,,
943,2019-03-02,3111 Mission College Boulevard,Movie at AMC Mercado 20,17:00,,
944,2019-03-02,2274 Shattuck Avenue,Movie at United Artists Berkeley 7,15:30,,
945,2019-03-08,2317 Central Avenue,Movie show,16:30,,
946,2019-03-02,3200 Klose Way,Movie show,15:00,,
947,2019-03-02,4451,Movie at Sonoma Cinema,15:30,,
948,2019-03-01,1 Embarcadero Center,Movie show,20:45,,
949,2019-03-06,409 Aviation Boulevard,Movie show,21:30,,
950,2019-03-07,549 Magnolia Avenue,Movie show,16:30,,
951,2019-03-08,549 Magnolia Avenue,Movie show,15:45,,
952,2019-03-01,6868 McKinley Street,Movie at Rialto Cinemas,21:30,,
953,2019-03-08,125 Crescent Drive,Movie show,22:30,,
954,2019-03-03,601 Van Ness Avenue,Movie show,21:30,,
955,2019-03-04,6000 Bollinger Canyon Road Suite 2300,Movie at THE LOT City Center,11:00,,
956,2019-03-02,1069 B Street,Movie show,15:30,,
957,2019-03-01,7000 Northgate Drive,Movie at Century,21:00,,
958,2019-03-01,6000 Bollinger Canyon Road Suite 2300,Movie show,20:30,,
959,2019-03-09,2508,Movie show,19:00,,
960,2019-03-01,409 Aviation Boulevard,Movie at Airport Stadium 12,22:00,,
961,2019-03-01,109 Plaza Dr. Gateway Plaza Center,Movie show,21:30,,
962,2019-03-02,2525 Sand Creek Road,Movie show,13:30,,
963,2019-03-02,125 Crescent Drive,Movie at Century 16 Downtown,16:30,,
964,2019-03-06,2317 Central Avenue,Movie show,16:15,,
965,2019-03-07,2317 Central Avenue,Movie show,20:00,,
966,2019-03-02,1118 4th Street,Movie at Smith Rafael Film Center,20:30,,
967,2019-03-01,7000 Northgate Drive,Movie at Century,22:00,,
968,2019-03-01,2149 Chestnut Street,Movie show,20:00,,
969,2019-03-01,6000 Bollinger Canyon Road Suite 2300,Movie show,14:15,,
970,2019-03-05,1 Embarcadero Center,Movie show,21:00,,
971,2019-03-07,2306 Almaden Road,Movie show,21:30,,
972,2019-03-07,1722 First Street,Movie show,18:30,,
973,2019-03-02,2490 First Street,Movie show,18:45,,
974,2019-03-02,4085 Century Boulevard,Movie at Maya Pittsburg Cinemas,21:00,,
975,2019-03-03,3111 Mission College Boulevard,Movie show,11:00,,
976,2019-03-01,85 Santa Rosa Avenue,Movie show,22:00,,
977,2019-03-02,2490 First Street,Movie show,15:30,,
978,2019-03-03,5614 Bay Street Suite 220,Movie show,19:00,,
979,2019-03-07,221 University Avenue,Movie at Stanford Theatre,19:15,,
980,2019-03-02,3117 16th St,Movie at Roxie Theater,21:15,,
981,2019-03-01,2855 Stevens Creek Boulevard Suite 2160,Movie at ShowPlace ICON Valley Fair,22:00,,
982,2019-03-05,1 Embarcadero Center,Movie show,21:30,,
983,2019-03-14,3630 Balboa Street,Movie show,19:30,,
984,2019-03-03,135 4th Street Suite 3000,Movie show,10:00,,
985,2019-03-10,474 24th Street,Movie show,22:30,,
986,2019-03-02,43 North Santa Cruz Avenue,Movie at Los Gatos Theatre,20:30,,
987,2019-03-02,200 C Street,Movie show,15:30,,
988,2019-03-07,620 3rd Street,Movie show,20:15,,
989,2019-03-01,2575 California Street #90,Movie show,22:00,,
990,2019-03-01,1875 South Bascom Avenue,Movie at Pruneyard Dine-In Cinemas,21:30,,
991,2019-03-08,5614 Bay Street Suite 220,Movie show,16:00,,
992,2019-03-01,121 East 1st Street,Movie at The Clover Theater,20:00,,
993,2019-03-02,2490 First Street,Movie show,18:30,,
994,2019-03-01,620 3rd Street,Movie show,20:30,,
995,2019-03-06,100 Washington Street,Reservation at The Shuckery,21:30,,
996,2019-03-02,2306 Almaden Road,Movie show,16:30,,
997,2019-03-08,400 Newpark Mall,Movie at AMC NewPark 12,16:30,,
998,2019-03-09,Shattuck Avenue,Movie show,19:00,,
999,2019-03-03,200 C Street,Movie at Boulevard 14 Cinema,20:00,,
1000,2019-03-08,1115 Solano Avenue,Movie show,19:00,,
1001,2019-03-02,3630 Balboa Street,Movie show,16:00,,
1002,2019-03-09,474 24th Street,Movie show,15:30,,
1003,2019-03-02,2525 Sand Creek Road,Movie show,16:45,,
1004,2019-03-03,350 Park Street,Movie at Rheem Theatre,19:30,,
1005,2019-03-06,4451,Movie at Sonoma Cinema,19:00,,
1006,2019-03-01,474 24th Street,Movie at The New Parkway Theater,20:30,,
1007,2019-03-05,6000 Bollinger Canyon Road Suite 2300,Movie show,11:00,,
1008,2019-03-02,3290 Sacramento Street,Movie show,19:15,,
1009,2019-03-01,280 Smith Ranch Road,Movie show,19:30,,
1010,2019-03-03,2306 Almaden Road,Movie show,21:15,,
1011,2019-03-02,15555 East 14th Street,Movie show,15:45,,
1012,2019-03-07,1 Embarcadero Center,Movie at Landmark's Embarcadero Center Cinema,21:00,,
1013,2019-03-02,6000 Bollinger Canyon Road Suite 2300,Movie at THE LOT City Center,16:45,,
1014,2019-03-02,4451,Movie at Sonoma Cinema,19:00,,
1015,2019-03-08,200 C Street,Movie show,19:45,,
1016,2019-03-03,2317 Central Avenue,Movie show,20:00,,
1017,2019-03-08,949 El Camino Real,Movie show,18:45,,
1018,2019-03-08,15555 East 14th Street,Movie at Century 16,22:30,,
1019,2019-03-08,2490 First Street,Movie show,21:00,,
1020,2019-03-02,2306 Almaden Road,Movie show,23:00,,
1021,2019-03-02,1069 B Street,Movie show,16:00,,
1022,2019-03-01,4204 Lone Tree Way,Movie show,19:00,,
1023,2019-03-04,549 Magnolia Avenue,Movie show,10:30,,
1024,2019-03-02,1722 First Street,Movie at Vine Cinema & Alehouse,19:00,,
1025,2019-03-01,1875 South Bascom Avenue,Movie show,20:30,,
1026,2019-03-06,620 3rd Street,Movie show,20:15,,
1027,2019-03-01,2317 Central Avenue,Movie show,22:00,,
1028,2019-03-03,400 Newpark Mall,Movie show,22:30,,
1029,2019-03-05,400 Newpark Mall,Movie at AMC NewPark 12,11:00,,
1030,2019-03-05,620 3rd Street,Movie show,20:45,,
1031,2019-03-01,1599 Sanchez Street,Food,16:45,,
1032,2019-03-01,1760 Polk Street,Lunch at 1760,17:00,,
1033,2019-03-08,601 Van Ness Avenue,Movie show,11:45,,
1034,2019-03-01,9725 East 14th Street,Restaurant reservation,17:00,,
1035,2019-03-01,1599 Sanchez Street,Food,12:00,,
1036,2019-03-10,458 B Street,Restaurant reservation for 4 at Mariscos El Patron,19:30,,
1037,2019-03-01,815 Main Street,Restaurant reservation for 5 at La Taberna,17:00,,
1038,2019-03-01,3119 Clement Street,Reservation at El Mansour,12:15,,
1039,2019-03-14,27 Union Square,Reservation at Mcdonald's,18:00,,
1040,2019-03-01,2018 Lombard Street,Restaurant reservation for 5 at Alegrias,11:30,,
1041,2019-03-01,2033 Camden Avenue # F3,Reservation at Chef Li,19:00,,
1042,2019-03-05,601 Van Ness Avenue,Reservation at 2g Japanese Brasserie,17:45,,
1043,2019-03-01,542 A Mason Street,Restaurant reservation at Akiko's Sushi Bar,11:30,,
1044,2019-03-01,23 Ross Common Box 793,Restaurant reservation for 5 at Marche Aux Fleurs,11:15,,
1045,2019-03-03,2220 First Street,Food,18:45,,
1046,2019-03-01,6576 Oakmont Drive,Restaurant reservation for 6 at Mei-don Chinese Cuisine,19:00,,
1047,2019-03-11,145 Peabody Road,Restaurant,13:30,,
1048,2019-03-01,1760 Polk Street,Lunch at 1760,18:30,,
1049,2019-03-01,850 Broadway,Restaurant reservation,12:30,,
1050,2019-03-14,20390 Lake Chabot Road,Restaurant reservation,17:30,,
1051,2019-03-13,121 East Spain Street,Reservation at La Casa,19:30,,
1052,2019-03-01,542 A Mason Street,Restaurant reservation at Akiko's Sushi Bar,11:00,,
1053,2019-03-11,245 South Airport Boulevard,Eat,19:30,,
1054,2019-03-01,1754 Polk Street,Reservation at Amelie San Francisco,17:00,,
1055,2019-03-12,1760 Polk Street,Lunch at 1760,19:30,,
1056,2019-03-01,4590 Dublin Boulevard,Lunch at Tomatina,18:30,,
1057,2019-03-01,601 Van Ness Avenue,Restaurant reservation for 6 at 2g Japanese Brasserie,17:30,,
1058,2019-03-01,1900 Telegraph Avenue,Eat,19:30,,
1059,2019-03-07,4776 Sonoma Highway,Eat,13:30,,
1060,2019-03-01,6 Petaluma Boulevard North,Reservation at Wild Goat Bistro,17:00,,
1061,2019-03-01,1760 Polk Street,Reservation at 1760,16:30,,
1062,2019-03-01,601 Van Ness Avenue,Movie show,11:00,,
1063,2019-03-01,121 East Spain Street,Restaurant reservation,19:00,,
1064,2019-03-01,57 North Milpitas Boulevard,Reservation at Honey Thai Restaurant,11:30,,
1065,2019-03-03,4485 Stevens Creek Boulevard,Restaurant reservation for 3 at El Amigo Burrito,13:30,,
1066,2019-03-13,20688 Stevens Creek Boulevard,Restaurant reservation at Rubio's Coastal Grill,19:00,,
1067,2019-03-14,1153 Valencia Street,Restaurant reservation at El Valenciano,11:00,,
1068,2019-03-01,127 North McDowell Boulevard,Eat,12:45,,
1069,2019-03-01,601 Van Ness Avenue,Reservation at 2g Japanese Brasserie,18:30,,
1070,2019-03-10,601 Van Ness Avenue,Movie show,12:30,,
1071,2019-03-10,2293 Mission Street,Lunch at Alba Ray's,11:00,,
1072,2019-03-08,542 A Mason Street,Restaurant reservation at Akiko's Sushi Bar,19:00,,
1073,2019-03-05,121 East Spain Street,Restaurant reservation,12:15,,
1074,2019-03-01,4293 Piedmont Avenue,Restaurant reservation for 5 at Dopo,16:30,,
1075,2019-03-01,940 Webster Street,Dinner at Fortune Restaurant,13:15,,
1076,2019-03-02,21275 Stevens Creek Boulevard #510,Restaurant reservation for 2 at Enzo's Italian Restaurant,19:30,,
1077,2019-03-10,1432 North Main Street,Restaurant reservation for 2 at Sasa,12:00,,
1078,2019-03-04,5251 Martinelli Way,Restaurant reservation at Pacific Catch,11:15,,
1079,2019-03-01,3775 El Camino Real,Reservation at The Fish Market,11:00,,
1080,2019-03-06,542 A Mason Street,Restaurant reservation at Akiko's Sushi Bar,17:30,,
1081,2019-03-01,578 Magnolia Avenue,Restaurant reservation for 2 at Fukusuke Restaurant,19:00,,
1082,2019-03-01,1700 Coyote Point Drive,Dinner at Poplar Creek Grill,11:00,,
1083,2019-03-10,1501 Solano Avenue,Reservation at Fonda,12:00,,
1084,2019-03-12,1932 Oak Park Boulevard,Restaurant reservation for 3 at Dallimonti's Italian Restaurant,19:30,,
1085,2019-03-01,50 Moraga Avenue,Reservation at Arguello,12:30,,
1086,2019-03-13,1449 Lombard Street,Reservation at Aato,18:45,,
1087,2019-03-13,542 A Mason Street,Restaurant reservation at Akiko's Sushi Bar,10:45,,
1088,2019-03-01,542 A Mason Street,Restaurant reservation at Akiko's Sushi Bar,13:15,,
1089,2019-03-01,135 North Santa Cruz Avenue,Restaurant reservation for 6 at Kamakura Japanese Restaurant,19:30,,
1090,2019-03-01,112 South B Street,Reservation at Old Town Sushi,19:15,,
1091,2019-03-12,1585 University Avenue,Restaurant reservation for 5 at Himalayan Flavors,18:30,,
1092,2019-03-01,2300 First Street #110,Restaurant reservation for 5 at Simply Fondue,18:30,,
1093,2019-03-04,127 Throckmorton Avenue,Restaurant reservation at La Ginestra,18:30,,
1094,2019-03-03,1535 Landess Avenue #143,Reservation at Korea Garden,11:30,,
1095,2019-03-03,542 A Mason Street,Restaurant reservation at Akiko's Sushi Bar,11:30,,
1096,2019-03-01,176 South Murphy Avenue,Reservation at Gumba's,12:00,,
1097,2019-03-01,23240 California 1,Food,11:30,,
1098,2019-03-01,601 Van Ness Avenue,Movie at Landmark's Opera Plaza Cinema,18:45,,
1099,2019-03-11,601 Van Ness Avenue,Reservation at 2g Japanese Brasserie,12:00,,
1100,2019-03-01,4590 Dublin Boulevard,Lunch at Tomatina,18:00,,
1101,2019-03-04,1599 Sanchez Street,Reservation at Alice's,18:00,,
1102,2019-03-01,1801 Alemany Boulevard,Reservation at Beijing Restaurant,12:00,,
1103,2019-03-01,3060 Kerner Boulevard,Restaurant reservation for 3 at Los Palillos Restaurant,18:15,,
1104,2019-03-01,1599 Sanchez Street,Reservation at Alice's,17:00,,
1105,2019-03-12,127 Clement Street,Dinner at B Star,12:30,,
1106,2019-03-01,1760 Polk Street,Lunch at 1760,18:00,,
1107,2019-03-01,2635 Ashby Avenue,Eat,12:45,,
1108,2019-03-01,711 Geary Street,Reservation at Barnzu,18:15,,
1109,2019-03-01,4776 Sonoma Highway,Eat,13:15,,
1110,2019-03-07,Milpitas Square,Reservation at Anjappar Chettinad Restaurant,18:00,,
1111,2019-03-01,1760 Polk Street,Lunch at 1760,16:45,,
1112,2019-03-06,205 Franklin Street,Lunch at B-side,18:00,,
1113,2019-03-01,615 Jackson Street,Restaurant reservation at Begoni Bistro,19:00,,
1114,2019-03-05,115 Hartz Avenue,Dinner at Lotus Thai Restaurant,18:45,,
1115,2019-03-07,71 North San Pedro Street,Reservation at 71 Saint Peter,18:00,,
1116,2019-03-01,641 Santa Cruz Avenue,Restaurant reservation,11:00,,
1117,2019-03-01,1599 Sanchez Street,Reservation at Alice's,17:30,,
1118,2019-03-01,1599 Sanchez Street,Reservation at Alice's,19:00,,
1119,2019-03-07,2053 Broadway,Reservation at Rocknwraps And Kabobs,18:30,,
1120,2019-03-08,542 A Mason Street,Restaurant reservation at Akiko's Sushi Bar,11:30,,
1121,2019-03-07,601 Van Ness Avenue,Reservation at 2g Japanese Brasserie,17:30,,
1122,2019-03-11,542 A Mason Street,Restaurant reservation at Akiko's Sushi Bar,18:30,,
1123,2019-03-10,176 South Murphy Avenue,Reservation at Gumba's,12:30,,
1124,2019-03-01,1429 Main Street,Eat,10:30,,
1125,2019-03-11,868 Grant Avenue,Restaurant reservation at Batika India Bistro,18:15,,
1126,2019-03-01,807 1st Street,Lunch at Mai Thai Cuisine,18:30,,
1127,2019-03-10,21267 Stevens Creek Boulevard #200,Reservation at A Plus Cafe,19:30,,
1128,2019-03-03,301 East 4th Avenue,Restaurant reservation at Izakaya Ginji,17:00,,
1129,2019-03-01,1754 Polk Street,Reservation at Amelie San Francisco,12:00,,
1130,2019-03-01,2053 Broadway,Reservation at Rocknwraps And Kabobs,17:00,,
1131,2019-03-01,35144 Newark Boulevard,Reservation at Mumbai Chowk,13:00,,
1132,2019-03-13,,,,21:30,13:30
1133,2019-03-08,,,,15:00,08:00
1134,2019-03-02,,,,18:00,09:00
1135,2019-03-14,,,,21:30,08:00
1136,2019-03-08,,,,18:30,15:30
1137,2019-03-02,,,,13:00,08:00
1138,2019-03-13,,,,15:00,11:00
1139,2019-03-09,,,,22:00,15:30
1140,2019-03-02,,,,23:00,06:00
1141,2019-03-06,,,,15:30,06:00
1142,2019-03-05,,,,21:30,14:30
1143,2019-03-12,,,,21:00,08:00
1144,2019-03-13,,,,22:00,14:00
1145,2019-03-08,,,,21:00,08:00
1146,2019-03-12,,,,15:00,07:00
1147,2019-03-08,,,,23:00,09:00
1148,2019-03-13,,,,19:00,16:15
1149,2019-03-14,,,,23:00,17:15
1150,2019-03-09,,,,13:30,07:00
1151,2019-03-09,,,,18:30,08:00
1152,2019-03-04,,,,22:00,14:30
1153,2019-03-05,,,,21:00,15:45
1154,2019-03-08,,,,23:00,11:30
1155,2019-03-10,,,,13:30,06:00
1156,2019-03-10,,,,14:30,06:00
1157,2019-03-08,,,,22:00,07:00
1158,2019-03-10,,,,21:00,07:00
1159,2019-03-14,,,,22:00,08:00
1160,2019-03-04,,,,11:00,09:00
1161,2019-03-09,,,,13:30,11:00
1162,2019-03-10,,,,17:30,09:00
1163,2019-03-06,,,,23:00,08:00
1164,2019-03-10,,,,22:00,08:00
1165,2019-03-12,,,,21:00,07:00
1166,2019-03-02,,,,14:00,08:00
1167,2019-03-06,,,,16:30,10:45
1168,2019-03-03,,,,19:00,09:30
1169,2019-03-14,,,,21:00,06:00
1170,2019-03-07,,,,21:30,07:00
1171,2019-03-07,,,,23:00,06:00
1172,2019-03-10,,,,13:30,07:00
1173,2019-03-12,,,,23:00,12:00
1174,2019-03-04,,,,19:00,14:30
1175,2019-03-13,,,,20:30,12:45
1176,2019-03-04,,,,16:00,08:00
1177,2019-03-01,,,,22:00,12:45
1178,2019-03-12,,,,19:00,07:00
1179,2019-03-08,,,,23:00,08:45
1180,2019-03-04,,,,21:00,16:45
1181,2019-03-07,,,,22:00,09:00
1182,2019-03-14,,,,16:30,08:00
1183,2019-03-13,,,,21:00,12:30
1184,2019-03-03,,,,13:30,06:00
1185,2019-03-02,,,,23:00,07:00
1186,2019-03-07,,,,19:30,07:00
1187,2019-03-11,,,,12:00,09:00
1188,2019-03-06,,,,14:30,10:45
1189,2019-03-13,,,,16:00,14:00
1190,2019-03-02,,,,22:00,07:00
1191,2019-03-07,,,,23:00,12:30
1192,2019-03-11,,,,13:00,06:00
1193,2019-03-02,,,,17:00,12:00
1194,2019-03-03,,,,22:00,15:30
1195,2019-03-14,,,,16:00,13:00
1196,2019-03-11,,,,21:00,09:00
1197,2019-03-11,,,,21:00,15:45
1198,2019-03-03,,,,19:30,13:15
1199,2019-03-08,,,,23:00,15:30
1200,2019-03-12,,,,17:30,08:00
1201,2019-03-02,,,,21:00,06:00
1202,2019-03-04,,,,22:00,07:00
1203,2019-03-08,,,,20:00,06:00
1204,2019-03-06,,,,20:30,11:15
1205,2019-03-01,,,,23:00,17:00
1206,2019-03-05,,,,11:30,08:00
1207,2019-03-01,,,,23:00,07:00
1208,2019-03-09,,,,15:30,06:00
1209,2019-03-12,,,,14:00,10:15
1210,2019-03-07,,,,20:00,14:30
1211,2019-03-03,,,,19:30,10:30
1212,2019-03-10,,,,19:00,07:00
1213,2019-03-08,,,,21:00,07:00
1214,2019-03-01,,,,17:00,09:00
1215,2019-03-01,,,,19:30,08:00
1216,2019-03-01,,,,20:30,12:30
1217,2019-03-04,,,,12:30,09:45
1218,2019-03-07,,,,21:00,12:15
1219,2019-03-12,,,,23:00,14:00
1220,2019-03-05,,,,14:30,08:00
1221,2019-03-04,,,,13:30,09:00
1222,2019-03-06,,,,23:00,09:00
1223,2019-03-06,,,,21:00,06:00
1224,2019-03-13,,,,21:00,06:00
1225,2019-03-05,,,,14:30,12:30
1226,2019-03-01,,,,21:00,16:30
1227,2019-03-04,,,,23:00,06:00
1228,2019-03-07,,,,23:00,09:00
1229,2019-03-04,,,,23:00,07:00
1230,2019-03-14,,,,14:30,07:00
1231,2019-03-04,,,,20:30,14:45
1232,2019-03-14,,,,12:30,08:00
1233,2019-03-10,,,,18:30,09:00
1234,2019-03-13,,,,22:00,14:45
1235,2019-03-03,,,,21:00,09:00
1236,2019-03-09,,,,21:00,07:00
1237,2019-03-03,,,,18:00,13:30
1238,2019-03-02,,,,22:00,06:00
1239,2019-03-13,,,,20:30,09:00
1240,2019-03-09,,,,23:00,14:30
1241,2019-03-09,,,,23:00,13:30
1242,2019-03-05,,,,22:00,09:00
1243,2019-03-06,,,,22:00,14:00
1244,2019-03-04,,,,17:00,06:00
1245,2019-03-06,,,,13:30,06:00
1246,2019-03-02,,,,14:00,11:15
1247,2019-03-13,,,,23:00,09:00
1248,2019-03-01,,,,19:00,14:15
1249,2019-03-03,,,,23:00,06:00
1250,2019-03-05,,,,23:00,07:00
1251,2019-03-09,,,,15:30,11:15
1252,2019-03-04,,,,22:00,11:30
1253,2019-03-06,,,,20:30,07:00
1254,2019-03-03,,,,15:00,09:00
1255,2019-03-06,,,,22:00,08:00
1256,2019-03-01,,,,19:30,13:30
1257,2019-03-04,,,,21:00,12:30
1258,2019-03-12,,,,23:00,09:45
1259,2019-03-12,,,,17:30,15:00
1260,2019-03-03,,,,13:30,12:00
1261,2019-03-11,,,,10:00,08:00
1262,2019-03-12,,,,17:00,12:00
1263,2019-03-10,,,,24:00,18:30
1264,2019-03-06,,,,24:00,23:00
1265,2019-03-04,,,,12:00,11:00
1266,2019-03-07,,,,17:30,15:30
1267,2019-03-03,,,,15:00,08:00
1268,2019-03-13,,,,22:30,13:00
1269,2019-03-02,,,,10:30,08:00
1270,2019-03-02,,,,24:00,20:30
1271,2019-03-07,,,,17:00,14:00
1272,2019-03-01,,,,22:00,21:30
1273,2019-03-08,,,,10:30,08:00
1274,2019-03-08,,,,16:30,08:00
1275,2019-03-03,,,,24:00,22:30
1276,2019-03-06,,,,18:00,15:30
1277,2019-03-09,,,,22:00,21:00
1278,2019-03-12,,,,24:00,16:30
1279,2019-03-14,,,,22:30,19:00
1280,2019-03-02,,,,21:00,19:30
1281,2019-03-02,,,,21:30,20:00
1282,2019-03-12,,,,24:00,16:00
1283,2019-03-12,,,,17:30,12:30
1284,2019-03-11,,,,11:00,08:00
1285,2019-03-07,,,,24:00,22:00
1286,2019-03-06,,,,21:30,21:00
1287,2019-03-10,,,,22:00,20:00
1288,2019-03-01,,,,22:00,18:00
1289,2019-03-07,,,,24:00,17:30
1290,2019-03-11,,,,24:00,21:30
1291,2019-03-09,,,,13:30,11:30
1292,2019-03-08,,,,24:00,20:00
1293,2019-03-05,,,,12:30,08:00
1294,2019-03-01,,,,24:00,22:30
1295,2019-03-09,,,,21:30,21:00
1296,2019-03-08,,,,13:00,08:00
1297,2019-03-12,,,,24:00,20:00
1298,2019-03-10,,,,24:00,20:30
1299,2019-03-05,,,,24:00,14:00
1300,2019-03-09,,,,24:00,21:00
1301,2019-03-03,,,,14:00,12:00
1302,2019-03-04,,,,24:00,21:00
1303,2019-03-08,,,,24:00,16:30
1304,2019-03-09,,,,12:30,10:30
1305,2019-03-03,,,,24:00,23:30
1306,2019-03-11,,,,24:00,11:00
1307,2019-03-05,,,,24:00,19:30
1308,2019-03-02,,,,15:30,10:30
1309,2019-03-04,,,,18:00,14:00
1310,2019-03-11,,,,22:00,12:00
1311,2019-03-09,,,,15:30,08:00
1312,2019-03-11,,,,17:30,13:00
1313,2019-03-04,,,,17:30,13:00
1314,2019-03-12,,,,24:00,19:00
1315,2019-03-04,,,,23:30,13:00
1316,2019-03-13,,,,15:30,08:00
1317,2019-03-06,,,,20:00,19:30
1318,2019-03-02,,,,24:00,18:30
1319,2019-03-14,,,,10:00,08:00
1320,2019-03-06,,,,16:00,08:00
1321,2019-03-05,,,,17:30,13:00
1322,2019-03-13,,,,24:00,18:30
1323,2019-03-13,,,,15:00,12:00
1324,2019-03-10,,,,11:30,08:00
1325,2019-03-03,,,,17:30,12:30
1326,2019-03-05,,,,24:00,22:00
1327,2019-03-10,,,,12:00,08:00
1328,2019-03-04,,,,14:30,14:00
1329,2019-03-08,,,,15:00,14:30
1330,2019-03-02,,,,23:00,18:30
1331,2019-03-03,,,,21:00,16:30
1332,2019-03-06,,,,22:00,06:00
1333,2019-03-04,,,,22:00,19:45
1334,2019-03-02,,,,23:00,12:00
1335,2019-03-08,,,,22:00,13:45
1336,2019-03-08,,,,17:30,16:30
1337,2019-03-04,,,,22:00,15:30
1338,2019-03-07,,,,23:00,19:00
1339,2019-03-08,,,,23:00,14:45
1340,2019-03-12,,,,23:00,18:15
1341,2019-03-04,,,,23:00,09:00
1342,2019-03-11,,,,21:00,14:15
1343,2019-03-13,,,,23:00,15:45
1344,2019-03-05,,,,23:00,09:00
1345,2019-03-06,,,,21:00,14:00
1346,2019-03-07,,,,22:00,16:45
1347,2019-03-03,,,,21:00,06:00
1348,2019-03-02,,,,23:00,13:00
1349,2019-03-04,,,,22:00,13:00
1350,2019-03-07,,,,21:30,12:45
1351,2019-03-10,,,,21:00,09:00
1352,2019-03-12,,,,21:00,15:15
1353,2019-03-05,,,,23:00,06:00
1354,2019-03-08,,,,23:00,13:00
1355,2019-03-06,,,,23:00,12:15
1356,2019-03-03,,,,22:00,09:00
1357,2019-03-05,,,,23:00,18:45
1358,2019-03-11,,,,23:00,09:30
1359,2019-03-02,,,,19:30,13:30
1360,2019-03-13,,,,23:00,21:45
1361,2019-03-09,,,,23:00,07:00
1362,2019-03-04,,,,23:00,13:00
1363,2019-03-02,,,,12:30,09:00
1364,2019-03-12,,,,20:30,17:30
1365,2019-03-07,,,,22:00,14:30
1366,2019-03-08,,,,22:00,16:15
1367,2019-03-07,,,,23:00,07:00
1368,2019-03-04,,,,22:00,16:00
1369,2019-03-09,,,,23:00,09:00
1370,2019-03-11,,,,23:00,08:00
1371,2019-03-12,,,,23:00,09:00
1372,2019-03-04,,,,20:30,10:00
1373,2019-03-10,,,,21:30,09:00
1374,2019-03-13,,,,21:30,06:00
1375,2019-03-07,,,,21:00,06:00
1376,2019-03-13,,,,21:00,09:00
1377,2019-03-01,,,,21:00,14:00
1378,2019-03-01,,,,23:00,08:00
1379,2019-03-05,,,,20:30,16:00
1380,2019-03-03,,,,23:00,14:30
1381,2019-03-09,,,,20:00,09:00
1382,2019-03-12,,,,22:00,12:15
1383,2019-03-10,,,,22:00,18:30
1384,2019-03-09,,,,22:00,09:00
1385,2019-03-09,,,,23:00,08:00
1386,2019-03-04,,,,21:00,15:45
1387,2019-03-08,,,,23:00,06:00
1388,2019-03-14,,,,22:00,13:30
1389,2019-03-11,,,,22:00,06:00
1390,2019-03-11,,,,21:00,07:00
1391,2019-03-09,,,,23:00,13:45
