,address,city,dentist_name,offers_cosmetic_services,phone_number,appointment_date,appointment_time
590,2516 Samaritan Drive,,"Greenview Dental Care, Yvonne Yang",True,408-356-8201,2019-03-09,10:30
591,7880 Wren Avenue a115,,Banner Associates,False,408-842-0226,2019-03-01,12:30
592,877 West Fremont Avenue C 2,,Dr. Yuan Tao,True,408-737-2988,2019-03-08,14:00
593,1785 San Carlos Avenue # 6,,Edwards John G,False,650-637-2005,2019-03-05,17:00
594,37149 Fremont Boulevard,,Centerville Dental Care,True,510-797-6000,2019-03-02,16:00
595,1300 Galaxy Way # 13,,New West Dental Laboratory,False,925-686-2518,2019-03-07,13:00
596,17705 Hale Avenue A-5,,Bay Area Kids Dentist,False,408-779-2747,2019-03-01,10:00
597,875 Island Dr # B,Alameda,Jennings Dwight E,False,760-876-5501,,
598,875 Island Dr # B,,Jennings Dwight E,False,760-876-5501,2019-03-04,16:00
599,3200 Mowry Avenue # G,,Dr. John Y. Park,False,510-623-9497,2019-03-01,11:00
600,2664 Berryessa Road # 205,,A-1 Dental Care,False,408-258-6669,2019-03-14,10:00
601,5710 Cahalan Avenue # 8J,,Dr. Svetlana Naret,True,408-225-7813,2019-03-06,11:30
602,1785 San Carlos Ave # 3,,Cofield Marianne,False,650-591-0995,2019-03-14,17:00
603,2400 Camino Ramon,,Castro Valley Health,False,925-359-1110,2019-03-10,17:00
604,301 Sycamore Valley Road,,Dr. Azadeh Jafarnia,False,925-884-1725,2019-03-13,17:30
605,7880 Wren Ave,,Albert Lee,False,408-847-6060,2019-03-01,12:00
606,1300 University Drive # 5,,A A Aesthetics Dental Care,False,650-325-7711,2019-03-05,16:30
607,1300 University Drive # 5,,A A Aesthetics Dental Care,False,650-325-7711,2019-03-05,13:00
608,2143 Springs Road # 51,,Dr Pucan Dental Office,False,707-552-3952,2019-03-10,14:00
609,850 Middlefield Rd # 3,,Abadi Esfandiar,False,650-324-4900,2019-03-06,11:00
